編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLOKJIJFFEP78CA,,259.22,住家用,鋼筋混凝土造,103年7月2日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓
RPPNMLTKJIJFFEP56CA,20,212.02,農舍,鋼筋混凝土造,83年9月5日,三層,一層 二層 三層 陽台
RPSNMLLKJIJFFAP38DA,20,83.46,住家用,鋼筋混凝土造,84年3月1日,七層,三層 陽台
RPSNMLLKJIJFFAP38DA,20,10.89,共有部份,鋼筋混凝土造,84年3月1日,七層,
RPSNMLLKJIJFFAP38DA,20,15.05,共有部份,鋼筋混凝土造,84年3月1日,七層,
RPQNMLPJJIJFFAP48DA,35,113.23,住商用,加強磚造,69年4月2日,二層,一層 二層 騎樓 電梯樓梯間
RPUNMLSKJIJFFAP66DA,36,101.31,住家用,加強磚造,68年3月19日,二層,一層 二層 騎樓
RPTNMLRJJIJFFBP56EA,21,202.59,住家用,鋼筋混凝土造,82年8月10日,三層,一層 二層 三層 陽台 平台 見其他登記事項
RPRNMLOJJIJFFEP88DA,21,135.76,住家用,鋼筋混凝土造,82年12月7日,三層,一層 二層 三層 陽台 電梯樓梯間
RPPNMLKKJIJFFDP28DA,8,65.87,集合住宅,鋼筋混凝土造,96年2月5日,十一層,九層 陽台
RPPNMLKKJIJFFDP28DA,8,51.26,防空避難室、停車空間、管理委員會使用空間、門廳、門廊、車道、樓梯間、機械室、水箱,鋼筋混凝土造,96年2月5日,十三層,
RPQNMLQJJIJFFAP68EA,20,110.63,住家用,鋼筋混凝土造,83年9月15日,六層,五層 陽台
RPTNMLLKJIJFFAP58EA,16,29.65,住家用,鋼筋混凝土造,87年10月30日,十層,八層 陽台
RPSNMLQJJIJFFDP98CA,19,65.92,商業用,鋼筋混凝土造,84年9月21日,七層,一層 平台 騎樓
RPSNMLQJJIJFFDP98CA,19,10.25,共有部份,鋼筋混凝土造,84年9月21日,七層,
RPSNMLQJJIJFFDP98CA,19,25.87,共有部份,鋼筋混凝土造,84年9月21日,七層,
RPPNMLRJJIJFFAP48CA,9,160.59,住家用,鋼筋混凝土造,94年5月10日,三層,一層 二層 三層 陽台 平台 雨遮
RPROMLQJJIJFFAP68CA,9,176.71,住家用,鋼筋混凝土造,94年7月28日,三層,一層 二層 三層 電梯樓梯間 見其他登記事項
RPVNMLPJJIJFFAP88CA,20,114.47,住家用,鋼筋混凝土造,83年11月15日,十二層,十二層 陽台 花台
RPVNMLPJJIJFFAP88CA,20,18.15,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPVNMLPJJIJFFAP88CA,20,20.73,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPSNMLQJJIJFFAP68CA,22,89.59,住家用,鋼筋混凝土造,82年1月15日,六層,五層 陽台
RPSNMLQJJIJFFAP68CA,22,41.59,共有部份,鋼筋混凝土造,82年1月15日,六層,
RPTNMLNKJIJFFAP58CA,19,64.64,住家用,鋼筋混凝土造,85年4月10日,四層,一層
RPTNMLNKJIJFFAP58CA,19,64.64,住家用,鋼筋混凝土造,85年4月10日,四層,一層
RPTNMLNKJIJFFAP58CA,19,26.77,共有部份,鋼筋混凝土造,85年4月10日,四層,
RPPOMLQJJIJFFAP48CA,34,509.00,住家用,加強磚造,69年5月5日,三層,
RPSNMLOLJIJFFAP68CA,15,109.50,住家用,鋼筋混凝土造,88年9月26日,五層,四層 五層 陽台 屋頂突出物
RPSNMLOLJIJFFAP68CA,15,21.25,共有部份,鋼筋混凝土造,88年9月26日,五層,
RPQNMLRJJIJFFAP58CA,20,203.45,住家用,鋼筋混凝土造,84年4月9日,四層,
RPRNMLOLJIJFFAP58CA,15,109.50,住家用,鋼筋混凝土造,88年9月26日,五層,四層 五層 陽台 屋頂突出物
RPRNMLOLJIJFFAP58CA,15,21.25,共有部份,鋼筋混凝土造,88年9月26日,五層,
RPPNMLLKJIJFFCP18CA,,232.11,住宅、樓梯間,鋼筋混凝土造,103年5月5日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPQNMLKKJIJFFDP28CA,21,145.36,住家用,加強磚造,83年1月6日,三層,一層 二層 三層 陽台
RPPNMLRKJIJFFEP98CA,35,103.12,住家用,鋼筋混凝土加強磚造,68年6月19日,二層,一層 二層
RPTNMLPLJIJFFDP56CA,1,197.38,住家用,鋼筋混凝土造,102年11月8日,三層,一層 二層 三層 陽台
RPUNMLLKJIJFFAP58DA,19,63.96,住家用,鋼筋混凝土造,84年12月18日,十層,十層
RPUNMLLKJIJFFAP58DA,19,14.85,共有部份,鋼筋混凝土造,84年12月18日,十層,
RPUNMLLKJIJFFAP58DA,19,9.95,共有部份,鋼筋混凝土造,84年12月18日,十層,
RPROMLOKJIJFFAP78EA,19,218.85,住商用,鋼筋混凝土造,84年5月30日,三層,一層 二層 三層 陽台 騎樓 電梯樓梯間
RPWNMLOLJIJFFAP66EA,9,225.90,住宅、停車空間、機電設備空間。,鋼筋混凝土造,94年12月10日,四層,一層 二層 三層 四層 陽台 花台 雨遮 地下層
RPPNMLNKJIJFFEP58CA,2,158.14,住家用,鋼筋混凝土造,102年4月9日,三層,一層 二層 三層
RPQOMLNKJIJFFEP78CA,34,94.90,住家用,鋼筋混凝土加強磚造,69年9月10日,二層,一層 二層 電梯樓梯間
RPSNMLLLJIJFFDP68CA,1,167.45,住宅、停車空間,鋼筋混凝土造,103年3月12日,三層,一層 二層 三層 陽台 見其他登記事項
RPRNMLKLJIJFFDP48CA,37,372.05,住家用,加強磚造,67年3月10日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPWNMLRJJIJFFAP56CA,35,119.42,住商用,加強磚造,68年12月20日,二層,一層 二層 騎樓 電梯樓梯間
RPOOMLRJJIJFFAP48CA,21,23.44,住家用,鋼筋混凝土造,83年2月15日,七層,五層 花台
RPOOMLRJJIJFFAP48CA,21,10.98,共有部份,鋼筋混凝土造,83年2月15日,七層,
RPSNMLRJJIJFFBP88CA,35,28.06,農舍,加強磚造,68年11月2日,一層,一層
RPRNMLRJJIJFFCP88CA,34,109.44,住商用,加強磚造,69年12月18日,二層,一層 二層 騎樓
RPPNMLKKJIJFFBP97CA,3,197.06,一般事務所,鋼筋混凝土造,100年10月11日,三層,一層 二層 三層 陽台 見其他登記事項 見其他登記事項
RPTNMLKKJIJFFBP38CA,21,76.06,住家用,鋼筋混凝土造,83年1月22日,九層,七層 陽台
RPTNMLKKJIJFFBP38CA,21,9.81,地下室﹕２２８７﹒３３平方公尺,鋼筋混凝土造,83年1月22日,九層,
RPTNMLKKJIJFFBP38CA,21,.99,共有部份,鋼筋混凝土造,83年1月21日,,
RPTNMLKKJIJFFBP38CA,21,.65,共有部份,鋼筋混凝土造,83年1月21日,,
RPTNMLKKJIJFFBP38CA,21,.76,共有部份,鋼筋混凝土造,83年1月21日,,
RPTNMLKKJIJFFBP38CA,21,2.14,共有部份,鋼筋混凝土造,83年1月21日,,
RPTNMLKKJIJFFBP38CA,21,6.68,共有部份,鋼筋混凝土造,83年1月21日,,
RPUNMLMKJIJFFCP78CA,43,97.28,住家用,磚造瓦頂,61年1月15日,一層,一層
RPPNMLKKJIJFFAP87CA,1,274.76,住家用,鋼筋混凝土造,102年12月12日,四層,一層 二層 三層 四層 陽台
RPPNMLKKJIJFFAP87CA,1,.85,住家用,鋼筋混凝土造,102年12月12日,二層,
RPPNMLRJJIJFFCP78DA,35,117.28,住商用,加強磚造,68年8月30日,二層,一層 二層 騎樓
RPSNMLMJKIJFFEP88DA,20,68.84,住家用,鋼筋混凝土造,83年4月27日,七層,七層
RPRNMLKKJIJFFBP38EA,21,133.70,住家用,鋼筋混凝土造,82年10月18日,三層,一層 二層 三層 陽台 平台 露台
RPQNMLMKJIJFFAP28DA,3,173.96,一般事務所,鋼筋混凝土造,100年3月9日,三層,一層 二層 三層 陽台 電梯樓梯間
RPVNMLOJJIJFFAP78CA,20,80.75,住家用,鋼筋混凝土造,83年9月18日,十四層,六層 陽台
RPVNMLOJJIJFFAP78CA,20,32.15,共有部份,鋼筋混凝土造,83年9月18日,十四層,
RPWNMLOJJIJFFAP88CA,44,49.94,住家用,磚造,60年3月1日,一層,一層
RPPNMLNKJIJFFFP78DA,,205.52,一般事務所，樓梯間,ＲＣ加強磚造,103年9月12日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPXOMLRLJIJFFAP96CA,16,186.24,農舍,磚木造,88年4月1日,一層,一層
RPUOMLRLJIJFFAP66CA,,102.91,,,,,
RPVNMLRLJIJFFAP66CA,18,97.94,住家用,鋼筋混凝土造,86年2月11日,十三層,五層 陽台
RPVNMLRLJIJFFAP66CA,18,29.90,共有部份,鋼筋混凝土造,86年2月11日,十四層,
RPQNMLMKJIJFFDP48CA,26,222.19,住家用,鋼筋混凝土造,78年1月6日,三層,一層 二層 三層 陽台 電梯樓梯間 地下層
RPQNMLLKJIJFFDP38CA,8,16.31,住家用,鋼筋混凝土造,95年8月3日,五層,五層 陽台
RPQNMLLKJIJFFDP38CA,8,6.96,設備空間、梯廳、停車空間,鋼筋混凝土造,95年8月3日,五層,
RPQNMLLKJIJFFDP38CA,8,5.23,梯廳、走廊、梯間、水箱,鋼筋混凝土造,95年8月3日,五層,
RPSNMLMKJIJFFDP78DA,,206.19,住家用,鋼筋混凝土造,103年6月27日,三層,
RPTNMLMKJIJFFCP68CA,19,50.68,住家用,鋼筋混凝土造,84年5月30日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPSNMLOKJIJFFAP58CA,5,256.80,住家用,鋼筋混凝土造,99年4月2日,四層,
RPUNMLOKJIJFFAP78CA,29,129.51,住商用,加強磚造,75年1月20日,二層,一層 二層 騎樓 電梯樓梯間
RPOOMLKLJIJFFAP97CA,22,147.80,住家用,鋼筋混凝土造,81年7月22日,三層,一層 二層 三層 陽台 平台 電梯樓梯間
RPTNMLSJKIJFFAP56DA,,67.41,農舍,鋼筋混凝土造,103年6月20日,一層,一層
RPPNMLLJKIJFFAP97CA,21,254.84,住家用,鋼筋混凝土造,82年12月10日,四層,一層 二層 三層 四層 陽台
RPQNMLRKJIJFFAP68CA,22,98.59,住家用,鋼筋混凝土造,81年5月6日,二層,一層 二層 電梯樓梯間
RPPNMLOKJIJFFBP38CA,33,103.14,住家用,鋼筋混凝土加強磚造,70年4月30日,二層,一層 二層 騎樓
RPVNMLPLJIJFFEP86CA,21,157.83,商業用,鋼造,82年7月3日,一層,一層
RPSNMLNKJIJFFDP78CA,,215.34,住宅、樓梯間,鋼筋混凝土造,103年7月14日,三層,一層 二層 三層 見其他登記事項
RPRNMLLJKIJFFCP38CA,19,175.05,住家用,鋼筋混凝土造,84年12月21日,三層,一層 二層 三層 陽台 電梯樓梯間
RPQOMLTJKIJFFAP98CA,22,122.75,住家用,鋼筋混凝土造,81年4月5日,五層,五層 陽台
RPQOMLTJKIJFFAP98CA,22,11.36,共有部份,鋼筋混凝土造,81年4月5日,五層,
RPQOMLTJKIJFFAP98CA,22,37.70,共有部份,鋼筋混凝土造,81年4月5日,五層,
RPPOMLTJKIJFFAP88CA,38,120.12,住商用,加強磚造,65年12月10日,二層,一層 二層 騎樓
RPQNMLSKJIJFFDP09CA,8,16.84,住家用,鋼筋混凝土造,95年8月3日,五層,二層 陽台
RPQNMLSKJIJFFDP09CA,8,7.25,設備空間、梯廳、停車空間,鋼筋混凝土造,95年8月3日,五層,
RPQNMLSKJIJFFDP09CA,8,5.59,梯廳、走廊、梯間、水箱,鋼筋混凝土造,95年8月3日,五層,
RPWNMLPLJIJFFDP86CA,8,397.13,店舖、停車空間,鋼筋混凝土造,96年1月3日,五層,一層 二層 三層 四層 五層 陽台
RPPNMLPKJIJFFFP98DA,,188.94,一般事務所，樓梯間,ＲＣ加強磚造,103年9月12日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPQNMLPKJIJFFFP09DA,,188.94,一般事務所，樓梯間,ＲＣ加強磚造,103年9月12日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPRNMLPKJIJFFFP56DA,,173.00,一般事務所,ＲＣ加強磚造,103年9月12日,三層,一層 二層 三層 見其他登記事項
RPRNMLNKJIJFFEP88DA,35,66.78,住家用,加強磚造,68年11月4日,二層,一層 二層
RPPNMLPKJIJFFAP48DA,21,171.72,住家用,鋼筋混凝土造,82年7月21日,四層,一層 二層 三層 四層 陽台 電梯樓梯間
RPPNMLPKJIJFFAP48DA,21,3.17,住家用,鋼筋混凝土造,82年7月25日,二層,
RPQNMLNKJIJFFFP78CA,23,152.98,農民住宅,加強磚造,80年9月30日,二層,一層 二層
RPRNMLLKKIJFFCP48CA,,214.23,住宅、樓梯間,鋼筋混凝土造,103年6月27日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPSNMLPKJIJFFFP66DA,,170.27,一般事務所,ＲＣ加強磚造,103年9月12日,三層,一層 二層 三層 見其他登記事項
RPTNMLPKJIJFFFP76DA,,170.27,一般事務所,ＲＣ加強磚造,103年9月12日,三層,一層 二層 三層 見其他登記事項
RPUNMLPKJIJFFFP86DA,,170.27,一般事務所,ＲＣ加強磚造,103年9月12日,三層,一層 二層 三層 見其他登記事項
RPTNMLNKJIJFFDP98DA,,206.19,住家用,鋼筋混凝土造,103年6月27日,三層,
RPPNMLOJKIJFFFP78CA,11,182.31,農舍,加強磚造,92年11月10日,一層,一層 騎樓
RPXNMLTLJIJFFDP37CA,18,103.00,住家用,加強磚造,86年4月1日,二層,
RPOOMLSKJIJFFAP68CA,15,47.24,住家用,鋼筋混凝土造,88年8月27日,八層,五層 陽台
RPOOMLSKJIJFFAP68CA,15,46.74,共有部份,鋼筋混凝土造,88年8月27日,八層,
RPOOMLSKJIJFFAP68CA,15,5.70,共有部份,鋼筋混凝土造,88年8月27日,八層,
RPQOMLOKJIJFFAP48CA,20,72.20,住家用,鋼筋混凝土造,83年8月19日,七層,二層 陽台
RPQOMLOKJIJFFAP48CA,20,20.21,共有部份,鋼筋混凝土造,83年8月19日,七層,
RPXNMLLLJIJFFAP88CA,19,227.51,住家用,加強磚造,84年12月5日,二層,一層 二層 陽台 電梯樓梯間
RPPOMLPLJIJFFAP58CA,,151.66,住家用,鋼筋混凝土造,103年8月5日,三層,
RPWNMLPLJIJFFAP56CA,,152.30,住家用,鋼筋混凝土造,103年8月5日,三層,
RPQOMLPLJIJFFAP68CA,,151.66,住家用,鋼筋混凝土造,103年8月5日,三層,
RPROMLPLJIJFFAP78CA,,151.66,住家用,鋼筋混凝土造,103年8月5日,三層,
RPSOMLPLJIJFFAP88CA,,151.72,住家用,鋼筋混凝土造,103年8月5日,三層,
RPPNMLTKJIJFFBP88CA,,200.97,住宅、樓梯間,鋼筋混凝土造,103年6月9日,三層,一層 二層 三層 陽台 見其他登記事項
RPQNMLTKJIJFFBP98CA,,200.86,住宅、樓梯間,鋼筋混凝土造,103年6月9日,三層,一層 二層 三層 陽台 見其他登記事項
RPTOMLRLJIJFFAP56CA,22,131.00,住家用,加強磚造,81年6月30日,二層,一層 二層 騎樓 電梯樓梯間
RPQOMLTKKIJFFAP09CA,15,197.90,住家用,鋼筋混凝土造,88年9月25日,四層,一層 二層 三層 四層 陽台 地下層
RPQOMLTKKIJFFAP09CA,15,38.67,共有部份,鋼筋混凝土造,88年9月25日,2,
RPUNMLSLJIJFFCP86CA,,185.75,住家用,鋼筋混凝土造,103年8月28日,四層,一層 二層 三層 四層 陽台
RPVNMLSLJIJFFCP96CA,,192.83,住家用,鋼筋混凝土造,103年8月28日,四層,一層 二層 三層 四層 陽台
RPSNMLSLJIJFFCP66CA,,185.75,住家用,鋼筋混凝土造,103年8月28日,四層,一層 二層 三層 四層 陽台
RPWNMLRLJIJFFAP76CA,22,39.29,住家用,鋼筋混凝土造,81年8月26日,六層,三層 陽台
RPWNMLRLJIJFFAP76CA,22,6.77,共有部份,鋼筋混凝土造,81年8月26日,六層,
RPWNMLRLJIJFFAP76CA,22,4.46,,鋼筋混凝土造,81年8月26日,六層,
RPUOMLPLJIJFFAP09CA,,151.66,住家用,鋼筋混凝土造,103年8月5日,三層,
RPTOMLPLJIJFFAP98CA,,151.66,住家用,鋼筋混凝土造,103年8月5日,三層,
RPPNMLOKJIJFFAP28CA,20,85.93,住家用,鋼筋混凝土造,83年6月15日,十一層,九層 陽台
RPPNMLOKJIJFFAP28CA,20,11.43,共有部份,鋼筋混凝土造,83年6月15日,十一層,
RPPNMLOKJIJFFAP28CA,20,10.46,共有部份,鋼筋混凝土造,83年6月15日,,
RPPNMLQKJIJFFFP09DA,,170.27,一般事務所,ＲＣ加強磚造,103年9月12日,三層,一層 二層 三層 見其他登記事項
RPOOMLMJKIJFFDP38CA,8,.64,一般事務所,鋼筋混凝土造,95年12月5日,十二層,
RPOOMLMJKIJFFDP38CA,8,85.32,集合住宅,鋼筋混凝土造,95年12月5日,十二層,七層 陽台
RPOOMLMJKIJFFDP38CA,8,7.49,防空避難室、停車空間,鋼筋混凝土造,95年12月5日,十二層,
RPOOMLMJKIJFFDP38CA,8,15.17,公共設施,鋼筋混凝土造,95年12月5日,十二層,
RPQNMLQKJIJFFFP56DA,,174.54,一般事務所,ＲＣ加強磚造,103年9月12日,三層,一層 二層 三層 見其他登記事項
RPRNMLQKJIJFFFP66DA,,183.38,一般事務所,ＲＣ加強磚造,103年9月12日,三層,一層 二層 三層 見其他登記事項
RPSNMLQKJIJFFFP76DA,,166.90,一般事務所,ＲＣ加強磚造,103年9月12日,三層,一層 二層 三層 見其他登記事項
RPPNMLRKJIJFFFP56DA,,190.01,一般事務所,ＲＣ加強磚造,103年9月12日,三層,一層 二層 三層 見其他登記事項
RPWNMLRLJIJFFBP86CA,15,162.12,住家用,鋼筋混凝土造,88年8月18日,四層,一層 二層 三層 四層 見其他登記事項
RPRNMLOKJIJFFFP98CA,17,84.36,住家用,鋼筋混凝土造,87年3月18日,八層,八層 陽台
RPRNMLOKJIJFFFP98CA,17,10.56,共有部份,鋼筋混凝土造,87年3月18日,八層,
RPRNMLOKJIJFFFP98CA,17,25.87,共有部份,鋼筋混凝土造,87年3月18日,八層,
RPQNMLOKJIJFFFP88CA,17,22.54,住家用,鋼筋混凝土造,87年3月18日,八層,七層 陽台
RPQNMLOKJIJFFFP88CA,17,2.73,共有部份,鋼筋混凝土造,87年3月18日,八層,
RPQNMLOKJIJFFFP88CA,17,6.67,共有部份,鋼筋混凝土造,87年3月18日,八層,
RPPNMLSKJIJFFBP98EA,21,58.94,住家用,鋼筋混凝土造,83年1月22日,九層,八層 陽台
RPPNMLSKJIJFFBP98EA,21,.49,共有部份,鋼筋混凝土造,83年1月21日,,
RPPNMLSKJIJFFBP98EA,21,7.41,地下室﹕２２８７﹒３３平方公尺,鋼筋混凝土造,83年1月22日,九層,
RPPNMLSKJIJFFBP98EA,21,1.62,共有部份,鋼筋混凝土造,83年1月21日,,
RPPNMLSKJIJFFBP98EA,21,.75,共有部份,鋼筋混凝土造,83年1月21日,,
RPPNMLSKJIJFFBP98EA,21,5.20,共有部份,鋼筋混凝土造,83年1月21日,,
RPPNMLSKJIJFFBP98EA,21,.57,共有部份,鋼筋混凝土造,83年1月21日,,
RPROMLKLJIJFFAP38DA,17,66.57,住家用,鋼筋混凝土造,86年5月15日,十六層,
RPROMLKLJIJFFAP38DA,17,29.29,共有部份,鋼筋混凝土造,86年5月15日,十六層,
RPROMLKLJIJFFAP38DA,17,15.71,共有部份,鋼筋混凝土造,86年5月15日,十六層,
RPUNMLPLJIJFFEP86DA,32,124.83,住商用,鋼筋混凝土加強磚造,72年1月1日,二層,一層 二層 陽台 騎樓
RPQNMLRKJIJFFFP66DA,,190.51,一般事務所,ＲＣ加強磚造,103年9月12日,三層,一層 二層 三層 見其他登記事項
RPRNMLRKJIJFFFP76DA,,168.79,一般事務所,ＲＣ加強磚造,103年9月12日,三層,一層 二層 三層 見其他登記事項
RPPNMLTKJIJFFFP76DA,16,362.19,農舍,加強磚造,87年12月28日,二層,一層 二層 電梯樓梯間
RPPNMLSKJIJFFFP66DA,,191.98,一般事務所，樓梯間,ＲＣ加強磚造,103年9月12日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPWNMLLKKIJFFDP09CA,20,95.62,住家用,鋼筋混凝土造,83年11月28日,十層,十層 陽台 露台
RPWNMLLKKIJFFDP09CA,20,15.95,共有部份,鋼筋混凝土造,83年11月28日,十層,
RPWNMLLKKIJFFDP09CA,20,8.12,共有部份,鋼筋混凝土造,83年11月28日,十層,
RPWNMLLKKIJFFDP09CA,20,1.00,共有部份,鋼筋混凝土造,83年11月28日,十層,
RPOPMLMKKIJFFDP58CA,,181.64,一般事務所,鋼筋混凝土造,103年9月23日,三層,一層 二層 三層 陽台
RPPPMLMKKIJFFDP68CA,,181.64,一般事務所,鋼筋混凝土造,103年9月23日,三層,一層 二層 三層 陽台
RPQOMLMKKIJFFDP68CA,,181.64,一般事務所,鋼筋混凝土造,103年9月23日,三層,一層 二層 三層 陽台
RPWOMLMKKIJFFDP66CA,,181.64,一般事務所,鋼筋混凝土造,103年9月23日,三層,一層 二層 三層 陽台
RPQNMLRKJIJFFDP98CA,8,18.59,集合住宅,鋼筋混凝土造,96年2月5日,十三層,二層 陽台
RPQNMLRKJIJFFDP98CA,8,7.79,防空避難室、停車空間、管理委員會使用空間、門廳、門廊、車道、樓梯間、機械室、水箱,鋼筋混凝土造,96年2月5日,十三層,
RPQNMLRKJIJFFDP98CA,8,1.33,走廊,鋼筋混凝土造,96年2月5日,十三層,
RPPNMLPLJIJFFEP88CA,20,155.71,住家用,鋼筋混凝土造,83年7月15日,三層,一層 二層 三層 陽台 騎樓 電梯樓梯間
RPPPMLSKJIJFFEP66CA,3,243.72,住家用,鋼筋混凝土造,101年3月6日,三層,一層 二層 三層 陽台 平台 屋頂突出物
RPPOMLSKJIJFFAP78CA,5,202.92,住家用,鋼筋混凝土造,99年3月1日,四層,一層 二層 三層 四層 陽台 雨遮
RPPNMLQLJIJFFDP88CA,10,203.19,住家用,鋼筋混凝土造,94年2月25日,三層,一層 二層 三層 陽台
RPXNMLSKJIJFFAP86CA,20,86.50,住家用,鋼筋混凝土造,83年11月15日,十二層,十二層 陽台 花台
