編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQSMLMJKHKFFAH87CA,2,25.37,本共有部分之項目有：停車場、防空避難室兼停車場、樓梯間、電梯間及機械房、蓄水池等六項。,鋼筋混凝土造,102年3月27日,十層,
RPRQMLNJKHKFFAH87CA,19,73.31,住家用,鋼筋混凝土造,84年11月3日,二十層,十二層 陽台 見其他登記事項
RPRQMLNJKHKFFAH87CA,19,10.24,共有部份,鋼筋混凝土造,84年11月3日,二十層,
RPRQMLNJKHKFFAH87CA,19,15.14,共有部份,鋼筋混凝土造,84年11月3日,二十層,
RPPPMLNJKHKFFAH57CA,21,74.12,住家用,鋼筋混凝土造,83年6月16日,八層,七層 陽台
RPPPMLNJKHKFFAH57CA,21,11.40,共有部份,鋼筋混凝土造,83年6月16日,八層,
RPPPMLNJKHKFFAH57CA,21,14.41,共有部份,鋼筋混凝土造,83年6月16日,八層,
RPXOMLNJKHKFFAH28CA,9,207.58,住家用,鋼筋混凝土造,95年2月21日,二十五層,七層 陽台 雨遮
RPXOMLNJKHKFFAH28CA,9,49.70,共有部份,鋼筋混凝土造,95年2月21日,二十五層,
RPXOMLNJKHKFFAH28CA,9,48.26,共有部份,鋼筋混凝土造,95年2月21日,二十五層,
RPWOMLOJKHKFFAH28CA,21,34.45,廠房,鋼筋混凝土造,82年11月10日,八層,七層
RPWOMLOJKHKFFAH28CA,21,11.58,共有部份,鋼筋混凝土造,82年11月10日,八層,
RPWOMLOJKHKFFAH28CA,21,9.82,共有部份,鋼筋混凝土造,82年11月10日,八層,
RPWRMLMJKHKFFAH38CA,2,25.37,本共有部分之項目有：停車場、防空避難室兼停車場、樓梯間、電梯間及機械房、蓄水池等六項。,鋼筋混凝土造,102年3月27日,十層,
RPPRMLNJKHKFFAH77CA,1,94.94,住家用,鋼筋混凝土造,103年1月17日,十五層,八層 陽台 雨遮
RPPRMLNJKHKFFAH77CA,1,55.31,本共有部分之項目有（附屬防空避難室兼停車空間、停車空間、停車場管理室、公共服務空間）等４項。,鋼筋混凝土造,103年1月17日,十五層,
RPPRMLNJKHKFFAH77CA,1,19.77,本共有部分之項目有（附屬梯間、機械室、水箱）等３項。,鋼筋混凝土造,103年1月17日,十五層,
RPSNMLPJKHKFFAH87CA,16,116.47,住家用,鋼筋混凝土造,88年2月8日,十二層,十層 陽台 花台 雨遮
RPSNMLPJKHKFFAH87CA,16,43.40,共有部份,鋼筋混凝土造,88年2月8日,十二層,
RPSNMLPJKHKFFAH87CA,16,23.07,共有部份,鋼筋混凝土造,88年2月8日,十二層,
RPRNMLQJKHKFFAH87CA,31,73.96,住家用,鋼筋混凝土造,72年7月2日,五層,四層
