編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLQKKHKFFBN88CA,2,203.17,人行道，住宅,鋼筋混凝土造,102年6月28日,四層,一層 二層 三層 四層 陽台 騎樓
RPSNMLMJKHKFFBN38DA,20,129.10,住家用,鋼筋混凝土造,83年8月31日,三層,一層 二層 三層
RPTNMLOJKHKFFBN58CA,,181.96,住家用,鋼筋混凝土造,103年7月9日,四層,一層 二層 三層 四層
RPSNMLOJKHKFFFN98DA,22,90.98,農舍,鋼筋混凝土造,81年10月16日,二層,一層 二層
RPQOMLNJKHKFFAN18CA,48,235.89,住工用,磚造,56年5月17日,二層,一層 二層 騎樓
RPXNMLOJKHKFFAN88CA,32,87.00,,加強磚造,72年3月22日,二層,一層 二層
SPSOMLQJKHKFFAN78CA,21,87.51,住家用,鋼筋混凝土造,82年9月27日,十層,三層 陽台 花台
SPSOMLQJKHKFFAN78CA,21,29.34,停車空間、避難室、開放空間,鋼筋混凝土造,82年9月27日,十層,
SPSOMLQJKHKFFAN78CA,21,16.15,梯間,鋼筋混凝土造,82年9月27日,十層,
RPSOMLQJKHKFFAN68CA,21,38.72,住家用,鋼筋混凝土造,82年9月27日,十層,三層 花台
RPSOMLQJKHKFFAN68CA,21,14.03,停車空間、避難室、開放空間,鋼筋混凝土造,82年9月27日,十層,
RPSOMLQJKHKFFAN68CA,21,7.78,梯間,鋼筋混凝土造,82年9月27日,十層,
RPUOMLNKKHKFFAN68CA,19,83.88,住家用,鋼筋混凝土造,84年12月28日,八層,七層 陽台
RPUOMLNKKHKFFAN68CA,19,35.70,梯間、機械室、水箱、避難室、停車空間、門廳、車道,鋼筋混凝土造,84年12月28日,八層,
RPQPMLPJKHKFFAN48CA,29,99.44,住家用,鋼筋混凝土造,74年7月1日,三層,一層 二層 三層
RPQNMLOJKHKFFAN18CA,38,214.40,住商用,鋼筋混凝土造,65年7月21日,四層,一層 二層 三層 四層 騎樓
RPPNMLRKKHKFFCN68CA,13,168.17,住家用,鋼筋混凝土造,91年1月29日,三層,一層 二層 三層 見其他登記事項
RPWOMLOJKHKFFDN56CA,30,81.08,住家用,鋼筋混凝土造,73年12月13日,五層,五層
RPUNMLTJKHKFFDN76CA,41,32.38,見其他登記事項,見其他登記事項,62年10月10日,一層,一層
RPUNMLTJKHKFFDN76CA,41,229.47,工業用,鋼筋混凝土加強磚造,62年10月10日,一層,一層
RPUNMLTJKHKFFDN76CA,43,329.33,商業用,鐵造,61年2月2日,一層,一層
