鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
東石鄉,土地,圍潭段圍潭小段223地號,2156.0,,一般農業區,農牧用地,1040116,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1597500,741,,0.0,0,,RPPNMLSJKHKFFBQ88CA,0.0,0.0,0.0,,
朴子市,房地(土地+建物),嘉義縣朴子市山通路３之１３號十二樓,16.87,住,,,1040108,土地2建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830910,98.57,3,2,2,有,有,2500000,25363,,0.0,0,,RPTNMLTJKHKFFBQ76CA,72.71,0.0,11.04,,
布袋鎮,土地,新生段23-35地號,321.0,商,,,1040106,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3010100,9377,,0.0,0,,RPSNMLMKKHKFFBQ68CA,0.0,0.0,0.0,,
布袋鎮,房地(土地+建物),嘉義縣布袋鎮新西路２４７號,89.2,住,,,1031222,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0810718,112.47,5,2,3,有,無,2200000,19561,,0.0,0,,RPRNMLOLKHKFFBQ88CA,112.47,0.0,0.0,,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉三興村７鄰神農路５３號,117.01,住,,,1040117,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0960118,215.79,4,2,2,有,無,9200000,42634,,0.0,0,,RPVNMLLKKHKFFCQ98CA,204.9,10.89,0.0,,
太保市,房地(土地+建物),嘉義縣太保巿過溝里過溝４５之１３號,82.0,住,,,1031230,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0811214,172.25,3,1,3,有,無,3900000,22642,,0.0,0,,RPVNMLMJKHKFFDQ09CA,138.44,33.81,0.0,,
太保市,土地,頂港子墘段頂港小段614地號,4493.0,,特定農業區,農牧用地,1040115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13703650,3050,,0.0,0,,RPTNMLNJKHKFFDQ98CA,0.0,0.0,0.0,,
水上鄉,房地(土地+建物),嘉義縣水上鄉靖和村南靖糖廠５９號,40.09,,鄉村區,乙種建築用地,1040118,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0740411,55.96,3,2,1,有,無,490000,8756,,0.0,0,,RPSNMLQJKHKFFDQ56CA,51.8,4.16,0.0,,
番路鄉,土地,公田段141-9地號,1633.0,,森林區,農牧用地,1040120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,126000,77,,0.0,0,,RPUNMLNJKHKFFEQ56CA,0.0,0.0,0.0,,
梅山鄉,土地,大草埔段813-4地號,12554.0,,山坡地保育區,農牧用地,1040121,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,717,,0.0,0,,RPPNMLPJKHKFFEQ88CA,0.0,0.0,0.0,,
番路鄉,房地(土地+建物),嘉義縣番路鄉江西村６鄰平田２０號四樓六,6.51,住,,,1031225,土地2建物1車位0,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820401,48.26,1,1,1,有,無,950000,19685,,0.0,0,,RPQNMLMKKHKFFEQ78CA,33.68,0.0,5.15,,
六腳鄉,土地,港尾寮段160-2地號,350.5,,特定農業區,甲種建築用地,1040111,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,3138,,0.0,0,,RPXNMLNKKHKFFBQ76DA,0.0,0.0,0.0,,
大林鎮,土地,新大埔美段2329地號,5054.64,,一般農業區,農牧用地,1040115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2950000,584,,0.0,0,,RPUNMLNJKHKFFCQ09DA,0.0,0.0,0.0,,
太保市,土地,新埤段新埤小段875地號,4159.0,,特定農業區,農牧用地,1040108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6230000,1498,,0.0,0,,RPPOMLNJKHKFFDQ78DA,0.0,0.0,0.0,,
