編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLSJNHKFFAB87CA,後?子段,4.43,都市：住,10000,233,持分移轉,02520138
RPSNMLSJNHKFFAB87CA,後?子段,.28,都市：其他:道路用地,10000,233,持分移轉,02520777
RPWOMLPJNHKFFAB08CA,土庫段,17.63,都市：住,1000,17,持分移轉,00190028
RPXNMLQJNHKFFAB18CA,下橋子頭段,4.23,都市：商,1000000,1610,持分移轉,01340004
RPXNMLQJNHKFFAB18CA,下橋子頭段,3.48,都市：住,1000000,1610,持分移轉,01360013
RPQNMLQJNHKFFAB47CA,頂橋子頭段,21.26,都市：住,1000,195,持分移轉,02560202
RPXOMLPKNHKFFAB28CA,萬安段九小段,3.92,都市：住,10000,16,持分移轉,00050000
RPSPMLOJNHKFFAB67CA,中華段三小段,1.50,都市：商,10000,10,持分移轉,00020021
RPSNMLRJNHKFFAB77CA,下橋子頭段,10.98,都市：住,100000,51,持分移轉,02310001
RPSOMLPJNHKFFAB67CA,公館段,3.78,都市：住,1000000,1193,持分移轉,00620001
RPSOMLPJNHKFFAB67CA,公館段,3.27,都市：住,1000000,1193,持分移轉,00630001
RPPNMLTKNHKFFAB77CA,麻園頭段,63.00,都市：住,1,1,全筆移轉,00840077
RPRRMLKLNHKFFAB57CA,下橋子頭段,138.00,都市：住,1,1,全筆移轉,02860056
RPRPMLOJNHKFFBB67CA,仁德段,20.82,都市：住,10000,200,持分移轉,09500006
RPRPMLOJNHKFFBB67CA,陳平段,6.42,都市：住,10000,200,持分移轉,20420000
RPTOMLOJNHKFFBB77CA,太順段,100.00,都市：住,1,1,全筆移轉,00320012
RPWNMLNLNHKFFAB97CA,東勢子段,24.89,都市：住,100000,2455,持分移轉,00610009
RPPOMLOJNHKFFBB37CA,水湳段,19.00,都市：住,3,1,持分移轉,06880000
RPPOMLOJNHKFFBB37CA,水湳段,19.00,都市：住,3,1,持分移轉,06880000
RPSNMLPJNHKFFBB67CA,同榮段,109.24,都市：住,1000000,23288,持分移轉,06260000
RPSNMLPJNHKFFBB67CA,同榮段,2.60,都市：住,1000000,31748,持分移轉,06260001
RPSNMLPJNHKFFBB67CA,同榮段,22.32,都市：住,1000000,31748,持分移轉,06260002
RPSNMLPJNHKFFBB67CA,同榮段,17.94,都市：住,1000000,31748,持分移轉,06260003
RPSNMLPJNHKFFBB67CA,同榮段,19.53,都市：住,1000000,31748,持分移轉,06260004
RPSNMLPJNHKFFBB67CA,同榮段,21.62,都市：住,1000000,31748,持分移轉,06260005
RPUOMLPJNHKFFBB97CA,邱厝子段,11.41,都市：住,10000,92,持分移轉,00190057
RPRPMLPJNHKFFBB77CA,東峰段,10.25,都市：住,100000,244,持分移轉,01580000
RPUPMLRLNHKFFAB38CA,麻園頭段,15.00,都市：其他:道路用地,1,1,全筆移轉,01570296
RPUPMLRLNHKFFAB38CA,麻園頭段,36.00,都市：其他:道路用地,1,1,全筆移轉,01570297
RPUPMLRLNHKFFAB38CA,麻園頭段,22.00,都市：其他:道路用地,1,1,全筆移轉,01570298
RPUPMLRLNHKFFAB38CA,麻園頭段,78.00,都市：其他:道路用地,1,1,全筆移轉,01570299
