鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
八德區,房地(土地+建物),桃園市八德區瑞安街86號E1,108.65,,鄉村區,乙種建築用地,1021106,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,344.11,3,2,4,有,無,24300000,70617,,0.0,0,,RPXOMLOJNHKFFFH66CB
八德區,房地(土地+建物),桃園市八德區瑞安街88號E2,107.0,,鄉村區,乙種建築用地,1030307,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,335.47,3,2,4,有,無,23980000,71482,,0.0,0,,RPOPMLOJNHKFFFH48CB
八德區,房地(土地+建物),桃園市八德區瑞安街90號E3,108.71,,鄉村區,乙種建築用地,1020908,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,335.47,3,2,4,有,無,22880000,68203,,0.0,0,,RPPPMLOJNHKFFFH58CB
八德區,房地(土地+建物),桃園市八德區瑞安街92號E4,110.41,,鄉村區,乙種建築用地,1021209,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,335.47,3,2,4,有,無,23680000,70588,,0.0,0,,RPQPMLOJNHKFFFH68CB
八德區,房地(土地+建物),桃園市八德區瑞安街96號E5,111.49,,鄉村區,乙種建築用地,1030128,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,335.47,3,2,4,有,無,23760000,70826,,0.0,0,,RPRPMLOJNHKFFFH78CB
八德區,房地(土地+建物),桃園市八德區瑞安街102號F2,83.27,,鄉村區,乙種建築用地,1030113,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,278.74,3,2,3,有,無,19200000,68881,,0.0,0,,RPSPMLOJNHKFFFH88CB
八德區,房地(土地+建物),桃園市八德區瑞安街108號F4,90.01,,鄉村區,乙種建築用地,1030119,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,308.25,3,2,4,有,無,21000000,68127,,0.0,0,,RPTPMLOJNHKFFFH98CB
八德區,房地(土地+建物),桃園市八德區瑞安街110號F5,100.55,,鄉村區,乙種建築用地,1020930,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,303.14,3,2,4,有,無,20030000,66075,,0.0,0,,RPUPMLOJNHKFFFH09CB
八德區,房地(土地+建物),桃園市八德區瑞安街112號F6,119.93,,鄉村區,乙種建築用地,1030411,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,311.97,3,2,4,有,無,22200000,71161,,0.0,0,,RPVPMLOJNHKFFFH56CB
八德區,房地(土地+建物),桃園市八德區瑞安街39號G1,96.54,,鄉村區,乙種建築用地,1020913,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,311.97,3,2,4,有,無,20990000,67282,,0.0,0,,RPWPMLOJNHKFFFH66CB
八德區,房地(土地+建物),桃園市八德區瑞安街41號G2,92.21,,鄉村區,乙種建築用地,1030505,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,303.14,3,2,4,有,無,20900000,68945,,0.0,0,,RPXPMLOJNHKFFFH76CB
八德區,房地(土地+建物),桃園市八德區瑞安街43號G3,91.96,,鄉村區,乙種建築用地,1020930,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,303.14,3,2,4,有,無,21000000,69275,,0.0,0,,RPOQMLOJNHKFFFH58CB
八德區,房地(土地+建物),桃園市八德區瑞安街47號G5,91.46,,鄉村區,乙種建築用地,1030411,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,303.14,3,2,4,有,無,21000000,69275,,0.0,0,,RPPQMLOJNHKFFFH68CB
八德區,房地(土地+建物),桃園市八德區瑞安街49號G6,90.84,,鄉村區,乙種建築用地,1030518,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,303.14,3,2,4,有,無,20700000,68285,,0.0,0,,RPQQMLOJNHKFFFH78CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-1號1樓A1-01F,49.75,,鄉村區,乙種建築用地,1030206,土地3建物1車位1,一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,271.92,4,2,2,有,無,19320000,72130,坡道平面,27.64,1700000,,RPRQMLOJNHKFFFH88CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-1號3樓A1-3F,40.35,,鄉村區,乙種建築用地,1030821,土地3建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,226.17,4,2,2,有,無,11960000,54198,坡道平面,27.64,1200000,,RPSQMLOJNHKFFFH98CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-1號4樓A1-4F,40.35,,鄉村區,乙種建築用地,1030821,土地3建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,226.28,4,2,2,有,無,11810000,53413,坡道平面,27.64,1200000,,RPTQMLOJNHKFFFH09CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-1號5樓A1-5F,41.14,,鄉村區,乙種建築用地,1030611,土地3建物1車位2,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,253.92,4,2,2,有,無,13000000,53363,坡道平面,55.28,2400000,,RPUQMLOJNHKFFFH56CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-1號6樓A1-6F,40.35,,鄉村區,乙種建築用地,1030425,土地3建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,226.28,4,2,2,有,無,12160000,52658,坡道平面,27.64,1700000,,RPVQMLOJNHKFFFH66CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-1號7樓A1-7F,41.14,,鄉村區,乙種建築用地,1030421,土地3建物1車位2,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,253.92,4,2,2,有,無,13120000,53967,坡道平面,55.28,2400000,,RPWQMLOJNHKFFFH76CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-1號8樓A1-8F,40.35,,鄉村區,乙種建築用地,1021012,土地3建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,226.28,4,2,2,有,無,12450000,54118,坡道平面,27.64,1700000,,RPXQMLOJNHKFFFH86CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-1號9樓A1-9F,40.35,,鄉村區,乙種建築用地,1030214,土地3建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,226.28,4,2,2,有,無,12500000,56887,坡道平面,27.64,1200000,,RPORMLOJNHKFFFH68CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-1號10樓A1-10F,40.35,,鄉村區,乙種建築用地,1020831,土地3建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,226.28,4,2,2,有,無,13200000,57894,坡道平面,27.64,1700000,,RPPRMLOJNHKFFFH78CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-1號11樓A1-11F,41.14,,鄉村區,乙種建築用地,1030418,土地3建物1車位2,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,253.92,4,2,2,有,無,13600000,56383,坡道平面,55.28,2400000,,RPQRMLOJNHKFFFH88CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-1號12樓A1-12F,40.35,,鄉村區,乙種建築用地,1020825,土地3建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,226.28,4,2,2,有,無,11460000,53161,坡道平面,27.64,900000,,RPRRMLOJNHKFFFH98CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-1號13樓A1-13F,41.14,,鄉村區,乙種建築用地,1030328,土地3建物1車位2,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,253.92,4,2,2,有,無,13800000,57390,坡道平面,55.28,2400000,,RPSRMLOJNHKFFFH09CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-1號14樓A1-14F,40.35,,鄉村區,乙種建築用地,1020825,土地3建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,226.28,4,2,2,有,無,11460000,53161,坡道平面,27.64,900000,,RPTRMLOJNHKFFFH56CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-1號15樓A1-15F,41.14,,鄉村區,乙種建築用地,1030524,土地3建物1車位2,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,253.92,4,2,2,有,無,13230000,55528,坡道平面,55.28,2200000,,RPURMLOJNHKFFFH66CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-2號7樓A2-7F,41.14,,鄉村區,乙種建築用地,1030802,土地3建物1車位2,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,253.92,4,2,2,有,無,12680000,51752,坡道平面,55.28,2400000,,RPVRMLOJNHKFFFH76CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-2號8樓A2-8F,41.14,,鄉村區,乙種建築用地,1030509,土地3建物1車位2,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,253.92,4,2,2,有,無,12940000,53061,坡道平面,55.28,2400000,,RPWRMLOJNHKFFFH86CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-2號9樓A2-9F,40.35,,鄉村區,乙種建築用地,1030428,土地3建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,226.28,4,2,2,有,無,12100000,54873,坡道平面,27.64,1200000,,RPXRMLOJNHKFFFH96CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-2號10樓A2-10F,41.14,,鄉村區,乙種建築用地,1030607,土地3建物1車位2,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,253.92,4,2,2,有,無,13120000,53967,坡道平面,55.28,2400000,,RPOSMLOJNHKFFFH78CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-2號12樓A2-12F,40.35,,鄉村區,乙種建築用地,1020830,土地3建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,226.28,4,2,2,有,無,12350000,55377,坡道平面,27.64,1350000,,RPPSMLOJNHKFFFH88CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-2號13樓A2-13F,40.35,,鄉村區,乙種建築用地,1030825,土地3建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,226.28,4,2,2,有,無,12680000,55276,坡道平面,27.64,1700000,,RPQSMLOJNHKFFFH98CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-3號1樓B1-1F,50.14,,鄉村區,乙種建築用地,1030101,土地3建物1車位1,一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,274.08,4,2,2,有,無,17900000,65736,坡道平面,27.64,1700000,,RPRSMLOJNHKFFFH09CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-3號4樓B1-4F,40.77,,鄉村區,乙種建築用地,1030112,土地3建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,226.3,4,2,2,有,無,11820000,50941,坡道平面,27.64,1700000,,RPSSMLOJNHKFFFH56CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-3號5樓B1-5F,41.55,,鄉村區,乙種建築用地,1030620,土地3建物1車位2,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,253.94,4,2,2,有,無,12780000,51243,坡道平面,55.28,2600000,,RPTSMLOJNHKFFFH66CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-3號6樓B1-6F,40.77,,鄉村區,乙種建築用地,1030404,土地3建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,226.3,4,2,2,有,無,12600000,54868,坡道平面,27.64,1700000,,RPUSMLOJNHKFFFH76CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-3號7樓B1-7F,40.77,,鄉村區,乙種建築用地,1021108,土地3建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,226.3,4,2,2,有,無,12670000,55220,坡道平面,27.64,1700000,,RPVSMLOJNHKFFFH86CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-3號8樓B1-8F,41.55,,鄉村區,乙種建築用地,1030206,土地3建物1車位2,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,253.94,4,2,2,有,無,13400000,54364,坡道平面,55.28,2600000,,RPWSMLOJNHKFFFH96CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-3號9樓B1-9F,41.55,,鄉村區,乙種建築用地,1030206,土地3建物1車位2,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,253.94,4,2,2,有,無,13520000,54968,坡道平面,55.28,2600000,,RPXSMLOJNHKFFFH07CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-3號10樓B1-10F,41.55,,鄉村區,乙種建築用地,1030206,土地3建物1車位2,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,253.94,4,2,2,有,無,13640000,55572,坡道平面,55.28,2600000,,RPOTMLOJNHKFFFH88CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-3號11樓B1-11F,41.55,,鄉村區,乙種建築用地,1030206,土地3建物1車位2,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,253.94,4,2,2,有,無,13750000,56126,坡道平面,55.28,2600000,,RPPTMLOJNHKFFFH98CB
八德區,房地(土地+建物)+車位,桃園市八德區瑞安街118-3號12樓B1-12F,40.77,,鄉村區,乙種建築用地,1030206,土地3建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,226.3,4,2,2,有,無,12810000,57938,坡道平面,27.64,1300000,,RPQTMLOJNHKFFFH09CB
