編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSJQHKFFBC08CA,中興段二小段,34.75,都市：商,8,2,持分移轉,01700000
RPPNMLSJQHKFFBC08CA,中興段二小段,4.50,都市：商,8,2,持分移轉,01920000
RPWNMLOJQHKFFBC38CA,延年段,54.00,都市：住,1,1,全筆移轉,07940000
RPPNMLRJQHKFFBC97CA,復興段一小段,17.00,都市：商,1,1,全筆移轉,00760000
RPPNMLRJQHKFFBC97CA,復興段一小段,129.00,都市：商,1,1,全筆移轉,00770000
RPVNMLOJQHKFFBC28CA,長潭段,.55,都市：住,100000,21,持分移轉,08450000
RPVNMLOJQHKFFBC28CA,長潭段,5.52,都市：住,100000,21,持分移轉,08450003
RPXNMLOJQHKFFCC58CA,新會段,.50,都市：住,100000,326,持分移轉,02300000
RPXNMLOJQHKFFCC58CA,新會段,17.35,都市：住,100000,326,持分移轉,02310000
RPXNMLOJQHKFFCC58CA,新會段,1.28,都市：住,100000,326,持分移轉,02320000
RPXNMLOJQHKFFCC58CA,新會段,.93,都市：住,100000,326,持分移轉,02330000
RPTOMLRJQHKFFCC58CA,榮華段,13.00,都市：商,1,1,全筆移轉,04600006
RPTOMLRJQHKFFCC58CA,榮華段,27.00,都市：商,1,1,全筆移轉,04550000
RPVNMLPJQHKFFCC48CA,新會段,5.45,都市：住,10000,15,持分移轉,00720000
RPVNMLPJQHKFFCC48CA,新會段,.57,都市：其他:道路用地,10000,15,持分移轉,00760001
RPVNMLPJQHKFFCC48CA,新會段,1.56,都市：其他:鄰里公園用地,10000,15,持分移轉,01000000
RPSNMLPJQHKFFCC18CA,過港段,20.94,都市：住,100000,630,持分移轉,00080000
RPVNMLPJQHKFFCC48CA,新會段,.17,都市：住,10000,15,持分移轉,01000001
RPVNMLPJQHKFFCC48CA,新會段,3.58,都市：其他:部份保護區部份住宅區,10000,15,持分移轉,01010000
RPSNMLPJQHKFFCC18CA,過港段,.44,都市：其他:保護區,100000,630,持分移轉,00080002
RPPNMLOJQHKFFBC77DA,成功段,54.00,都市：商,1,1,全筆移轉,10270000
RPXNMLOKQHKFFCC68CA,新會段,31.51,都市：住,200000,344,持分移轉,05080000
RPVOMLKKQHKFFCC18CA,五堵段五堵北小段,40.80,都市：住,10000,435,持分移轉,09960000
RPTNMLOJQHKFFBC18DA,調和段,11.54,都市：其他:,100000,34,持分移轉,14150000
RPTNMLOJQHKFFBC18DA,調和段,.01,都市：其他:,100000,34,持分移轉,14150001
RPTNMLOJQHKFFBC18DA,調和段,.00,都市：住,100000,34,持分移轉,14150002
RPPNMLMKQHKFFBC67DA,深澳段,25.00,都市：住,100000,106,持分移轉,10170000
RPSNMLLKQHKFFBC87DA,長潭段,14.20,都市：住,100000,52,持分移轉,08920000
RPXNMLOJQHKFFBC68EA,光明段,30.44,都市：住,10000,24,持分移轉,00730000
RPXNMLOJQHKFFBC68EA,光明段,.03,都市：其他:機關用地,10000,24,持分移轉,00730001
RPXNMLOJQHKFFBC68EA,光明段,.17,都市：其他:機關用地,10000,24,持分移轉,00730002
RPXNMLOJQHKFFBC68EA,光明段,.04,都市：其他:機關用地,10000,24,持分移轉,00730003
RPXNMLOJQHKFFBC68EA,光明段,.08,都市：其他:道路用地,10000,24,持分移轉,00730004
RPXNMLOJQHKFFBC68EA,光明段,.04,都市：其他:機關用地,10000,24,持分移轉,00730005
RPQNMLTLPHKFFCC78CD,武嶺段,31.31,都市：住,100000,689,持分移轉,09530000
RPXNMLQJQHKFFCC88DA,中山段,3.00,都市：商,1,1,全筆移轉,05840000
RPXNMLQJQHKFFCC88DA,中山段,17.00,都市：其他:,1,1,全筆移轉,05840001
RPQNMLKMPHKFFCC97CD,西定段,36.62,都市：住,8,1,持分移轉,01830000
RPQNMLKMPHKFFCC97CD,西定段,2.62,都市：其他:道路用地,8,1,持分移轉,01830001
RPPNMLLMPHKFFCC97CD,源遠段,24.96,都市：住,10000,282,持分移轉,03450000
RPQNMLPJQHKFFBC97DA,深澳段,20.91,都市：住,10000,48,持分移轉,01200000
RPQNMLPJQHKFFBC97DA,深澳段,.06,都市：其他:道路用地,10000,48,持分移轉,01200001
RPSNMLPLQHKFFCC38CA,暖暖段暖暖小段,34.11,都市：住,10000,777,持分移轉,03510000
RPPOMLNKQHKFFCC87CA,中山段,49.00,都市：住,1,1,全筆移轉,00670000
RPVNMLNKQHKFFCC38CA,源遠段,22.48,都市：住,10000,65,持分移轉,03590000
RPROMLRJQHKFFCC38CA,麥金段,10.82,都市：住,100000,47,持分移轉,05350000
RPROMLRJQHKFFCC38CA,麥金段,.41,都市：住,100000,47,持分移轉,05350001
RPROMLRJQHKFFCC38CA,麥金段,.24,都市：住,100000,47,持分移轉,05350002
RPROMLRJQHKFFCC38CA,麥金段,.22,都市：其他:市場用地,100000,47,持分移轉,05350003
RPROMLRJQHKFFCC38CA,麥金段,.02,都市：住,100000,47,持分移轉,05350004
RPROMLRJQHKFFCC38CA,麥金段,.01,都市：住,100000,47,持分移轉,05350005
RPROMLRJQHKFFCC38CA,麥金段,.00,都市：住,100000,47,持分移轉,05350006
RPROMLRJQHKFFCC38CA,麥金段,.00,都市：住,100000,47,持分移轉,05350007
RPPNMLKKQHKFFCC47CA,源遠段,20.90,都市：住,10000,21,持分移轉,11280000
RPPNMLQJQHKFFCC97CA,源遠段,38.99,都市：住,10000,402,持分移轉,00220001
RPTNMLQJQHKFFCC38CA,源遠段,33.56,都市：住,10000,346,持分移轉,00220001
RPWNMLQJQHKFFCC68CA,安國段,31.58,都市：住,10000,688,持分移轉,00010047
RPUNMLRJQHKFFCC58CA,五堵段五堵北小段,8.11,都市：住,10000,237,持分移轉,08560000
RPUNMLRJQHKFFCC58CA,五堵段五堵北小段,6.26,都市：住,10000,237,持分移轉,08570000
RPUNMLRJQHKFFCC58CA,五堵段五堵北小段,9.67,都市：住,10000,237,持分移轉,08580000
RPUNMLRJQHKFFCC58CA,五堵段五堵北小段,10.74,都市：住,10000,237,持分移轉,08590000
RPQNMLOLRHKFFBC18DA,港濱段,47.50,都市：住,8,1,持分移轉,14400000
RPVNMLPLQHKFFBC58CA,成功段,1.50,都市：住,100000,96,持分移轉,10940031
RPVNMLPLQHKFFBC58CA,成功段,1.73,都市：住,100000,96,持分移轉,11780000
RPVNMLPLQHKFFBC58CA,成功段,20.47,都市：住,100000,96,持分移轉,11790000
RPVNMLPLQHKFFBC58CA,成功段,.04,都市：其他:,100000,96,持分移轉,11790008
RPVNMLPLQHKFFBC58CA,成功段,1.85,都市：住,100000,96,持分移轉,19640000
RPVNMLPLQHKFFBC58CA,成功段,.86,都市：商,100000,96,持分移轉,10940000
RPVNMLPLQHKFFBC58CA,成功段,.00,都市：其他:,100000,96,持分移轉,10940012
RPVNMLPLQHKFFBC58CA,成功段,.00,都市：其他:,100000,96,持分移轉,10940029
RPTNMLRKQHKFFBC48CA,德厚段,12.02,都市：住,10000,294,持分移轉,05980000
RPQNMLPKQHKFFBC97CA,成功段,28.02,都市：其他:部分住宅部分道路用地,100000,974,持分移轉,05770000
RPQNMLPKQHKFFBC97CA,成功段,.00,都市：其他:道路用地,100000,974,持分移轉,05770002
RPQNMLPKQHKFFBC97CA,成功段,.01,都市：其他:道路用地,100000,974,持分移轉,05770003
RPSNMLKKQHKFFBC67CA,深澳段,33.25,都市：住,100000,141,持分移轉,10170000
RPQNMLRKQHKFFBC18CA,和平段,15.60,都市：住,5,1,持分移轉,02930000
SPQNMLRKQHKFFBC28CA,和平段,15.60,都市：住,5,1,持分移轉,02930000
RPVNMLRKQHKFFBC68CA,調和段,1.70,都市：其他:部分道路用地部分住宅區,100000,5,持分移轉,14150000
RPVNMLRKQHKFFBC68CA,調和段,.00,都市：其他:保護區,100000,5,持分移轉,14150001
RPVNMLRKQHKFFBC68CA,調和段,.00,都市：住,100000,5,持分移轉,14150002
RPVNMLLKQHKFFBC08CA,調和段,24.77,都市：其他:道路用地/住宅區,100000,73,持分移轉,14150000
RPVNMLLKQHKFFBC08CA,調和段,.01,都市：其他:保護區,100000,73,持分移轉,14150001
RPVNMLLKQHKFFBC08CA,調和段,.01,都市：住,100000,73,持分移轉,14150002
RPSNMLOJQHKFFBC97CA,長潭段,1.52,都市：住,100000,58,持分移轉,08450000
RPSNMLOJQHKFFBC97CA,長潭段,15.24,都市：住,100000,58,持分移轉,08450003
RPUNMLPJQHKFFBC28CA,長潭段,2.15,都市：住,100000,82,持分移轉,08450000
RPUNMLPJQHKFFBC28CA,長潭段,21.54,都市：住,100000,82,持分移轉,08450003
RPUOMLQJQHKFFBC48CA,長潭段,.55,都市：住,100000,21,持分移轉,08450000
RPUOMLQJQHKFFBC48CA,長潭段,5.52,都市：住,100000,21,持分移轉,08450003
RPPNMLKKQHKFFBC37CA,調和段,30.49,都市：住,30650,301,持分移轉,03850000
RPQNMLKKQHKFFBC47CA,東信段四小段,49.00,都市：住,1,1,全筆移轉,00060003
RPVNMLSLQHKFFCC98CA,暖暖段東勢坑小段,50.20,都市：住,10000,607,持分移轉,08790000
RPRNMLKKQHKFFBC57CA,長潭段,14.20,都市：住,100000,52,持分移轉,08920000
RPUNMLRJQHKFFBC48CA,祥豐段,55.54,都市：住,10000,138,持分移轉,10800002
RPPOMLRJQHKFFBC08CA,長潭段,.55,都市：住,100000,21,持分移轉,08450000
