編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLQLQHKFFCQ17CA,,246.80,住宅、樓梯間,鋼筋混凝土造,104年4月29日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPRNMLRJQHKFFCQ07CA,22,90.80,住家用,鋼筋混凝土造,82年12月14日,七層,七層 陽台 花台 雨遮
RPRNMLRJQHKFFCQ07CA,22,9.47,共有部分,鋼筋混凝土造,82年12月14日,七層,
RPRNMLRJQHKFFCQ07CA,22,34.39,共有部分,鋼筋混凝土造,82年12月14日,七層,
RPPNMLOJQHKFFDQ66CA,1,125.41,住家用,鋼筋混凝土造,103年10月6日,三層,一層 二層 三層 陽台
RPTNMLQLQHKFFCQ37CA,,123.42,住宅、樓梯間,鋼筋混凝土造,104年4月29日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPTNMLQLQHKFFCQ37CA,,123.42,住宅、樓梯間,鋼筋混凝土造,104年4月29日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPUNMLQLQHKFFCQ47CA,13,99.84,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,
RPUNMLQLQHKFFCQ47CA,13,11.69,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,
RPUNMLQLQHKFFCQ47CA,13,.68,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,
RPQPMLKKQHKFFDQ66CA,,173.91,停車空間、住宅、梯間,鋼筋混凝土造,104年6月25日,三層,一層 二層 三層 陽台 見其他登記事項
RPRPMLKKQHKFFDQ76CA,,155.68,停車空間、住宅,鋼筋混凝土造,104年6月25日,三層,一層 二層 三層 陽台
RPTPMLKKQHKFFDQ96CA,,158.96,停車空間、住宅,鋼筋混凝土造,104年6月25日,三層,一層 二層 三層 陽台
RPSPMLKKQHKFFDQ86CA,,158.96,住家用,鋼筋混凝土造,104年6月25日,三層,一層 二層 三層 陽台
RPUPMLKKQHKFFDQ07CA,,173.52,停車空間、住宅、梯間,鋼筋混凝土造,104年6月25日,三層,一層 二層 三層 陽台 見其他登記事項
RPVPMLKKQHKFFDQ17CA,,156.06,停車空間、住宅,鋼筋混凝土造,104年6月25日,三層,一層 二層 三層 陽台
RPUOMLKKQHKFFDQ96CA,,174.73,住宅、梯間,鋼筋混凝土造,104年6月25日,三層,一層 二層 三層 陽台 見其他登記事項
RPTOMLKKQHKFFDQ86CA,,158.35,住家用,鋼筋混凝土造,104年6月25日,三層,一層 二層 三層 陽台
