編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLPJQHKFFAW17CA,1,24.34,集合住宅,鋼筋混凝土造,103年10月16日,三層,二層 陽台
RPQNMLPJQHKFFAW17CA,1,3.74,共有部分：本共有部分之項目計有樓梯間、走廊等二項。,鋼筋混凝土造,103年10月16日,三層,
RPVOMLPJQHKFFAW77CA,,172.57,農舍,鋼筋混凝土造,104年6月12日,二層,一層 二層 陽台
RPRNMLPJQHKFFAW27CA,20,76.10,住家用,鋼筋混凝土造,84年5月29日,二層,一層 平台
RPSNMLQJQHKFFAW47CA,,56.81,集合住宅,鋼筋混凝土造,104年4月29日,三層,二層 陽台 雨遮
RPSNMLQJQHKFFAW47CA,,18.12,共有部分：本共有部分之項目計有機房空間、樓梯間、電梯、雨遮、走廊等五項。,鋼筋混凝土造,104年4月29日,三層,
RPTNMLQJQHKFFAW57CA,,56.81,集合住宅,鋼筋混凝土造,104年4月29日,三層,三層 陽台 雨遮
RPTNMLQJQHKFFAW57CA,,18.12,共有部分：本共有部分之項目計有機房空間、樓梯間、電梯、雨遮、走廊等五項。,鋼筋混凝土造,104年4月29日,三層,
RPUNMLQJQHKFFAW67CA,,63.64,集合住宅,鋼筋混凝土造,104年4月29日,三層,一層 陽台 雨遮 地下一層
RPUNMLQJQHKFFAW67CA,,20.30,共有部分：本共有部分之項目計有機房空間、樓梯間、電梯、雨遮、走廊等五項。,鋼筋混凝土造,104年4月29日,三層,
RPXNMLQJIIKFFAW27CA,,45.59,集合住宅,鋼筋混凝土造,104年4月29日,三層,二層 陽台 雨遮
RPXNMLQJIIKFFAW27CA,,14.54,共有部分：本共有部分之項目計有機房空間、樓梯間、電梯、雨遮、走廊等五項。,鋼筋混凝土造,104年4月29日,三層,
RPXNMLQJIIKFFAW27CA,,39.78,共有部分：本共有部分之項目計有停車空間一項。,鋼筋混凝土造,104年4月29日,三層,
SPXNMLQJIIKFFAW37CA,,40.70,集合住宅,鋼筋混凝土造,104年4月29日,三層,二層 陽台 雨遮
SPXNMLQJIIKFFAW37CA,,12.98,共有部分：本共有部分之項目計有機房空間、樓梯間、電梯、雨遮、走廊等五項。,鋼筋混凝土造,104年4月29日,三層,
SPXNMLQJIIKFFAW37CA,,39.78,共有部分：本共有部分之項目計有停車空間一項。,鋼筋混凝土造,104年4月29日,三層,
RPWNMLLKQHKFFAW57DA,16,86.93,住家用,鋼筋混凝土造,88年3月10日,五層,三層 陽台
RPWNMLLKQHKFFAW57DA,16,9.74,公共設施,鋼筋混凝土造,88年3月10日,五層,
RPRNMLOKPHKFFAW47CD,28,160.50,住家用,鋼筋混凝土造,76年10月14日,三層,一層 二層 三層 平台
SPXNMLRJIIKFFAW47CA,,47.77,集合住宅,鋼筋混凝土造,104年4月29日,三層,三層 陽台 雨遮
SPXNMLRJIIKFFAW47CA,,15.24,共有部分：本共有部分之項目計有機房空間、樓梯間、電梯、雨遮、走廊等五項。,鋼筋混凝土造,104年4月29日,三層,
RPUPMLPJQHKFFAW87DA,12,198.52,住宅、停車空間。,鋼筋混凝土造,92年2月26日,三層,一層 二層 三層 陽台 平台 屋頂突出物
RPXNMLRJIIKFFAW37CA,,74.08,集合住宅,鋼筋混凝土造,104年4月29日,三層,一層 陽台 雨遮 地下一層
RPXNMLRJIIKFFAW37CA,,23.63,共有部分：本共有部分之項目計有機房空間、樓梯間、電梯、雨遮、走廊等五項。,鋼筋混凝土造,104年4月29日,三層,
RPXNMLRJIIKFFAW37CA,,39.78,共有部分：本共有部分之項目計有停車空間一項。,鋼筋混凝土造,104年4月29日,三層,
RPPNMLSJIIKFFAW66CA,,71.44,集合住宅,鋼筋混凝土造,104年4月29日,三層,一層 陽台 雨遮 地下一層
RPPNMLSJIIKFFAW66CA,,22.78,共有部分：本共有部分之項目計有機房空間、樓梯間、電梯、雨遮、走廊等五項。,鋼筋混凝土造,104年4月29日,三層,
RPPNMLSJIIKFFAW66CA,,39.78,共有部分：本共有部分之項目計有停車空間一項。,鋼筋混凝土造,104年4月29日,三層,
RPTNMLRJQHKFFAW67CA,,69.27,集合住宅,鋼筋混凝土造,104年4月30日,三層,二層 陽台
RPTNMLRJQHKFFAW67CA,,6.02,共有部分：本共有部分之項目計有樓梯間、門廳等二項。,鋼筋混凝土造,104年4月30日,三層,
RPPNMLQJQHKFFAW27DA,,62.60,集合住宅,鋼筋混凝土造,104年4月28日,三層,三層 陽台 雨遮
RPPNMLQJQHKFFAW27DA,,5.42,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,104年4月28日,三層,
RPUNMLLKQHKFFAW27CA,,58.73,見其他登記事項,鋼筋混凝土造,104年5月28日,三層,一層
RPUNMLLKQHKFFAW27CA,,7.28,見其他登記事項,鋼筋混凝土造,104年5月28日,三層,
RPPNMLKKQHKFFAW66CA,2,46.15,集合住宅,鋼筋混凝土造,102年3月19日,七層,一層 陽台
RPPNMLKKQHKFFAW66CA,2,47.10,集合住宅,鋼筋混凝土造,102年3月19日,七層,一層 陽台
RPPNMLKKQHKFFAW66CA,2,106.26,共有部分：本共有部分之項目有防空避難室１項。,鋼筋混凝土造,102年3月19日,七層,
RPPNMLKKQHKFFAW66CA,2,19.05,共有部分：本共有部分之項目有梯間、梯廳、電梯間、電梯機房、水箱、蓄水池、發電機室、消防室、台電管道間、電信室、防空避難室等１１項。,鋼筋混凝土造,102年3月19日,七層,
RPQNMLLKQHKFFAW86CA,,60.49,見其他登記事項,鋼筋混凝土造,104年5月28日,三層,三層
RPQNMLLKQHKFFAW86CA,,7.53,見其他登記事項,鋼筋混凝土造,104年5月28日,三層,
RPUNMLKKQHKFFAW27DA,1,189.00,住家用,鋼筋混凝土造,103年5月8日,三層,一層 二層 三層 見其他登記事項
RPSNMLLKQHKFFAW07CA,,60.49,見其他登記事項,鋼筋混凝土造,104年5月28日,三層,二層
RPSNMLLKQHKFFAW07CA,,7.53,見其他登記事項,鋼筋混凝土造,104年5月28日,三層,
RPTNMLMKQHKFFAW27CA,,230.28,集合住宅,鋼筋混凝土造,104年2月17日,三層,一層 二層 三層 陽台 屋簷 見其他登記事項
RPVNMLPLQHKFFAW97DA,,217.68,店舖、集合住宅,鋼筋混凝土造,104年4月27日,五層,一層 二層 陽台
RPVNMLPLQHKFFAW97DA,,28.54,共有部分：本共有部分之項目計有：樓梯間、電梯等２項。,鋼筋混凝土造,104年4月27日,五層,
RPVNMLPLQHKFFAW97DA,,.00,本共有部分之項目為設備空間。,鋼筋混凝土造,104年4月27日,五層,
