編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQPMLLKJIKFFBG77DB,宜興段,74.94,都市：住,1,1,全筆移轉,01480012
RPQPMLLKJIKFFBG77DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480022
RPUPMLLKJIKFFBG18DB,宜興段,74.94,都市：住,1,1,全筆移轉,01480008
RPUPMLLKJIKFFBG18DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480026
RPXOMLLKJIKFFBG38DB,宜興段,74.94,都市：住,1,1,全筆移轉,01480014
RPXOMLLKJIKFFBG38DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480020
RPUOMLLKJIKFFBG08DB,宜興段,98.41,都市：住,1,1,全筆移轉,01480016
RPUOMLLKJIKFFBG08DB,宜興段,23.24,都市：住,2,1,持分移轉,01480018
RPWOMLLKJIKFFBG28DB,宜興段,74.94,都市：住,1,1,全筆移轉,01480015
RPWOMLLKJIKFFBG28DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480019
RPPPMLLKJIKFFBG67DB,宜興段,74.94,都市：住,1,1,全筆移轉,01480013
RPPPMLLKJIKFFBG67DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480021
RPSPMLLKJIKFFBG97DB,宜興段,74.94,都市：住,1,1,全筆移轉,01480010
RPSPMLLKJIKFFBG97DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480024
RPVOMLLKJIKFFBG18DB,宜興段,94.89,都市：住,1,1,全筆移轉,01480017
RPVOMLLKJIKFFBG18DB,宜興段,23.24,都市：住,2,1,持分移轉,01480018
RPRPMLLKJIKFFBG87DB,宜興段,74.94,都市：住,1,1,全筆移轉,01480011
RPRPMLLKJIKFFBG87DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480023
RPTPMLLKJIKFFBG08DB,宜興段,74.94,都市：住,1,1,全筆移轉,01480009
RPTPMLLKJIKFFBG08DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480025
RPQNMLMKJIKFFBG67DB,宜興段,74.94,都市：住,1,1,全筆移轉,01480006
RPQNMLMKJIKFFBG67DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480028
RPTNMLMKJIKFFBG97DB,宜興段,74.94,都市：住,1,1,全筆移轉,01480004
RPTNMLMKJIKFFBG97DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480030
RPPNMLMKJIKFFBG57DB,宜興段,74.94,都市：住,1,1,全筆移轉,01480007
RPPNMLMKJIKFFBG57DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480027
RPVNMLMKJIKFFBG18DB,宜興段,74.98,都市：住,1,1,全筆移轉,01480002
RPVNMLMKJIKFFBG18DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480032
RPRNMLMKJIKFFBG77DB,宜興段,74.94,都市：住,1,1,全筆移轉,01480005
RPRNMLMKJIKFFBG77DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480029
RPUNMLMKJIKFFBG08DB,宜興段,74.94,都市：住,1,1,全筆移轉,01480003
RPUNMLMKJIKFFBG08DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480031
RPOOMLMKJIKFFBG57DB,宜興段,102.58,都市：住,1,1,全筆移轉,01480051
RPOOMLMKJIKFFBG57DB,宜興段,23.24,都市：住,2,1,持分移轉,01480049
RPXNMLMKJIKFFBG38DB,宜興段,94.67,都市：住,1,1,全筆移轉,01480050
RPXNMLMKJIKFFBG38DB,宜興段,23.24,都市：住,2,1,持分移轉,01480049
RPPOMLMKJIKFFBG67DB,宜興段,76.24,都市：住,1,1,全筆移轉,01480052
RPPOMLMKJIKFFBG67DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480048
RPWNMLMKJIKFFBG28DB,宜興段,95.67,都市：住,1,1,全筆移轉,01480001
RPWNMLMKJIKFFBG28DB,宜興段,23.38,都市：住,2,1,持分移轉,01480033
RPQOMLMKJIKFFBG77DB,宜興段,76.15,都市：住,1,1,全筆移轉,01480053
RPQOMLMKJIKFFBG77DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480047
RPQPMLMKJIKFFBG87DB,宜興段,75.59,都市：住,1,1,全筆移轉,01480060
RPQPMLMKJIKFFBG87DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480040
RPWOMLMKJIKFFBG38DB,宜興段,75.75,都市：住,1,1,全筆移轉,01480058
RPWOMLMKJIKFFBG38DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480042
RPVOMLMKJIKFFBG28DB,宜興段,75.83,都市：住,1,1,全筆移轉,01480057
RPVOMLMKJIKFFBG28DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480043
RPRPMLMKJIKFFBG97DB,宜興段,75.51,都市：住,1,1,全筆移轉,01480061
RPRPMLMKJIKFFBG97DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480039
RPOPMLMKJIKFFBG67DB,宜興段,75.65,都市：住,1,1,全筆移轉,01480059
RPOPMLMKJIKFFBG67DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480041
RPROMLMKJIKFFBG87DB,宜興段,76.08,都市：住,1,1,全筆移轉,01480054
RPROMLMKJIKFFBG87DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480046
RPTPMLMKJIKFFBG18DB,宜興段,75.41,都市：住,1,1,全筆移轉,01480062
RPTPMLMKJIKFFBG18DB,宜興段,18.00,都市：住,1,1,全筆移轉,01480038
RPSOMLMKJIKFFBG97DB,宜興段,75.99,都市：住,1,1,全筆移轉,01480055
