編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLLJJIKFFFH97CB,茄明段,16.32,都市：住,100000,471,持分移轉,00880000
RPSOMLLJJIKFFFH18CB,茄明段,16.32,都市：住,100000,471,持分移轉,00880000
RPTNMLLJJIKFFFH18CB,茄明段,16.32,都市：住,100000,471,持分移轉,00880000
RPUNMLLJJIKFFFH28CB,茄明段,16.32,都市：住,100000,471,持分移轉,00880000
RPXOMLLJJIKFFFH68CB,茄明段,16.32,都市：住,100000,471,持分移轉,00880000
RPVNMLLJJIKFFFH38CB,茄明段,16.32,都市：住,100000,471,持分移轉,00880000
RPVOMLLJJIKFFFH48CB,茄明段,16.32,都市：住,100000,471,持分移轉,00880000
RPSNMLLJJIKFFFH08CB,茄明段,16.32,都市：住,100000,471,持分移轉,00880000
RPWOMLLJJIKFFFH58CB,茄明段,16.32,都市：住,100000,471,持分移轉,00880000
RPWNMLLJJIKFFFH48CB,茄明段,16.32,都市：住,100000,471,持分移轉,00880000
RPOPMLLJJIKFFFH87CB,茄明段,16.32,都市：住,100000,471,持分移轉,00880000
RPPOMLLJJIKFFFH87CB,茄明段,16.32,都市：住,100000,471,持分移轉,00880000
RPPPMLLJJIKFFFH97CB,茄明段,16.32,都市：住,100000,471,持分移轉,00880000
RPSPMLLJJIKFFFH28CB,茄明段,24.74,都市：住,100000,714,持分移轉,00880000
RPQPMLLJJIKFFFH08CB,茄明段,16.32,都市：住,100000,471,持分移轉,00880000
RPRPMLLJJIKFFFH18CB,茄明段,23.50,都市：住,100000,678,持分移轉,00880000
RPQQMLLJJIKFFFH18CB,茄明段,24.74,都市：住,100000,714,持分移轉,00880000
RPWPMLLJJIKFFFH68CB,茄明段,24.74,都市：住,100000,714,持分移轉,00880000
RPTPMLLJJIKFFFH38CB,茄明段,24.74,都市：住,100000,714,持分移轉,00880000
RPSQMLLJJIKFFFH38CB,茄明段,24.74,都市：住,100000,714,持分移轉,00880000
RPOQMLLJJIKFFFH97CB,茄明段,25.09,都市：住,100000,724,持分移轉,00880000
RPRQMLLJJIKFFFH28CB,茄明段,24.74,都市：住,100000,714,持分移轉,00880000
RPPQMLLJJIKFFFH08CB,茄明段,24.74,都市：住,100000,714,持分移轉,00880000
RPXPMLLJJIKFFFH78CB,茄明段,24.74,都市：住,100000,714,持分移轉,00880000
RPVPMLLJJIKFFFH58CB,茄明段,24.74,都市：住,100000,714,持分移轉,00880000
RPUPMLLJJIKFFFH48CB,茄明段,24.74,都市：住,100000,714,持分移轉,00880000
RPTQMLLJJIKFFFH48CB,茄明段,24.74,都市：住,100000,714,持分移轉,00880000
RPUQMLLJJIKFFFH58CB,茄明段,24.74,都市：住,100000,714,持分移轉,00880000
RPVQMLLJJIKFFFH68CB,茄明段,22.08,都市：住,100000,637,持分移轉,00880000
RPWQMLLJJIKFFFH78CB,茄明段,23.67,都市：住,100000,683,持分移轉,00880000
RPQRMLLJJIKFFFH28CB,茄明段,23.67,都市：住,100000,683,持分移轉,00880000
RPXQMLLJJIKFFFH88CB,茄明段,23.67,都市：住,100000,683,持分移轉,00880000
RPRRMLLJJIKFFFH38CB,茄明段,23.67,都市：住,100000,683,持分移轉,00880000
RPSRMLLJJIKFFFH48CB,茄明段,23.67,都市：住,100000,683,持分移轉,00880000
RPTRMLLJJIKFFFH58CB,茄明段,23.67,都市：住,100000,683,持分移轉,00880000
RPSOMLMJJIKFFFH28CB,茄明段,24.95,都市：住,100000,720,持分移轉,00880000
RPURMLLJJIKFFFH68CB,茄明段,23.67,都市：住,100000,683,持分移轉,00880000
RPVRMLLJJIKFFFH78CB,茄明段,23.67,都市：住,100000,683,持分移轉,00880000
RPXOMLMJJIKFFFH78CB,茄明段,24.95,都市：住,100000,720,持分移轉,00880000
RPQOMLNJJIKFFFH18CB,茄明段,24.95,都市：住,100000,720,持分移轉,00880000
RPROMLMJJIKFFFH18CB,茄明段,23.74,都市：住,100000,685,持分移轉,00880000
RPSOMLNJJIKFFFH38CB,茄明段,24.95,都市：住,100000,720,持分移轉,00880000
RPVOMLMJJIKFFFH58CB,茄明段,24.95,都市：住,100000,720,持分移轉,00880000
RPWOMLMJJIKFFFH68CB,茄明段,24.95,都市：住,100000,720,持分移轉,00880000
RPVOMLNJJIKFFFH68CB,茄明段,24.95,都市：住,100000,720,持分移轉,00880000
RPWOMLNJJIKFFFH78CB,茄明段,24.95,都市：住,100000,720,持分移轉,00880000
RPUOMLNJJIKFFFH58CB,茄明段,24.95,都市：住,100000,720,持分移轉,00880000
RPTOMLNJJIKFFFH48CB,茄明段,24.95,都市：住,100000,720,持分移轉,00880000
RPXOMLNJJIKFFFH88CB,茄明段,24.95,都市：住,100000,720,持分移轉,00880000
RPSPMLNJJIKFFFH48CB,茄明段,30.57,都市：住,100000,882,持分移轉,00880000
RPUPMLNJJIKFFFH68CB,茄明段,32.51,都市：住,100000,938,持分移轉,00880000
RPPQMLNJJIKFFFH28CB,茄明段,32.51,都市：住,100000,938,持分移轉,00880000
RPQQMLNJJIKFFFH38CB,茄明段,32.51,都市：住,100000,938,持分移轉,00880000
RPOPMLOJJIKFFFH18CB,茄明段,32.58,都市：住,100000,940,持分移轉,00880000
RPQPMLOJJIKFFFH38CB,茄明段,25.09,都市：住,100000,724,持分移轉,00880000
RPSQMLNJJIKFFFH58CB,茄明段,32.51,都市：住,100000,938,持分移轉,00880000
RPQRMLNJJIKFFFH48CB,茄明段,32.51,都市：住,100000,938,持分移轉,00880000
RPRRMLNJJIKFFFH58CB,茄明段,30.19,都市：住,100000,871,持分移轉,00880000
RPXOMLOJJIKFFFH98CB,茄明段,32.23,都市：住,100000,930,持分移轉,00880000
RPTOMLOJJIKFFFH58CB,茄明段,32.23,都市：住,100000,930,持分移轉,00880000
RPUQMLNJJIKFFFH78CB,茄明段,32.51,都市：住,100000,938,持分移轉,00880000
RPPPMLOJJIKFFFH28CB,茄明段,32.58,都市：住,100000,940,持分移轉,00880000
RPRPMLOJJIKFFFH48CB,茄明段,16.32,都市：住,100000,471,持分移轉,00880000
RPRQMLNJJIKFFFH48CB,茄明段,32.51,都市：住,100000,938,持分移轉,00880000
RPTPMLOJJIKFFFH68CB,茄明段,16.32,都市：住,100000,471,持分移轉,00880000
RPOQMLOJJIKFFFH28CB,茄明段,23.67,都市：住,100000,683,持分移轉,00880000
