編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOOMLOJJIKFFAM18CC,南投段,190.00,都市：住,,,,01300005
RPWNMLOJJIKFFAM88CC,南投段,190.00,都市：住,,,,01300005
RPRNMLMJJIKFFBM28CC,中興段,13.55,都市：其他:,,,,02250000
RPSNMLMJJIKFFBM38CC,玉峰段,34.04,都市：住,,,,05280000
RPQNMLOLJIKFFAM48CC,南投段,15.41,都市：住,,,,02560000
RPPNMLNJKIKFFBM28CC,頂茄荖段,1741.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,03200001
RPPOMLOJJIKFFAM28CC,南投段,190.00,都市：住,,,,01300005
RPPOMLTJKIKFFBM98CC,明賢段,72.99,都市：住,,,,10900000
RPQNMLOKKIKFFAM58DC,嘉和段,100.00,都市：住,,,,01840000
RPPNMLMJKIKFFBM28DC,新僑光段,94.89,都市：住,,,,08670000
RPQNMLOLJIKFFBM58CC,草屯段,31.63,都市：其他:,,,,05250056
RPSNMLSLKIKFFAM66DC,光興段,96.79,都市：住,,,,05310000
RPTNMLSLKIKFFAM76DC,華新段,126.44,都市：住,,,,00230012
RPQOMLMLKIKFFAM58DC,新弓鞋段,27.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,06390000
RPQNMLMLKIKFFBM58DC,新僑光段,2469.68,都市：農,,,,08240000
RPVOMLLJKIKFFAM68CC,光榮段,445.89,都市：其他:,,,,00080003
RPTNMLLKJHLFFAM48DC,三塊厝段,96.00,都市：住,,,,02080016
RPUNMLTKJHLFFCM86CC,北環段,66.73,都市：住,,,,02510004
RPUNMLTKJHLFFCM86CC,北環段,2.50,都市：住,,,,02510012
RPTNMLKLJHLFFCM58CC,忠良段,867.51,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,08430000
RPTNMLKLJHLFFCM58CC,忠良段,463.72,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,08430001
RPTNMLKLJHLFFCM58CC,忠良段,980.64,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,08440000
RPTNMLKLJHLFFCM58CC,忠良段,595.46,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,08440001
RPSNMLMJKIKFFAM38CC,三塊厝段,90.00,都市：商,,,,00010623
RPOOMLQLJHLFFCM78CC,八德段,135.91,都市：住,,,,08510000
RPQNMLLLJHLFFBM38DC,新富仁段,4202.61,都市：住,,,,03040000
RPWNMLSLJHLFFCM07CC,埔里段信義小段,13.97,都市：住,,,,04850000
RPTNMLMJKIKFFAM48CC,福助段,20.08,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08300000
RPPOMLPKJHLFFAM48CC,福助段,91.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08320000
RPPNMLKLJHLFFAM97CC,三塊厝段,108.00,都市：住,,,,01410029
RPPNMLKLJHLFFAM97CC,三塊厝段,13.00,都市：住,,,,01410030
RPPNMLRJKIKFFAM58CC,三塊厝段,89.00,都市：住,,,,01940086
