編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLLJKHLFFBB57CB,東信段,17.14,都市：商,10000,46,持分移轉,02640000
RPUNMLLJKHLFFBB37CB,東信段,17.89,都市：商,10000,48,持分移轉,02640000
RPTNMLLJKHLFFBB27CB,東信段,17.52,都市：商,10000,47,持分移轉,02640000
RPQOMLLJKHLFFBB07CB,東信段,16.40,都市：商,10000,44,持分移轉,02640000
RPROMLLJKHLFFBB17CB,東信段,16.77,都市：商,10000,45,持分移轉,02640000
RPQNMLPLLHLFFHL66CB,新興段,18.66,都市：住,10000,60,持分移轉,01640000
RPSOMLLJKHLFFBB27CB,東信段,23.11,都市：商,10000,62,持分移轉,02640000
RPRNMLOLLHLFFHL66CB,新興段,18.66,都市：住,10000,60,持分移轉,01640000
RPUNMLPLLHLFFHL07CB,新興段,18.66,都市：住,10000,60,持分移轉,01640000
RPWNMLPLLHLFFHL27CB,新興段,18.35,都市：住,10000,59,持分移轉,01640000
RPVNMLPLLHLFFHL17CB,新興段,18.66,都市：住,10000,60,持分移轉,01640000
RPPOMLPLLHLFFHL66CB,新興段,18.66,都市：住,10000,60,持分移轉,01640000
RPXNMLPLLHLFFHL37CB,新興段,18.66,都市：住,10000,60,持分移轉,01640000
RPROMLPLLHLFFHL86CB,新興段,18.97,都市：住,10000,61,持分移轉,01640000
RPOOMLPLLHLFFHL56CB,新興段,18.66,都市：住,10000,60,持分移轉,01640000
RPSNMLOLLHLFFHL76CB,新興段,18.66,都市：住,10000,60,持分移轉,01640000
RPSOMLPLLHLFFHL96CB,新興段,18.66,都市：住,10000,60,持分移轉,01640000
RPRNMLLMLHLFFHL09CB,新興段,18.35,都市：住,10000,59,持分移轉,01640000
RPUOMLQJMHLFFCB28CB,西屯段,18.53,都市：住,10000,145,持分移轉,23130002
RPSNMLLMLHLFFHL56CB,新興段,18.66,都市：住,10000,60,持分移轉,01640000
RPOOMLQJMHLFFCB67CB,西屯段,18.53,都市：住,10000,145,持分移轉,23130002
RPUNMLLMLHLFFHL76CB,新興段,18.66,都市：住,10000,60,持分移轉,01640000
RPVNMLLMLHLFFHL86CB,新興段,18.35,都市：住,10000,59,持分移轉,01640000
RPTNMLLMLHLFFHL66CB,新興段,18.35,都市：住,10000,59,持分移轉,01640000
RPWPMLQJMHLFFCB58CB,西屯段,18.53,都市：住,10000,145,持分移轉,23130002
RPVQMLQJMHLFFCB58CB,西屯段,15.34,都市：住,10000,120,持分移轉,23130002
RPRQMLQJMHLFFCB18CB,西屯段,18.53,都市：住,10000,145,持分移轉,23130002
RPTQMLQJMHLFFCB38CB,西屯段,15.46,都市：住,10000,121,持分移轉,23130002
RPXPMLQJMHLFFCB68CB,西屯段,18.53,都市：住,10000,145,持分移轉,23130002
RPPQMLQJMHLFFCB97CB,西屯段,18.40,都市：住,10000,144,持分移轉,23130002
RPQQMLQJMHLFFCB08CB,西屯段,18.53,都市：住,10000,145,持分移轉,23130002
RPRNMLLJMHLFFHL88CB,新興段,19.28,都市：住,10000,62,持分移轉,01640000
RPXQMLQJMHLFFCB78CB,西屯段,15.34,都市：住,10000,120,持分移轉,23130002
RPWQMLQJMHLFFCB68CB,西屯段,15.34,都市：住,10000,120,持分移轉,23130002
RPVNMLKKMHLFFCB77CB,西屯段,15.34,都市：住,10000,120,持分移轉,23130002
RPXNMLKKMHLFFCB97CB,西屯段,19.81,都市：住,10000,155,持分移轉,23130002
RPUNMLKKMHLFFCB67CB,西屯段,15.34,都市：住,10000,120,持分移轉,23130002
RPRNMLKKMHLFFCB37CB,西屯段,15.34,都市：住,10000,120,持分移轉,23130002
RPQPMLLKMHLFFCB57CB,西屯段,19.81,都市：住,10000,155,持分移轉,23130002
RPTNMLKKMHLFFCB57CB,西屯段,15.34,都市：住,10000,120,持分移轉,23130002
RPPOMLKKMHLFFCB27CB,西屯段,19.81,都市：住,10000,155,持分移轉,23130002
RPSNMLKKMHLFFCB47CB,西屯段,15.34,都市：住,10000,120,持分移轉,23130002
RPWPMLLKMHLFFCB18CB,西屯段,19.81,都市：住,10000,155,持分移轉,23130002
RPRPMLLKMHLFFCB67CB,西屯段,19.81,都市：住,10000,155,持分移轉,23130002
RPVPMLLKMHLFFCB08CB,西屯段,19.81,都市：住,10000,155,持分移轉,23130002
RPUPMLLKMHLFFCB97CB,西屯段,19.81,都市：住,10000,155,持分移轉,23130002
RPTPMLLKMHLFFCB87CB,西屯段,19.81,都市：住,10000,155,持分移轉,23130002
RPXPMLLKMHLFFCB28CB,西屯段,19.81,都市：住,10000,155,持分移轉,23130002
RPPQMLLKMHLFFCB57CB,西屯段,18.79,都市：住,10000,147,持分移轉,23130002
RPQQMLLKMHLFFCB67CB,西屯段,18.79,都市：住,10000,147,持分移轉,23130002
RPWOMLNKMHLFFCB28CB,西屯段,18.79,都市：住,10000,147,持分移轉,23130002
RPVQMLLKMHLFFCB18CB,西屯段,18.66,都市：住,10000,146,持分移轉,23130002
RPRPMLNKMHLFFCB87CB,西屯段,17.51,都市：住,10000,137,持分移轉,23130002
RPOPMLNKMHLFFCB57CB,西屯段,25.30,都市：住,10000,198,持分移轉,23130002
RPXPMLNKMHLFFCB48CB,西屯段,17.89,都市：住,10000,140,持分移轉,23130002
RPVPMLNKMHLFFCB28CB,西屯段,17.64,都市：住,10000,138,持分移轉,23130002
RPUQMLNKMHLFFCB28CB,西屯段,15.46,都市：住,10000,121,持分移轉,23130002
RPSQMLNKMHLFFCB08CB,西屯段,15.59,都市：住,10000,122,持分移轉,23130002
RPVQMLNKMHLFFCB38CB,西屯段,15.46,都市：住,10000,121,持分移轉,23130002
RPWQMLNKMHLFFCB48CB,西屯段,15.46,都市：住,10000,121,持分移轉,23130002
RPPRMLNKMHLFFCB87CB,西屯段,20.06,都市：住,10000,157,持分移轉,23130002
RPOQMLNKMHLFFCB67CB,西屯段,17.89,都市：住,10000,140,持分移轉,23130002
RPORMLNKMHLFFCB77CB,西屯段,24.41,都市：住,10000,191,持分移轉,23130002
RPPQMLNKMHLFFCB77CB,西屯段,15.08,都市：住,10000,118,持分移轉,23130002
RPQQMLNKMHLFFCB87CB,西屯段,12.91,都市：住,10000,101,持分移轉,23130002
RPRQMLNKMHLFFCB97CB,西屯段,15.46,都市：住,10000,121,持分移轉,23130002
RPRRMLNKMHLFFCB08CB,西屯段,19.43,都市：住,10000,152,持分移轉,23130002
RPURMLNKMHLFFCB38CB,西屯段,19.30,都市：住,10000,151,持分移轉,23130002
RPTRMLNKMHLFFCB28CB,西屯段,19.43,都市：住,10000,152,持分移轉,23130002
RPSSMLNKMHLFFCB28CB,西屯段,18.79,都市：住,10000,147,持分移轉,23130002
RPSRMLNKMHLFFCB18CB,西屯段,19.43,都市：住,10000,152,持分移轉,23130002
RPVRMLNKMHLFFCB48CB,西屯段,19.30,都市：住,10000,151,持分移轉,23130002
RPWRMLNKMHLFFCB58CB,西屯段,14.44,都市：住,10000,113,持分移轉,23130002
RPRSMLNKMHLFFCB18CB,西屯段,18.79,都市：住,10000,147,持分移轉,23130002
RPTSMLNKMHLFFCB38CB,西屯段,15.59,都市：住,10000,122,持分移轉,23130002
RPXNMLTKMHLFFBB78CB,松觀段,32.93,都市：住,10000,137,持分移轉,06070000
RPQOMLTKMHLFFBB18CB,松觀段,32.93,都市：住,10000,137,持分移轉,06070000
RPROMLTKMHLFFBB28CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPSOMLTKMHLFFBB38CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPTOMLTKMHLFFBB48CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPUOMLTKMHLFFBB58CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPVOMLTKMHLFFBB68CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPWOMLTKMHLFFBB78CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPXOMLTKMHLFFBB88CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPOPMLTKMHLFFBB08CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPPPMLTKMHLFFBB18CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPQPMLTKMHLFFBB28CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPRPMLTKMHLFFBB38CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPSPMLTKMHLFFBB48CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPTPMLTKMHLFFBB58CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPUPMLTKMHLFFBB68CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPVPMLTKMHLFFBB78CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPWPMLTKMHLFFBB88CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPPQMLTKMHLFFBB28CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPTQMLTKMHLFFBB68CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPXQMLTKMHLFFBB09CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPORMLTKMHLFFBB28CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPURMLTKMHLFFBB88CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPWRMLTKMHLFFBB09CB,松觀段,32.93,都市：住,10000,137,持分移轉,06070000
RPPSMLTKMHLFFBB48CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPRSMLTKMHLFFBB68CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPTSMLTKMHLFFBB88CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPVSMLTKMHLFFBB09CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPXSMLTKMHLFFBB66CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPPTMLTKMHLFFBB58CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPQTMLTKMHLFFBB68CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPRTMLTKMHLFFBB78CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPSTMLTKMHLFFBB88CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPTTMLTKMHLFFBB98CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPUTMLTKMHLFFBB09CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPVTMLTKMHLFFBB56CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPWTMLTKMHLFFBB66CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPXTMLTKMHLFFBB76CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPOUMLTKMHLFFBB58CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPPUMLTKMHLFFBB68CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPQUMLTKMHLFFBB78CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPRUMLTKMHLFFBB88CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPSUMLTKMHLFFBB98CB,松觀段,21.88,都市：住,10000,91,持分移轉,06070000
RPQTMLNKMHLFFCB18CB,西屯段,18.53,都市：住,10000,145,持分移轉,23130002
RPXSMLNKMHLFFCB78CB,西屯段,15.46,都市：住,10000,121,持分移轉,23130002
RPVNMLOKMHLFFCB18CB,西屯段,31.69,都市：住,10000,248,持分移轉,23130002
RPPTMLNKMHLFFCB08CB,西屯段,18.40,都市：住,10000,144,持分移轉,23130002
RPWNMLOKMHLFFCB28CB,西屯段,30.67,都市：住,10000,240,持分移轉,23130002
RPRNMLOKMHLFFCB77CB,西屯段,19.81,都市：住,10000,155,持分移轉,23130002
RPWSMLNKMHLFFCB68CB,西屯段,17.51,都市：住,10000,137,持分移轉,23130002
RPRTMLNKMHLFFCB28CB,西屯段,18.53,都市：住,10000,145,持分移轉,23130002
