編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLSKKHLFFAE38CB,大成段,18.53,都市：商,10000,159,持分移轉,07150000
RPOOMLSKKHLFFAE87CB,大成段,18.53,都市：商,10000,159,持分移轉,07150000
RPROMLOJLHLFFAE77CB,大成段,18.53,都市：商,10000,159,持分移轉,07150000
RPVNMLSKKHLFFAE48CB,大成段,18.53,都市：商,10000,159,持分移轉,07150000
RPSOMLOJLHLFFAE87CB,大成段,18.53,都市：商,10000,159,持分移轉,07150000
RPUNMLTJLHLFFAE48CB,大成段,18.18,都市：商,10000,156,持分移轉,07150000
RPSNMLTJLHLFFAE28CB,大成段,18.18,都市：商,10000,156,持分移轉,07150000
RPTOMLOJLHLFFAE97CB,大成段,18.53,都市：商,10000,159,持分移轉,07150000
RPUOMLOJLHLFFAE08CB,大成段,18.53,都市：商,10000,159,持分移轉,07150000
RPVNMLTJLHLFFAE58CB,大成段,18.18,都市：商,10000,156,持分移轉,07150000
RPTNMLTJLHLFFAE38CB,大成段,18.18,都市：商,10000,156,持分移轉,07150000
RPWNMLTJLHLFFAE68CB,大成段,18.18,都市：商,10000,156,持分移轉,07150000
RPOOMLTJLHLFFAE97CB,大成段,18.18,都市：商,10000,156,持分移轉,07150000
RPQOMLTJLHLFFAE18CB,大成段,18.18,都市：商,10000,156,持分移轉,07150000
RPXOMLOJLHLFFAE38CB,大成段,18.53,都市：商,10000,159,持分移轉,07150000
RPOPMLOJLHLFFAE57CB,大成段,18.53,都市：商,10000,159,持分移轉,07150000
RPROMLTJLHLFFAE28CB,大成段,18.18,都市：商,10000,156,持分移轉,07150000
RPPOMLTJLHLFFAE08CB,大成段,18.18,都市：商,10000,156,持分移轉,07150000
RPSOMLTJLHLFFAE38CB,大成段,18.18,都市：商,10000,156,持分移轉,07150000
RPUNMLSKLHLFFAE48CB,大成段,13.63,都市：商,10000,117,持分移轉,07150000
RPUOMLTJLHLFFAE58CB,大成段,18.18,都市：商,10000,156,持分移轉,07150000
RPTOMLTJLHLFFAE48CB,大成段,18.18,都市：商,10000,156,持分移轉,07150000
RPPPMLOJLHLFFAE67CB,大成段,18.18,都市：商,10000,156,持分移轉,07150000
