編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOPMLMJKHLFFAN08CA,長沙段,515.71,都市：農,4,1,持分移轉,03170000
RPPNMLPKKHLFFBN48CA,福新段,388.00,非都市：一般農業區 ; 非都市編定：農牧用地,255718,38800,持分移轉,11080000
RPXNMLMJKHLFFAN78CA,民族段,105.55,非都市：山坡地保育區 ; 非都市編定：林業用地,9,1,持分移轉,01680000
RPXNMLMJKHLFFAN78CA,民族段,76.68,都市：其他:,9,1,持分移轉,01690000
RPXNMLMJKHLFFAN78CA,民族段,6.13,都市：其他:,9,1,持分移轉,02460000
RPXNMLMJKHLFFAN78CA,民族段,120.92,都市：住,9,1,持分移轉,02470000
RPXNMLMJKHLFFAN78CA,民族段,.02,都市：住,9,1,持分移轉,02470001
RPXNMLMJKHLFFAN78CA,民族段,157.13,都市：住,9,1,持分移轉,02480000
RPXNMLMJKHLFFAN78CA,民族段,149.09,都市：住,9,1,持分移轉,02490000
RPXNMLMJKHLFFAN78CA,民族段,28.07,都市：其他:,9,1,持分移轉,03420000
RPXNMLMJKHLFFAN78CA,民族段,25.92,都市：其他:,9,1,持分移轉,03430000
RPSNMLQKKHLFFAN78CA,西門口段,4.14,都市：住,30000,69,持分移轉,05170000
RPQNMLPJKHLFFAN38CA,金興段,67.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04390006
RPPNMLPLKHLFFBN58CA,糖友段,68.12,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,13100000
RPUNMLMJKHLFFCN68CA,福南段,49.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08130000
RPVNMLMJKHLFFCN78CA,鹿崙段,50.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,06100000
RPVNMLMJKHLFFCN78CA,鹿崙段,50.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,06100000
RPSNMLNJKHLFFCN58CA,永福段,21.02,都市：住,400000,5844,持分移轉,05170002
RPROMLPJKHLFFDN88CA,新林厝段,71.57,都市：住,1,1,全筆移轉,08670025
RPSOMLPJKHLFFDN98CA,鎮安段,595.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16230000
RPVNMLLJKHLFFDN78CA,平和段,4609.35,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07760000
RPRNMLRKKHLFFDN09CA,僑信段,11.97,都市：住,10000,69,持分移轉,00920000
RPTOMLPJKHLFFDN09CA,鎮安段,179.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16240000
RPRNMLOJKHLFFEN78CA,中央段,98.00,都市：住,1,1,全筆移轉,06440000
RPRNMLOJKHLFFEN78CA,中央段,13.16,都市：住,1,1,全筆移轉,06510004
RPRNMLQKKHLFFEN09CA,保黎段,116.73,都市：住,1,1,全筆移轉,02250000
RPRNMLQLKHLFFDN09CA,東北段,164.97,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02090002
RPQNMLNJKHLFFFN68CA,大松段,6.00,都市：其他:,1,1,全筆移轉,01240000
RPQNMLNJKHLFFFN68CA,大松段,70.00,都市：商,1,1,全筆移轉,01250000
RPPNMLOJKHLFFGN78CA,王功段,4985.00,非都市：一般農業區 ; 非都市編定：養殖用地,1,1,全筆移轉,13900000
RPPNMLOJKHLFFGN78CA,王功段,4985.00,非都市：一般農業區 ; 非都市編定：養殖用地,1,1,全筆移轉,13910000
RPSNMLQLKHLFFDN56CA,至善段,77.42,都市：住,1,1,全筆移轉,02170000
RPSNMLQLKHLFFDN56CA,至善段,7.20,都市：其他:道路用地,1,1,全筆移轉,02170001
RPRNMLRKKHLFFHN86CA,大溪段,89.58,都市：住,1,1,全筆移轉,04210004
RPRNMLRKKHLFFHN86CA,大溪段,1.03,都市：其他:,144,1,持分移轉,04200000
RPTNMLLJKHLFFBN48DA,嘉慶段,70.73,都市：農,1,1,全筆移轉,08090028
RPXNMLMJKHLFFGN86DA,儒興段,116.76,都市：住,1,1,全筆移轉,03300022
RPQNMLNJKHLFFHN98DA,三興段,184.14,都市：農,1,1,全筆移轉,04820001
RPWNMLMJKHLFFAN78DA,三家段,2956.89,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03450000
RPWNMLMJKHLFFAN78DA,三家段,390.93,非都市：山坡地保育區 ; 非都市編定：農牧用地,16,1,持分移轉,03490000
RPSNMLLJKHLFFEN68DA,東興段,81.18,都市：住,1,1,全筆移轉,10650000
RPRNMLNJKHLFFHN09DA,三興段,260.69,都市：農,1,1,全筆移轉,04810001
RPVNMLOLKHLFFEN86DA,仁雅段,4.00,都市：住,360,30,持分移轉,00280000
RPVNMLOLKHLFFEN86DA,仁雅段,35.31,都市：住,360,30,持分移轉,00290000
RPROMLMJKHLFFAN38DA,牛稠子段牛稠子小段,56.00,都市：住,1,1,全筆移轉,01830069
RPPNMLMJKHLFFEN48DA,社中段,26.11,都市：其他:,2,1,持分移轉,09960000
RPPNMLMJKHLFFEN48DA,社中段,24.44,都市：其他:,2,1,持分移轉,09970000
RPPNMLMJKHLFFEN48DA,社中段,30.83,都市：其他:,2,1,持分移轉,10000000
RPPNMLMJKHLFFEN48DA,社中段,145.36,都市：其他:,2,1,持分移轉,10080000
RPPNMLMJKHLFFEN48DA,社中段,52.16,都市：其他:,2,1,持分移轉,10090000
RPVNMLRKKHLFFAN66DA,南郭段南郭小段,84.00,都市：住,1,1,全筆移轉,01690001
RPSNMLPJKHLFFAN68DA,西興段,137.50,都市：住,4,1,持分移轉,03760000
RPPNMLOLKHLFFHN09CA,東門段,1.17,都市：住,12,1,持分移轉,03620000
RPPNMLOLKHLFFHN09CA,東門段,15.52,都市：住,12,1,持分移轉,03630000
RPPNMLOLKHLFFHN09CA,東門段,50.72,都市：住,1,1,全筆移轉,03630003
RPPNMLOLKHLFFHN09CA,東門段,21.57,都市：住,12,1,持分移轉,03630008
RPRNMLQLKHLFFHN86CA,霖興段,134.30,都市：住,1,1,全筆移轉,12620015
RPRNMLMLKHLFFHN09CA,瓦窯北段,179.61,非都市：特定農業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,07380000
RPRNMLMLKHLFFHN09CA,瓦窯北段,32.79,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07390000
RPPNMLPJKHLFFHN98CA,光明段,1.87,都市：其他:,15,1,持分移轉,12410003
