編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXNMLMJNHLFFBB18CC,邱厝子段,2.69,都市：住,,,,00310062
RPVOMLMJNHLFFBB08CC,邱厝子段,2.74,都市：商,,,,00310062
RPVOMLMJNHLFFBB08CC,賴厝?段,3.42,都市：商,,,,00310003
RPWOMLMJNHLFFBB18CC,邱厝子段,2.33,都市：商,,,,00310062
RPRPMLMJNHLFFBB77CC,邱厝子段,2.59,都市：商,,,,00310062
RPWOMLMJNHLFFBB18CC,賴厝?段,2.90,都市：商,,,,00310003
RPRPMLMJNHLFFBB77CC,賴厝?段,3.23,都市：商,,,,00310003
RPOPMLMJNHLFFBB47CC,邱厝子段,2.39,都市：商,,,,00310062
RPOPMLMJNHLFFBB47CC,賴厝?段,2.97,都市：商,,,,00310003
RPTPMLMJNHLFFBB97CC,邱厝子段,3.43,都市：商,,,,00310062
RPTPMLMJNHLFFBB97CC,賴厝?段,4.27,都市：商,,,,00310003
RPPNMLNJNHLFFHL09CC,育賢段,2817.56,都市：商,,,,01530000
RPSPMLMJNHLFFBB87CC,邱厝子段,2.39,都市：商,,,,00310062
RPSPMLMJNHLFFBB87CC,賴厝?段,2.97,都市：商,,,,00310003
RPVOMLMJNHLFFAB97CC,旱清段,382.72,都市：住,,,,02700002
RPVOMLMJNHLFFAB97CC,旱清段,666.01,都市：住,,,,02740000
RPTNMLNJNHLFFAB77CC,中華段二小段,4.94,都市：商,,,,00090000
RPPNMLNJNHLFFBB47CC,東峰段,11.12,都市：商,,,,01580000
RPUNMLNJNHLFFCB08CC,惠信段,15.05,都市：住,,,,00550000
RPQPMLNJNHLFFCB87CC,國安段,16.44,都市：住,,,,00120014
RPSPMLNJNHLFFCB08CC,西屯段,18.53,都市：住,,,,23130002
RPOQMLNJNHLFFCB77CC,下石碑段,17.63,都市：住,,,,09530000
RPVPMLNJNHLFFCB38CC,上石碑段,28.76,都市：住,,,,21190000
RPQOMLOJNHLFFGL66CC,大衛段,100.35,都市：住,,,,05200000
RPVPMLOJNHLFFAB28CC,土庫段,527.00,都市：商,,,,00670029
RPVPMLOJNHLFFAB28CC,土庫段,117.00,都市：商,,,,00670067
RPVPMLOJNHLFFAB28CC,土庫段,22.00,都市：商,,,,00670102
RPTPMLPJNHLFFAB18CC,後?子段,15.82,都市：住,,,,02100010
RPXNMLPJNHLFFBB48CC,平田段,69.00,都市：住,,,,03860064
RPPOMLPJNHLFFBB77CC,松茂段,26.60,都市：住,,,,07810000
RPVNMLPJNHLFFCB38CC,中正段,8.48,都市：商,,,,01550000
RPSOMLPJNHLFFCB18CC,惠民段,22.84,都市：其他:新市政中心專用區,,,,01430001
