鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
嘉義市,土地,溪東段158地號,2057.65,農,,,1050712,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31722000,15417,,0.0,0,含增建或未登記建物。,RPRNMLPJQHLFFAI58CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿興業西路３３６之５號８樓２,18.31,住,,,1050720,土地3建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830516,137.14000000000001,3,1,2,有,有,3850000,28074,升降機械,0.0,0,,RPTNMLSJQHLFFAI09CA,93.09,0.0,11.31,,
嘉義市,房地(土地+建物),嘉義市嘉義巿金龍街38號5樓9,22.62,住,,,1050718,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821217,106.64,3,2,1,有,有,2900000,27194,,0.0,0,,RPPOMLTJQHLFFAI88CA,73.3,0.0,3.25,,
嘉義市,房地(土地+建物),嘉義市嘉義巿興業西路１３３號,100.0,住,,,1050625,土地1建物1車位0,一層，二層，三層，四層，騎樓，地下層,四層,店面(店鋪),住商用,鋼筋混凝土造,0750612,281.0,6,2,5,有,無,25000000,88968,,0.0,0,,RPSOMLLKQHLFFAI48CA,271.96,9.04,0.0,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿永康三街２９號６樓３及永康三街25號地下層1號,27.34,住,,,1050717,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810601,141.84,3,2,2,有,有,3800000,26791,坡道平面,0.0,0,,RPRNMLOKQHLFFAI58CA,78.28,0.0,9.76,,
嘉義市,房地(土地+建物),嘉義市嘉義巿彌陀路１４１號１０樓２,8.7,住,,,1050717,土地1建物1車位0,十層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850311,113.77000000000001,3,2,2,有,無,2550000,22414,,0.0,0,,RPTNMLOKQHLFFAI78CA,80.56,0.0,9.11,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿盧厝４７之１１號,202.74,其他,,,1050629,土地2建物1車位2,全,四層,透天厝,見其他登記事項,見其他登記事項,1011121,318.41,5,2,4,有,無,12000000,37687,一樓平面,0.0,0,,RPXNMLPKQHLFFAI66CA,276.51,0.0,41.9,,
嘉義市,土地,盧東段357-3地號,4.75,住,,,1050628,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,201600,42442,,0.0,0,,RPRNMLPLQHLFFAI78CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿福州四街５８號,87.0,其他,,,1050628,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1050414,237.76,4,3,4,有,無,15200000,63930,,0.0,0,,RPTNMLKMQHLFFAI58CA,219.69,0.0,18.07,,
嘉義市,土地,短竹段320-4地號,1.0,其他,,,1050706,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,60300,0,,0.0,0,協議價購,RPVOMLTKQHLFFAI07DA,0.0,0.0,0.0,,
嘉義市,土地,短竹段290-6地號,47.0,其他,,,1050706,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2834100,60300,,0.0,0,協議價購,RPWOMLTKQHLFFAI17DA,0.0,0.0,0.0,,
