編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLTJKHNFFCH98CA,八德段,104.58,非都市：一般農業區 ; 非都市編定：農牧用地,7,1,持分移轉,11260000
RPPQMLMKKHNFFBH08CA,內厝段,30.56,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,438,持分移轉,01180000
RPOOMLSJLHNFFDH68DA,清華段,893.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06150000
RPOOMLSJLHNFFDH68DA,清華段,298.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06150004
RPOOMLSJLHNFFDH68DA,清華段,396.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06160002
RPOOMLSJLHNFFDH68DA,清華段,397.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06160003
RPXNMLSJLHNFFDH86DA,幼獅段,15.81,都市：住,10000,32,持分移轉,12290000
RPRRMLNJMHNFFBH78EA,興南段興南小段,20.56,都市：商,500000,2367,持分移轉,01840002
RPSOMLLKJHNFFCH08CA,東隆段,420.31,非都市：一般農業區 ; 非都市編定：農牧用地,20,2,持分移轉,24470000
RPTPMLLKJHNFFCH28CA,基國派段,1250.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00420048
RPPNMLLKJHNFFDH97EA,瑞原段,25.16,非都市：特定農業區 ; 非都市編定：丁種建築用地,36,1,持分移轉,05040000
RPPNMLLKJHNFFDH97EA,瑞原段,142.59,非都市：特定農業區 ; 非都市編定：丁種建築用地,36,1,持分移轉,05360000
RPXNMLMKKHNFFDH98EA,高洲段,81.13,都市：住,1,1,全筆移轉,10600000
RPPRMLLKJHNFFBH97CA,大同段,986.23,都市：農,1,1,全筆移轉,16540000
RPPRMLLKJHNFFBH97CA,大同段,267.92,都市：農,1,1,全筆移轉,16540001
RPUNMLLKJHNFFCH18CA,三層段尾寮小段,210.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00050001
RPOOMLLKJHNFFCH67CA,和平段,143.00,都市：住,1,1,全筆移轉,03920000
RPUOMLTJKHNFFCH09CA,金龍段,84.92,非都市：一般農業區 ; 非都市編定：甲種建築用地,7000,330,持分移轉,20990000
RPSOMLSKJHNFFAH58CA,忠義段,3.56,都市：住,10000,26,持分移轉,05140000
RPSNMLRKJHNFFAH38CA,桃園段長美小段,19.35,都市：商,70000,1532,持分移轉,02490000
RPXPMLTJKHNFFAH66CA,桃園段武陵小段,13.27,都市：商,50000,268,持分移轉,01870000
RPVNMLTJKHNFFAH88CA,會稽段,14.92,都市：其他:綠地用地,12,1,持分移轉,09660000
RPXOMLMKKHNFFAH58CA,忠義段,3.36,都市：住,10000,12,持分移轉,08660000
RPXNMLSJKHNFFAH98CA,埔子段埔子小段,11.69,都市：住,720,45,持分移轉,20500001
RPUNMLNKKHNFFAH28CA,埔子段埔子小段,6.20,都市：住,5,1,持分移轉,20300058
RPUNMLNKKHNFFAH28CA,埔子段埔子小段,.64,都市：住,700,9,持分移轉,20390008
RPUNMLNKKHNFFAH28CA,埔子段埔子小段,7.79,都市：其他:道路用地+住宅區,8568,109,持分移轉,20390019
RPUNMLNKKHNFFAH28CA,埔子段埔子小段,11.07,都市：住,12152,155,持分移轉,20390220
RPUNMLNKKHNFFAH28CA,埔子段埔子小段,2.30,都市：住,10,1,持分移轉,20390248
RPUNMLNKKHNFFAH28CA,埔子段埔子小段,3.00,都市：住,10,1,持分移轉,20390249
RPUNMLNKKHNFFAH28CA,埔子段埔子小段,.00,都市：其他:道路用地,255024000,389,持分移轉,20390091
RPUNMLNKKHNFFAH28CA,埔子段埔子小段,9.79,都市：住,10724,137,持分移轉,20390242
RPWNMLLMJHNFFDH68CA,上湖段,9.33,非都市：特定農業區 ; 非都市編定：水利用地,3,1,持分移轉,12100005
RPWNMLLMJHNFFDH68CA,上湖段,2.67,非都市：特定農業區 ; 非都市編定：水利用地,3,1,持分移轉,12100006
RPWNMLLMJHNFFDH68CA,上湖段,81.33,非都市：特定農業區 ; 非都市編定：甲種建築用地,3,1,持分移轉,12110000
RPWNMLLMJHNFFDH68CA,上湖段,170.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,12110003
RPTTMLQJKHNFFBH09CA,草富段,34.42,都市：住,10000,363,持分移轉,05940011
RPQNMLNLJHNFFDH18CA,長岡嶺段,45.93,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,55,持分移轉,01440000
RPURMLPLJHNFFAH88CA,東門段,13.99,都市：商,10000,126,持分移轉,01310000
RPURMLPLJHNFFAH88CA,東門段,.03,都市：商,10000,126,持分移轉,01320001
RPVNMLQKJHNFFGH66DA,金星段,23.45,都市：住,10000,642,持分移轉,11330000
RPVNMLQKJHNFFGH66DA,金星段,9.17,都市：住,10000,642,持分移轉,11340000
RPPOMLQKJHNFFGH78DA,金星段,22.43,都市：住,10000,614,持分移轉,11330000
RPPOMLQKJHNFFGH78DA,金星段,8.77,都市：住,10000,614,持分移轉,11340000
RPQNMLRKJHNFFCH38CA,八德段,135.86,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,10490000
RPTPMLPKJHNFFBH58CA,大湖段,1457.54,非都市：特定農業區 ; 非都市編定：農牧用地,180,12,持分移轉,01550000
RPTPMLPKJHNFFBH58CA,大湖段,46.59,非都市：特定農業區 ; 非都市編定：水利用地,180,12,持分移轉,01560000
RPTPMLPKJHNFFBH58CA,大湖段,667.82,非都市：特定農業區 ; 非都市編定：農牧用地,180,12,持分移轉,01570000
RPRNMLRKJHNFFCH48CA,和原段,16.28,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,42,1,持分移轉,13280000
RPRNMLRKJHNFFCH48CA,和原段,39.08,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,31,1,持分移轉,15800000
RPRNMLRKJHNFFCH48CA,和原段,201.70,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,15980000
RPRTMLQJKHNFFBH88CA,草富段,19.00,都市：住,164,22,持分移轉,05940000
RPRTMLQJKHNFFBH88CA,草富段,36.01,都市：住,1,1,全筆移轉,05940033
RPSOMLLKJHNFFHH68DA,南崁頂段陳厝坑小段,5.02,都市：其他:保護區,36,1,持分移轉,02660000
RPSOMLLKJHNFFHH68DA,南崁頂段陳厝坑小段,9.15,都市：其他:保護區,36,1,持分移轉,02660001
