編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLSKMHNFFBG68CA,金古段,4.23,都市：住,1,1,全筆移轉,04910001
RPXOMLSKMHNFFBG76CA,忠義段,40.00,都市：其他:人行步道,5,4,持分移轉,07010000
RPUNMLTKMHNFFBG09CA,石城段,151.92,都市：其他:鐵路用地,1,1,全筆移轉,13470000
RPVNMLPLMHNFFBG98DA,拔雅林二段,.37,都市：其他:道路用地,60,5,持分移轉,02650000
RPVNMLPLMHNFFBG98DA,拔雅林三段,48.85,都市：其他:道路用地,1,1,全筆移轉,03360000
RPVNMLPLMHNFFBG98DA,拔雅林三段,1.07,都市：住,1,1,全筆移轉,03270000
RPQNMLPLMHNFFBG48DA,福德段,21606.27,非都市：山坡地保育區 ; 非都市編定：農牧用地,4,1,持分移轉,07430000
RPRPMLKLMHNFFAG28EA,寒溪段,260.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00950000
RPSNMLKKNHNFFAG97CA,鹿安二段,126.59,都市：商,1,1,全筆移轉,03090000
RPSNMLKKNHNFFAG97CA,鹿安二段,24.79,都市：商,100000,3723,持分移轉,03100000
RPTNMLPLNHNFFAG68CA,東安段,1.08,都市：住,10000,256,持分移轉,03520001
RPTNMLPLNHNFFAG68CA,五結段,31.90,都市：住,10000,256,持分移轉,10280000
RPTOMLOJNHNFFAG48CA,天山段,2001.29,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,12130000
RPTOMLOJNHNFFAG48CA,仁愛一段,150.10,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00620000
RPTOMLOJNHNFFAG48CA,仁愛一段,43.27,非都市：特定農業區 ; 非都市編定：農牧用地,87000,4323,持分移轉,00640000
RPQNMLRLMHNFFAG48CA,羅莊段,13.75,都市：住,10000,418,持分移轉,01040001
RPRNMLRLMHNFFAG58CA,北成段,6.84,都市：住,1000000,4590,持分移轉,14080000
RPOOMLLLNHNFFBG97CA,水源段,172.58,非都市：特定農業區 ; 非都市編定：甲種建築用地,12,1,持分移轉,04160000
RPSNMLOLMHNFFBG48CA,龍潭湖段,873.80,都市：農,1,1,全筆移轉,03660000
RPROMLNLMHNFFBG38CA,珍子滿力段擺厘小段,9.96,都市：住,10000,129,持分移轉,00430000
RPOOMLMJNHNFFBG87CA,和平段,57.18,都市：住,100000,1833,持分移轉,00120000
RPTNMLRLMHNFFBG88CA,朝陽段,28.64,非都市：一般農業區 ; 非都市編定：甲種建築用地,5000,71,持分移轉,00730000
RPSOMLOJNHNFFBG48CA,開圍段,51.11,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09940000
RPTNMLPLMHNFFBG78DA,頂埔段,54.89,非都市：特定農業區 ; 非都市編定：農牧用地,6000,428,持分移轉,03750002
RPQNMLQLMHNFFAG58EA,復興段,16.25,都市：其他:保護區,120,6,持分移轉,00220000
RPPNMLOLMHNFFAG28EA,天山段,26.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03930000
RPPNMLOLMHNFFAG28EA,天山段,5.09,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03930002
RPUNMLPLMHNFFBG78CA,金六結段金結小段,8.09,都市：住,100000,441,持分移轉,00290000
RPUNMLPLMHNFFBG78CA,金六結段金結小段,.45,都市：住,100000,221,持分移轉,00290083
RPPOMLQLMHNFFBG48CA,金古段,384.44,都市：其他:道路用地,1000,543,持分移轉,06650000
RPSNMLMJNHNFFAG08CA,龍德段,165.50,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,03040001
RPPNMLTLMHNFFBG68CA,協民段,2572.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06720002
RPUOMLKLMHNFFBG58EA,十六結段,393.17,非都市：特定農業區 ; 非都市編定：農牧用地,57,15,持分移轉,02500000
RPTOMLKLMHNFFBG48EA,十六結段,142.90,非都市：特定農業區 ; 非都市編定：甲種建築用地,57,15,持分移轉,02490000
RPQOMLOJNHNFFBG28CA,尚好段,407.39,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09920001
RPTNMLKKNHNFFAG28EA,永愛段,78.01,都市：住,1,1,全筆移轉,02190051
RPTNMLKKNHNFFAG28EA,永愛段,108.50,都市：住,1,1,全筆移轉,02190052
RPTNMLKKNHNFFAG28EA,永愛段,84.15,都市：住,1,1,全筆移轉,02190053
RPTNMLKKNHNFFAG28EA,永愛段,84.15,都市：住,1,1,全筆移轉,02190054
RPTNMLKKNHNFFAG28EA,永愛段,84.15,都市：住,1,1,全筆移轉,02190055
RPTNMLKKNHNFFAG28EA,永愛段,84.15,都市：住,1,1,全筆移轉,02190056
RPTNMLKKNHNFFAG28EA,永愛段,83.65,都市：住,1,1,全筆移轉,02190057
RPTNMLKKNHNFFAG28EA,永愛段,76.46,都市：住,1,1,全筆移轉,02190058
RPTNMLKKNHNFFAG28EA,永愛段,12.68,都市：住,1,1,全筆移轉,02190059
RPXNMLLJNHNFFBG58CA,協民段,2600.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04710001
RPQNMLLJNHNFFBG87CA,忠義段,10.56,都市：住,100000,277,持分移轉,08100000
RPTNMLQLMHNFFBG78CA,德陽段,10.44,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,269,持分移轉,04000001
RPQPMLKMMHNFFBG18CA,五峰段,13.88,都市：住,100000,248,持分移轉,10800000
RPROMLKMMHNFFBG18CA,和平段,26.22,都市：住,10000,105,持分移轉,01030000
RPQOMLRLMHNFFBG88EA,五峰段,136.72,都市：其他:計畫道路,1,1,全筆移轉,11160000
RPXNMLRLMHNFFBG86EA,協天段,50.00,都市：其他:計畫道路,2,1,持分移轉,03320000
RPPOMLRLMHNFFBG78EA,協天段,72.11,都市：其他:計畫道路,1,1,全筆移轉,03990002
RPXNMLRLMHNFFBG86EA,協天段,31.50,都市：其他:計畫道路,2,1,持分移轉,03330001
RPPOMLRLMHNFFBG78EA,五峰段,94.79,都市：其他:計畫道路,1,1,全筆移轉,11310001
RPOOMLRLMHNFFBG68EA,協天段,50.00,都市：其他:計畫道路,2,1,持分移轉,03320000
RPOOMLRLMHNFFBG68EA,協天段,31.50,都市：其他:計畫道路,2,1,持分移轉,03330001
RPQNMLNJNHNFFBG28EA,艮門二段,14.26,都市：其他:道路用地,1,1,全筆移轉,01870000
RPPNMLKMMHNFFBG87CA,宜商段,36.96,都市：住,10000,98,持分移轉,03880000
RPPNMLRLMHNFFBG58DA,中興段,37.26,都市：住,85,1,持分移轉,06490000
RPPNMLRLMHNFFBG58DA,中興段,9.02,都市：住,1000000,4732,持分移轉,06510000
RPUOMLOJNHNFFAG58CA,南安段,10.67,都市：住,3,1,持分移轉,14100000
RPUNMLRJNHNFFBG88CA,女中段,22.14,都市：住,100000,1385,持分移轉,01310000
RPPOMLOJNHNFFBG18CA,雙福段,14.03,都市：住,771780,14032,持分移轉,09700000
RPRNMLRLMHNFFBG88EA,過港段,137.01,都市：住,1,1,全筆移轉,06950000
RPUNMLKMMHNFFAG48EA,利工段,117.28,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,06040000
RPVNMLKMMHNFFAG58EA,利工段,166.32,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,06050000
RPTOMLOJNHNFFBG58CA,宜興段,72.15,都市：住,1,1,全筆移轉,03560000
RPTOMLOJNHNFFBG58CA,宜興段,11.21,都市：住,640,10,持分移轉,03330000
