編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLTKJHOFFAV27DA,16,155.64,住家用,鋼骨造,91年10月18日,三層,一層 二層 三層 屋頂突出物 見其他登記事項,全筆移轉
RPRNMLMLJHOFFCV96CA,36,212.28,Ｈ２住宅、樓梯間,加強磚造,71年12月20日,三層,見其他登記事項,全筆移轉
RPPNMLSLJHOFFDV57DA,23,30.87,套房,鋼筋混凝土造,84年7月14日,八層,三層 見其他登記事項,全筆移轉
RPPNMLSLJHOFFDV57DA,23,7.44,樓梯．電梯．機械房．水箱．清水池．走道．陽台．屋頂突出物,鋼筋混凝土造,84年7月14日,八層,,持分移轉
RPPNMLNLJHOFFAV66CA,36,93.60,住家用,加強磚造,71年9月24日,二層,一層 二層,全筆移轉
RPSNMLPLJHOFFAV17CA,46,34.58,住家用,磚造蓋瓦,62年7月1日,一層,一層,全筆移轉
RPXNMLQKJHOFFAV67CA,25,100.36,住家用,鋼筋混凝土造,82年9月2日,四層,一層 二層 三層 四層 陽台,持分移轉
RPXNMLQKJHOFFAV67CA,25,100.36,住家用,鋼筋混凝土造,82年9月2日,四層,一層 二層 三層 四層 陽台,持分移轉
RPTNMLNLJHOFFAV07CA,47,73.39,住家用,鐵筋水泥磚,61年5月9日,三層,三層,全筆移轉
RPRNMLTKJHOFFAV37CA,14,174.14,住家用,ＲＣ造,94年5月24日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPPNMLRKJHOFFAV96CA,23,33.12,集合住宅,鋼筋混凝土造,85年6月28日,九層,五層 陽台 花台,全筆移轉
RPQNMLRKJHOFFAV07CA,37,320.97,住商用,鋼筋混凝土造,70年8月22日,四層,一層 二層 三層 四層 騎樓 地下層,全筆移轉
RPPNMLRKJHOFFAV96CA,23,6.91,電梯，樓梯共同使用,鋼筋混凝土造,85年6月28日,九層,,持分移轉
RPPNMLRKJHOFFAV96CA,23,4.10,配電室．樓梯．電梯．機械房．通道．水箱．人行共同使用,鋼筋混凝土造,85年6月28日,九層,,持分移轉
RPPNMLNLJHOFFBV76CA,40,105.50,住家用,加強磚造,68年1月24日,二層,一層 二層 騎樓,全筆移轉
RPQNMLPLJHOFFAV07DA,,48.24,住宅、騎樓,木石磚造（木石）,,一層,一層 騎樓,全筆移轉
RPPNMLPLJHOFFBV96CA,21,136.12,鄉村住宅,加強磚造,86年8月21日,二層,一層 二層 屋頂突出物,全筆移轉
