編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVOMLKMNHOFFBJ56DA,升降平面,0,,
RPVOMLKMNHOFFBJ56DA,升降平面,0,,
RPPNMLLKMHOFFBJ18CA,坡道平面,0,,
RPWOMLTLMHOFFBJ27CA,坡道平面,0,,
RPPNMLRLMHOFFBJ88CA,坡道平面,0,39.56,
RPPOMLQLMHOFFBJ88CA,坡道平面,0,25.90,
RPPOMLLJNHOFFDJ48CA,一樓平面,0,,
RPRNMLKMMHOFFCJ58CA,升降機械,0,21.07,
RPVNMLTLMHOFFDJ37DA,坡道平面,0,.06,
RPTQMLPLMHOFFBJ76CA,坡道平面,1200000,27.42,
RPTQMLPLMHOFFBJ76CA,坡道平面,1200000,27.42,
RPTOMLSJNHOFFBJ76CA,坡道平面,0,39.56,
RPQNMLLJNHOFFBJ28CA,坡道平面,0,34.79,
RPQNMLLJNHOFFBJ28CA,坡道平面,0,34.79,
RPRNMLLJNHOFFBJ38CA,坡道平面,0,27.05,
RPRNMLLJNHOFFBJ38CA,坡道平面,0,29.04,
RPPNMLNJNHOFFBJ38CA,坡道平面,0,,
RPUNMLTJNHOFFDJ17DA,一樓平面,0,,
RPQPMLRJNHOFFBJ09CA,坡道平面,0,36.14,
RPRNMLRJNHOFFDJ56CA,坡道機械,700000,9.43,
RPSOMLOKNHOFFBJ98CA,坡道平面,0,,
RPSOMLOKNHOFFBJ98CA,坡道平面,0,,
RPSOMLOKNHOFFBJ98CA,坡道平面,0,,
RPSOMLOKNHOFFBJ98CA,坡道平面,0,,
RPWOMLLLNHOFFBJ56CA,坡道機械,0,,
RPPNMLLKNHOFFBJ28CA,坡道平面,0,,
RPPNMLLKNHOFFBJ28CA,坡道平面,0,,
RPUNMLLKNHOFFBJ78CA,坡道平面,0,,
RPQNMLRJNHOFFBJ88CA,升降機械,0,,
RPSNMLRJNHOFFBJ09CA,坡道平面,0,33.88,
RPSNMLRJNHOFFBJ09CA,坡道平面,0,33.88,
RPXPMLRJNHOFFBJ17CA,坡道平面,0,33.43,
RPQNMLSJNHOFFBJ98CA,坡道平面,0,,
RPPQMLRJNHOFFBJ09CA,坡道平面,0,29.26,
RPPQMLRJNHOFFBJ09CA,坡道平面,0,29.26,
RPVQMLRJNHOFFBJ07CA,坡道平面,0,34.49,
RPQNMLNKNHOFFBJ58CA,坡道機械,0,,
RPSQMLNKNHOFFBJ09CA,坡道平面,0,29.91,
RPRQMLNKNHOFFBJ98CA,坡道平面,0,31.88,
RPRQMLNKNHOFFBJ98CA,坡道平面,0,31.88,
RPROMLOKNHOFFBJ88CA,坡道平面,0,,
RPROMLOKNHOFFBJ88CA,坡道平面,0,,
RPROMLOKNHOFFBJ88CA,坡道平面,0,,
RPVOMLOKNHOFFBJ66CA,坡道平面,0,,
RPOPMLOKNHOFFBJ68CA,坡道平面,0,38.55,
RPOPMLOKNHOFFBJ68CA,坡道平面,0,38.55,
RPWNMLKLNHOFFCJ09CA,坡道機械,0,,
RPUNMLSJNHOFFCJ86CA,坡道機械,0,,
RPTNMLKLNHOFFBJ68CA,坡道平面,1350000,40.52,
RPUNMLKKNHOFFBJ68CA,坡道平面,0,31.69,
RPUOMLRKNHOFFBJ86CA,坡道平面,0,,
RPUOMLRKNHOFFBJ86CA,坡道平面,0,,
RPPOMLNKNHOFFDJ78CA,坡道平面,0,,
RPVNMLSJNHOFFBJ86CA,其他,0,,
RPWPMLQKNHOFFBJ07CA,坡道平面,0,,
RPTNMLLLNHOFFCJ88CA,坡道平面,0,,
RPSOMLKKNHOFFCJ68CA,坡道平面,0,,
RPTQMLSJNHOFFBJ96CA,坡道平面,0,31.89,
RPQOMLRKNHOFFBJ09CA,坡道機械,0,20.19,
RPQOMLRKNHOFFBJ09CA,坡道機械,0,20.19,
