編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPOMLRKIIOFFCB87CA,坡道平面,0,,
RPXRNLSLIIOFFCB66CA,升降機械,0,6.87,
RPXRNLSLIIOFFCB66CA,坡道平面,0,12.95,
RPTNMLTKIIOFFBB28CA,坡道平面,0,25.40,
RPSNMLKMIIOFFBB47CA,坡道平面,0,14.06,
RPXNMLOLIIOFFAB18CA,坡道平面,0,28.17,
RPQRMLOLIIOFFBB97CA,坡道平面,0,,
RPTNMLOLIIOFFIB58CA,坡道平面,0,,
RPVNMLSKJIOFFBB48CA,坡道平面,0,,
RPPOMLPLIIOFFAB57CA,坡道機械,850000,9.92,
RPSQMLOKJIOFFAB08DA,坡道機械,0,,
RPPSMLPLIIOFFCB18CA,坡道平面,0,,
RPPSMLPLIIOFFCB18CA,坡道平面,0,,
RPPRMLSLIIOFFAB38EA,坡道平面,500000,30.37,
RPPQMLOLIIOFFBB77CA,坡道平面,0,,
RPOWMLNLIIOFFCB28CA,坡道機械,0,,
RPTNMLNLIIOFFBB77CA,坡道平面,0,40.51,
RPSTMLPJJIOFFCB48CA,坡道機械,0,6.87,
RPSTMLPJJIOFFCB48CA,坡道平面,0,15.11,
RPWNMLSLIIOFFIB66CA,升降機械,660000,9.89,
RPTOMLPLIIOFFAB97CA,坡道機械,0,,
RPTOMLPLIIOFFAB97CA,坡道機械,0,,
RPWRMLPJJIOFFCB68CA,坡道機械,0,,
RPQOMLOLIIOFFIB38CA,坡道平面,0,27.48,
RPQOMLOLIIOFFIB38CA,坡道平面,0,27.48,
RPQPMLOJJIOFFCB77CA,坡道平面,0,14.48,
RPVQMLOLIIOFFBB38CA,坡道平面,0,,
RPSOMLTKJIOFFJB56CA,坡道機械,0,,
RPTSMLTKJIOFFBB88CA,坡道平面,0,31.68,
RPSQMLNKJIOFFBB97CA,坡道平面,1400000,26.98,
RPTOMLLJJIOFFBB57CA,坡道機械,0,6.61,
RPSOMLLMIIOFFCB77CA,坡道機械,490000,,
RPRNMLRLIIOFFAB87CA,坡道平面,0,,
