編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQOMLPKJIOFFCC18EA,坡道機械,400000,10.20,
RPSNMLKMIIOFFCC87EA,坡道平面,750000,33.90,
RPROMLTKJIOFFBC38CA,坡道機械,0,9.82,
RPROMLTKJIOFFBC38CA,坡道機械,0,9.82,
RPSNMLNLIIOFFCC87CA,坡道機械,0,15.16,
RPWNMLPLIIOFFCC48CA,坡道平面,0,23.92,
RPVNMLLKJIOFFCC18EA,坡道平面,1200000,36.79,
RPSNMLKLJIOFFCC87EA,坡道平面,2700000,64.37,
RPQNMLTLIIOFFBC18CA,一樓平面,0,13.75,
RPSOMLLMIIOFFCC87CA,坡道平面,1000000,27.40,
RPQOMLOJJIOFFCC77CA,坡道平面,0,,
RPTNMLLMIIOFFBC77CA,坡道平面,0,41.61,
RPWNMLOJJIOFFBC18CA,坡道平面,0,35.96,
RPQNMLLKJIOFFCC47CA,坡道平面,0,28.62,
RPPNMLPJKIOFFCC97EA,坡道平面,0,,
RPPNMLKKJIOFFCC27CA,坡道平面,0,,
RPSOMLQJJIOFFCC18CA,坡道平面,0,,
RPRNMLPJJIOFFCC87CA,坡道平面,0,,
RPPNMLLKJIOFFBC27CA,坡道平面,0,32.61,
RPRNMLQJJIOFFCC97CA,坡道機械,0,,
RPOOMLSJJIOFFCC97CA,坡道機械,0,18.47,
RPXNMLSKJIOFFCC88CA,坡道平面,0,15.87,
RPWNMLOKJIOFFCC38CA,坡道平面,800000,35.57,
RPVNMLNKJIOFFBC08CA,坡道平面,0,,
RPWNMLSJJIOFFBC58CA,坡道平面,0,36.53,
RPXNMLMKJIOFFCC28CA,坡道平面,800000,15.87,
RPXNMLMKJIOFFCC28CA,坡道平面,800000,15.87,
RPPOMLSJJIOFFCC08CA,坡道機械,0,20.76,
RPRNMLLLJIOFFCC67CA,坡道機械,500000,16.64,
RPRNMLLLJIOFFCC67CA,坡道機械,500000,16.64,
RPUNMLLKJIOFFCC87CA,坡道平面,0,15.87,
RPPNMLLKJIOFFCC37CA,坡道機械,0,15.16,
RPWNMLLKJIOFFCC08CA,升降平面,1300000,27.89,
RPQNMLMKJIOFFCC57CA,坡道平面,0,,
RPTNMLNJKIOFFBC87CA,坡道平面,0,34.98,
RPWOMLQLRHOFFCC86CA,一樓平面,1200000,46.69,
ZPWOMLQLRHOFFCC67CA,一樓平面,1200000,46.69,
RQWOMLQLRHOFFCC96CA,一樓平面,1200000,46.69,
QQWOMLQLRHOFFCC86CA,一樓平面,1200000,46.69,
VPWOMLQLRHOFFCC27CA,一樓平面,1200000,40.60,
SPWOMLQLRHOFFCC96CA,一樓平面,1200000,46.69,
TPWOMLQLRHOFFCC07CA,一樓平面,1200000,46.69,
YPWOMLQLRHOFFCC57CA,一樓平面,1200000,46.69,
XPWOMLQLRHOFFCC47CA,一樓平面,1200000,46.69,
WPWOMLQLRHOFFCC37CA,一樓平面,1200000,46.69,
UPWOMLQLRHOFFCC17CA,一樓平面,1200000,46.69,
SQWOMLQLRHOFFCC07CA,一樓平面,1200000,46.69,
RPRNMLNLRHOFFBC48CA,坡道平面,420000,45.95,
RPXNMLNLRHOFFCC56CA,坡道平面,1000000,22.79,
RPUNMLNLRHOFFCC88CA,坡道平面,1000000,22.79,
RPUNMLNLRHOFFCC88CA,坡道平面,1000000,22.79,
RPQOMLNJIIOFFBC47CA,坡道平面,0,,
RPOOMLQLRHOFFCC68CA,其他,1200000,46.69,
RPOOMLQLRHOFFCC68CA,其他,1200000,46.69,
RPOOMLQLRHOFFCC68CA,其他,1200000,30.45,
RPOOMLQLRHOFFCC68CA,其他,1200000,40.60,
RPOOMLQLRHOFFCC68CA,其他,1200000,40.60,
RPOOMLQLRHOFFCC68CA,其他,1200000,36.54,
RPOOMLQLRHOFFCC68CA,其他,1200000,46.69,
RPPOMLQLRHOFFCC78CA,一樓平面,1200000,46.69,
RPQNMLLJIIOFFCC27CA,坡道平面,0,,
RPSOMLNJIIOFFCC77CA,升降機械,950000,18.60,
RPPNMLSKIIOFFBC87CA,升降機械,550000,9.82,
RPPNMLSKIIOFFBC87CA,升降機械,550000,9.82,
RPPNMLRJIIOFFBC67CA,坡道平面,0,,
RPQOMLLJJIOFFCC47CA,坡道平面,0,,
RPUOMLOJIIOFFBC97CA,坡道平面,0,,
RPWOMLOJIIOFFBC18CA,坡道平面,0,,
RPSNMLNJIIOFFCC67CA,坡道平面,0,15.87,
RPXNMLOJIIOFFCC28CA,坡道機械,0,,
RPRNMLPKIIOFFCC08EA,坡道機械,250000,18.15,
RPRNMLSJIIOFFBC97CA,坡道平面,0,,
RPQNMLOKIIOFFCC67CA,坡道平面,1200000,13.47,
RPQNMLOKIIOFFCC67CA,坡道平面,1200000,13.47,
RPSOMLOKIIOFFCC97CA,坡道平面,0,,
RPQOMLSJIIOFFCC08CA,坡道平面,0,15.87,
RPUNMLRKIIOFFBC38DA,坡道平面,0,,
RPQNMLLLIIOFFCC47CA,坡道平面,0,,
RPQNMLSKIIOFFBC97CA,坡道平面,0,,
RPSNMLLLIIOFFBC57CA,坡道平面,0,,
RPWNMLSLIIOFFBC68CA,坡道平面,0,,
