編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMKQHOFFAE28CC,大智段,5.97,都市：商,,,,05310000
RPXNMLMKQHOFFAE09CC,龍華段八小段,8.09,都市：商,,,,22560000
RPSNMLMKQHOFFAE58CC,前金段,5.71,都市：商,,,,00930004
RPOPMLMKQHOFFDE68CC,建安段,86.00,都市：商,,,,00130000
RPTPMLMKQHOFFDE56CC,灣子內段寶珠溝小段,.00,都市：住,,,,06660000
RPSPMLMKQHOFFDE09CC,大順段,.00,都市：商,,,,08720000
RPTNMLMKQHOFFEE09CC,新民段,.00,都市：商,,,,01730000
RPXNMLMKQHOFFEE86CC,藍田中段,116.00,都市：住,,,,02190000
RPPNMLMKQHOFFCE48CC,盛興段,14.37,都市：住,,,,14920000
RPUOMLMKQHOFFCE09CC,盛興段,12.20,都市：住,,,,14920000
RPTOMLMKQHOFFCE98CC,盛興段,18.14,都市：住,,,,14920000
RPVOMLMKQHOFFCE56CC,盛興段,18.14,都市：住,,,,14920000
RPPOMLMKQHOFFGE98CC,鳳山段縣口小段,11.49,都市：商,,,,02780007
RPPOMLMKQHOFFGE98CC,鳳山段縣口小段,4.42,都市：商,,,,02830000
RPPOMLMKQHOFFGE98CC,鳳山段縣口小段,.78,都市：商,,,,02840001
RPROMLMKQHOFFGE56CC,五甲段,87.00,都市：商,,,,12730060
RPVNMLMKQHOFFGE86CC,華鳳段,14.69,都市：住,,,,01630001
RPTNMLMKQHOFFIE86CC,大安段,163.00,都市：住,,,,09900004
RPWNMLMKQHOFFIE17CC,新後港西段,28.70,都市：商,,,,00690148
RPQOMLNKQHOFFGE56CC,竹子腳段,.17,都市：住,,,,00770071
RPQOMLNKQHOFFGE56CC,竹子腳段,11.54,都市：住,,,,00770057
RPRNMLNKQHOFFGE56CC,五甲段,118.00,都市：住,,,,03270055
RPSOMLNKQHOFFGE76CC,文山段,12.34,都市：住,,,,00340000
RPWOMLNKQHOFFCE76CC,小港段,2056.00,都市：工,,,,10390000
RPPPMLNKQHOFFCE78CC,店鎮段二小段,.00,都市：住,,,,29400000
RPPNMLNKQHOFFEE78CC,援中段一小段,.00,都市：商,,,,01720000
RPRNMLNKQHOFFEE98CC,藍田中段,244.00,都市：商,,,,02540000
RPOOMLNKQHOFFEE78CC,新庄段七小段,23.75,都市：住,,,,06380000
RPVOMLNKQHOFFEE86CC,福民段,121.90,都市：住,,,,00900003
RPWOMLNKQHOFFEE96CC,果貿段,76.00,都市：住,,,,00060006
RPXOMLNKQHOFFEE07CC,和平段五小段,552.00,都市：住,,,,02340000
RPXOMLNKQHOFFEE07CC,和平段五小段,1062.00,都市：住,,,,02400000
RPWPMLNKQHOFFEE07CC,新庄段六小段,.00,都市：住,,,,11660000
RPWNMLNKQHOFFDE76CC,大港段二小段,.00,都市：住,,,,15510000
RPUPMLMKQHOFFDE66CC,灣子內段寶珠溝小段,.00,都市：住,,,,06660000
RPQNMLMKQHOFFCE58CC,盛興段,12.09,都市：住,,,,14920000
RPRNMLMKQHOFFAE48CC,龍中段,16.62,都市：商,,,,01250000
RPOOMLMKQHOFFBE38CC,新興段三小段,4.74,都市：商,,,,00200000
RPSOMLMKQHOFFBE78CC,過田子段,.00,都市：商,,,,11360000
