編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLPKJHPFFAA47CA,坡道平面,0,,
RPTNMLMJLHPFFAA57CA,坡道機械,0,28.90,
RPPOMLMLJHPFFEA77DA,坡道平面,0,,
RPVNMLQKJHPFFDA38CA,坡道機械,1550000,,
RPXPMLLLJHPFFDA38CA,坡道平面,0,40.04,
RPTOMLMLJHPFFEA18DA,升降機械,0,,
RPUNMLPKJHPFFEA28CA,升降平面,0,29.74,
RPXNMLLLJHPFFCA08CA,升降機械,608000,6.65,
RPXNMLLLJHPFFCA08CA,升降機械,608000,6.65,
RPXNMLLLJHPFFCA08CA,升降機械,608000,6.65,
RPRQMLPKJHPFFDA18CA,塔式車位,0,,
RPUPMLRKJHPFFEA78DA,坡道平面,0,,
RPUPMLRKJHPFFEA78DA,坡道平面,0,,
RPVPMLLLJHPFFCA08CA,坡道平面,1850000,,
RPVPMLLLJHPFFCA08CA,坡道平面,1850000,,
RPVPMLLLJHPFFCA08CA,坡道平面,1850000,,
RPVPMLLLJHPFFCA08CA,坡道平面,1850000,,
RPVPMLLLJHPFFCA08CA,坡道平面,1850000,,
RPSOMLKLJHPFFAA37CA,升降平面,1050000,,
RPSPMLKLJHPFFAA47CA,升降機械,850000,,
RPPNMLLLJHPFFEA47CA,坡道平面,1700000,40.47,
RPPRMLRJKHPFFCA18CA,坡道平面,0,42.44,
RPPRMLRJKHPFFCA18CA,坡道平面,0,42.44,
RPWPMLKKKHPFFCA08CA,坡道平面,1500000,38.92,
RPXPMLOKKHPFFDA68CA,坡道平面,0,,
RPXPMLOKKHPFFDA68CA,坡道平面,0,,
RPWPMLLLJHPFFCA18CA,坡道平面,1850000,,
RPWPMLLLJHPFFCA18CA,坡道平面,1850000,,
RPWPMLLLJHPFFCA18CA,坡道平面,1850000,,
RPWPMLLLJHPFFCA18CA,坡道平面,1850000,,
RPVNMLRLKHPFFBA48CA,坡道機械,1830000,11.75,
RPQOMLLLJHPFFCA47CA,坡道機械,750000,17.20,
RPXUMLLLJHPFFCA78CA,坡道平面,0,,
RPXNMLMLJHPFFEA38CA,坡道平面,2500000,36.94,
RPTNMLQJKHPFFEA28CA,坡道平面,3000000,,
RPVNMLKLLHPFFDA08CA,坡道平面,2860000,45.48,
RPQQMLNKKHPFFCA97DA,坡道平面,0,20.74,
RPQQMLNKKHPFFCA97DA,坡道平面,0,20.74,
RPQQMLNKKHPFFCA97DA,坡道平面,0,20.74,
RPQQMLNKKHPFFCA97DA,坡道平面,0,20.74,
RPQQMLNKKHPFFCA97DA,坡道平面,0,38.05,
RPQQMLNKKHPFFCA97DA,坡道平面,0,38.05,
RPQNMLLMJHPFFAA27CA,坡道平面,1800000,43.92,
RPRPMLNJKHPFFAA57CA,坡道平面,0,33.62,
RPROMLNJLHPFFCA77CA,升降機械,2000000,13.73,
TPOOMLLMJHPFFEA77CA,坡道平面,2050000,32.37,
UPOOMLLMJHPFFEA87CA,坡道平面,2750000,32.37,
RPOOMLLMJHPFFEA57CA,坡道平面,2050000,32.37,
SPOOMLLMJHPFFEA67CA,坡道平面,2350000,32.37,
RPSNMLLMJHPFFEA87CA,坡道機械,950000,,
RPUOMLPJKHPFFCA18CA,坡道機械,1000000,,
SPUOMLPJKHPFFCA28CA,坡道機械,900000,,
RPPRMLKKLHPFFCA67CA,升降平面,1500000,,
RPTNMLLMJHPFFEA97CA,坡道平面,0,33.44,
RPQSMLLMJHPFFCA08DA,塔式車位,1800000,10.22,
