編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOOMLLKKHPFFIF58CC,坡道平面,0,42.33,
RPOPMLLKKHPFFBF97CC,坡道平面,0,,
RPQRMLLKKHPFFBF38CC,坡道平面,0,,
RPWOMLLKKHPFFHF66CC,坡道平面,3500,36.66,
RPTQMLLKKHPFFAF48CC,坡道機械,0,16.56,
RPROMLMKKHPFFCF38CC,坡道平面,0,29.80,
RPTPMLMKKHPFFGF09CC,坡道機械,0,38.09,
RPOQMLMKKHPFFAF28EC,坡道平面,0,32.61,
RPRNMLMKKHPFFDF38CC,坡道平面,0,23.03,
RPPOMLMKKHPFFBF08CC,坡道平面,0,,
RPVSMLMKKHPFFBF09CC,坡道平面,0,27.79,
RPVOMLNKKHPFFDF98CC,坡道平面,0,37.51,
RPVOMLNKKHPFFDF98CC,坡道平面,0,37.51,
RPVOMLNKKHPFFDF98CC,坡道平面,0,37.51,
RPVOMLNKKHPFFDF98CC,坡道平面,0,37.51,
RPVOMLNKKHPFFDF98CC,坡道平面,0,37.51,
RPTRMLMKKHPFFEF09CC,坡道平面,0,34.55,
RPWQMLMKKHPFFEF66CC,坡道平面,0,,
RPRNMLNKKHPFFEF58CC,坡道平面,0,27.55,
RPWNMLNKKHPFFEF09CC,坡道平面,0,29.61,
RPUOMLOKKHPFFHF76CC,坡道平面,0,33.57,
RPVNMLOKKHPFFEF09CC,坡道平面,0,28.05,
RPQPMLOKKHPFFBF58DC,坡道平面,0,,
RPTPMLOKKHPFFBF88DC,坡道平面,0,37.20,
RPOOMLOKKHPFFDF38CC,坡道平面,0,35.58,
RPWOMLOKKHPFFEF86EC,坡道平面,0,30.10,
RPSOMLPKKHPFFEF98CC,坡道平面,0,30.48,
RPVOMLOKKHPFFEF76EC,坡道平面,0,30.10,
RPSQMLRKKHPFFBF09CC,坡道平面,0,29.70,
RPTOMLRKKHPFFEF66CC,坡道平面,0,30.84,
RPRPMLSKKHPFFEF66CC,坡道平面,0,26.13,
RPQNMLSKKHPFFGF76EC,坡道平面,0,36.97,
RPWOMLSKKHPFFGF27CC,坡道機械,0,36.05,
RPPPMLTKKHPFFAF98EC,坡道平面,0,18.30,
RPXOMLTKKHPFFBF96CC,坡道平面,0,32.42,
RPWNMLTKKHPFFHF37CC,坡道平面,4500,33.75,
RPWNMLTKKHPFFHF37CC,坡道平面,4500,33.07,
RPQNMLTKKHPFFEF09CC,坡道平面,0,30.84,
RPUOMLTKKHPFFEF96CC,坡道平面,0,37.77,
RPUNMLKLKHPFFHF98CC,坡道平面,0,37.71,
RPXNMLKLKHPFFEF98CC,坡道平面,0,34.78,
RPXNMLKLKHPFFEF98CC,坡道平面,0,34.78,
RPTOMLKLKHPFFEF68CC,坡道平面,0,30.10,
RPXPMLKLKHPFFBF88CC,升降平面,0,24.21,
RPPOMLLLKHPFFGF58CC,升降平面,0,23.87,
RPRNMLKLKHPFFDF28CC,坡道平面,0,39.45,
RPRPMLLLKHPFFGF88CC,坡道平面,0,42.50,
RPSNMLLLKHPFFBF28CC,坡道平面,0,29.73,
RPQPMLLLKHPFFIF98CC,坡道平面,0,35.70,
RPROMLLLKHPFFHF88CC,坡道平面,0,31.23,
RPSOMLLLKHPFFHF98CC,坡道平面,0,44.59,
RPSPMLKLKHPFFHF98CC,坡道平面,0,,
RPSPMLKLKHPFFHF98CC,坡道平面,0,,
RPSPMLKLKHPFFHF98CC,坡道平面,0,,
RPSPMLKLKHPFFHF98CC,坡道平面,0,,
RPSPMLKLKHPFFHF98CC,坡道平面,0,,
RPSPMLKLKHPFFHF98CC,坡道平面,0,,
RPSPMLKLKHPFFHF98CC,坡道平面,0,,
RPSPMLKLKHPFFHF98CC,坡道平面,0,,
RPSPMLKLKHPFFHF98CC,坡道平面,0,,
RPSPMLKLKHPFFHF98CC,坡道平面,0,,
RPSPMLKLKHPFFHF98CC,坡道平面,0,,
RPSPMLKLKHPFFHF98CC,坡道平面,0,,
RPSPMLKLKHPFFHF98CC,坡道平面,0,,
RPSPMLKLKHPFFHF98CC,坡道平面,0,,
RPSPMLKLKHPFFHF98CC,坡道平面,0,,
RPSPMLKLKHPFFHF98CC,坡道平面,0,,
RPSPMLKLKHPFFHF98CC,坡道平面,0,,
RPSPMLKLKHPFFHF98CC,坡道平面,0,,
RPSPMLKLKHPFFHF98CC,坡道平面,0,,
RPSPMLKLKHPFFHF98CC,坡道平面,0,,
RPOOMLLLKHPFFEF28CC,坡道平面,0,32.40,
RPSNMLLLKHPFFEF58CC,坡道平面,0,21.04,
RPOPMLLLKHPFFEF38CC,坡道平面,0,,
RPURMLLLKHPFFEF56CC,坡道平面,0,36.29,
RPPNMLNLKHPFFEF48CC,坡道平面,0,30.48,
RPRNMLNLKHPFFEF68CC,坡道平面,0,30.48,
RPQNMLNLKHPFFEF58CC,坡道平面,0,30.48,
RPSNMLNLKHPFFEF78CC,坡道平面,0,30.48,
RPRSMLOLKHPFFBF98CC,坡道機械,0,25.24,
RPVSMLOLKHPFFBF76CC,坡道平面,0,33.06,
RPQQMLOLKHPFFBF68CC,坡道平面,0,,
