編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTRMLLKNHPFFEF66CC,公司田段,.00,都市：住,,,,00240000
RPTQMLLKNHPFFEF56CC,中庄段,.00,都市：住,,,,02660000
RPTOMLLKNHPFFEF98CC,公司田段,18.15,都市：住,,,,02050000
RPWQMLLKNHPFFEF86CC,新興段,14.49,都市：住,,,,05930000
RPWQMLLKNHPFFEF86CC,新興段,.06,都市：住,,,,05980000
RPQNMLLKNHPFFAF38EC,新雅段,.00,都市：住,,,,02660000
RPRPMLLKNHPFFBF58CC,福德段,.00,都市：住,,,,06190000
RPQPMLLKNHPFFIF56CC,大埔段二鬮小段,123.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,01990014
RPRNMLLKNHPFFCF48CC,行政段,14.52,都市：住,,,,08700000
RPVNMLLKNHPFFAF68CC,文化段,.00,都市：住,,,,09780000
RPWNMLLKNHPFFAF78CC,和平段,.00,都市：住,,,,00470000
RPPOMLLKNHPFFCF38CC,復興段,320.42,都市：工,,,,05350000
RPTOMLLKNHPFFCF78CC,竹林段,.00,都市：住,,,,05100000
RPVPMLLKNHPFFAF88CC,樂利段,.00,都市：住,,,,10450000
RPXPMLLKNHPFFAF09CC,文化段,.00,都市：住,,,,20780000
RPUNMLLKNHPFFEF56EC,海天段,8.96,都市：住,,,,05480000
RPTNMLLKNHPFFEF09EC,舊小基隆段四棧橋小段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,00810028
RPTNMLLKNHPFFHF66DC,橋和段,14.65,都市：工,,,,02190000
RPXNMLMKNHPFFAF98CC,大庭段,.00,都市：住,,,,22790000
RPPPMLMKNHPFFAF38CC,中山段,.00,都市：住,,,,13250000
RPQNMLMKNHPFFCF48CC,民安段,22.93,都市：住,,,,12070000
RPUPMLMKNHPFFAF88CC,力行段,.00,都市：住,,,,04080040
RPUNMLLKNHPFFHF76DC,信義段,2.69,都市：商,,,,05040000
RPUNMLLKNHPFFHF76DC,信義段,1.32,都市：住,,,,05070000
RPSNMLMKNHPFFCF68CC,安德段,12.68,都市：住,,,,00210000
RPPPMLLKNHPFFHF98CC,莊敬段,.00,都市：住,,,,04180000
RPPPMLLKNHPFFHF98CC,莊敬段,.00,都市：商,,,,04220000
RPTOMLLKNHPFFHF66CC,福和段,.00,都市：住,,,,01090000
RPXOMLLKNHPFFHF07CC,中正段,.00,都市：商,,,,08480000
RPVOMLLKNHPFFHF86CC,德光段,.00,都市：住,,,,02980000
RPROMLMKNHPFFCF68CC,安德段,.00,都市：住,,,,03820000
RPPRMLMKNHPFFGF76EC,過田段,.00,都市：商,,,,09460000
RPUOMLLKNHPFFHF76CC,新和段,.00,都市：住,,,,06890000
RPOOMLMKNHPFFIF98CC,大學段二小段,9.09,都市：商,,,,00980000
RPTQMLMKNHPFFBF98CC,國宅段,18.12,都市：商,,,,00710000
RPROMLMKNHPFFIF66CC,中華段,16.62,都市：住,,,,02080000
RPQNMLMKNHPFFDF58CC,智興段,.00,都市：住,,,,01510000
RPTPMLMKNHPFFDF09CC,厚德段,.00,都市：住,,,,05640000
RPRSMLMKNHPFFGF86CC,二重段,.00,都市：住,,,,06850000
RPPNMLMKNHPFFDF48CC,智興段,.00,都市：住,,,,01040000
RPOPMLMKNHPFFHF98CC,大智段,.00,都市：住,,,,06450000
RPTNMLMKNHPFFEF98CC,學府段,.00,都市：住,,,,06280000
RPPPMLMKNHPFFHF09CC,國光段,.00,都市：住,,,,03650000
RPPPMLMKNHPFFHF09CC,國光段,.00,都市：住,,,,03650001
RPPPMLMKNHPFFHF09CC,國光段,.00,都市：住,,,,03670000
RPPPMLMKNHPFFHF09CC,國光段,.00,都市：住,,,,03850000
RPRPMLMKNHPFFEF98CC,新興段,13.30,都市：住,,,,09030000
RPSNMLNKNHPFFEF98CC,中興段,20.11,都市：住,,,,02600000
RPPOMLNKNHPFFEF78CC,海天段,3.00,都市：住,,,,02670000
RPWNMLNKNHPFFEF76CC,海鷗段,13.49,都市：住,,,,00150000
RPWNMLNKNHPFFEF76CC,海鷗段,4.08,都市：住,,,,00580000
RPSOMLNKNHPFFEF09CC,新興段,.00,,,,,06470000
RPWNMLNKNHPFFHF07CC,福美段,.00,都市：其他:市場用地,,,,05130000
RPWNMLNKNHPFFHF07CC,福美段,.00,都市：商,,,,05140000
RPWNMLNKNHPFFHF07CC,福美段,.00,都市：住,,,,05140001
RPWNMLNKNHPFFHF07CC,福美段,.00,都市：住,,,,05160000
RPXNMLNKNHPFFHF17CC,新和段,.00,都市：住,,,,05050000
RPSOMLNKNHPFFHF76CC,安邦段,.00,都市：工,,,,00130000
RPROMLNKNHPFFHF66CC,民樂段,16.80,都市：住,,,,07850000
RPQQMLNKNHPFFDF98CC,環河段,.00,都市：工,,,,05760000
RPQQMLNKNHPFFDF98CC,環河段,.00,都市：工,,,,05820000
RPRNMLNKNHPFFBF58CC,芳洲段,.00,都市：商,,,,01410000
RPSNMLNKNHPFFBF68CC,御史段,.00,都市：住,,,,03090000
RPUOMLNKNHPFFBF98CC,五工段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,03000000
RPQPMLNKNHPFFBF68CC,五工段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,02010000
RPVNMLNKNHPFFCF09CC,安和段,.00,都市：住,,,,06610000
RPTOMLNKNHPFFHF86CC,圓通段,.00,都市：住,,,,07070000
RPROMLNKNHPFFAF58CC,民族段,36.40,都市：住,,,,14720000
RPROMLNKNHPFFAF58CC,民族段,6.40,都市：住,,,,14860000
RPSOMLNKNHPFFAF68CC,幸福段,.00,都市：住,,,,07190007
RPVOMLOKNHPFFAF09CC,埔墘段,.00,都市：住,,,,00330149
RPTOMLOKNHPFFAF88CC,港子嘴段,.00,都市：住,,,,01910109
RPXOMLNKNHPFFAF56CC,光仁段,.00,都市：住,,,,16870000
RPOPMLOKNHPFFAF48CC,民權段,.00,都市：住,,,,03880000
RPROMLOKNHPFFCF88CC,中華段,.00,都市：住,,,,03610000
RPTQMLOKNHPFFBF56CC,芳洲段,.00,都市：商,,,,01410000
RPRQMLOKNHPFFBF98CC,副都心段一小段,48.69,都市：商,,,,00120000
RPWQMLOKNHPFFBF86CC,中原段,10.54,都市：商,,,,01950000
RPSPMLOKNHPFFBF98CC,丹鳳段,.00,都市：住,,,,05780000
RPSPMLOKNHPFFBF98CC,丹鳳段,.00,都市：其他:溝渠用地,,,,05780001
RPUQMLOKNHPFFBF66CC,新工段一小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00410000
RPVSMLOKNHPFFBF96CC,復興段,.00,都市：住,,,,05480000
RPXQMLOKNHPFFBF96CC,瓊泰段,43.72,都市：住,,,,04400000
RPXNMLOKNHPFFGF17CC,雙園段,.00,都市：住,,,,07550000
RPRPMLOKNHPFFGF76CC,光興段,.00,都市：商,,,,00430000
RPRPMLOKNHPFFGF76CC,光興段,.00,都市：住,,,,01320000
RPQQMLOKNHPFFGF76CC,民權段,.00,都市：住,,,,09460000
RPRQMLOKNHPFFGF86CC,大安段,.00,都市：住,,,,08920000
RPSQMLOKNHPFFGF96CC,仁愛段,.00,都市：工,,,,24200000
RPSQMLOKNHPFFGF96CC,仁愛段,.00,都市：住,,,,24200001
RPWQMLOKNHPFFGF37CC,重新段壹小段,.00,都市：住,,,,00570012
RPQPMLNKNHPFFEF98CC,公司田段,.00,都市：住,,,,00350000
RPUOMLNKNHPFFEF66CC,新市段,.00,都市：住,,,,00620000
RPTOMLNKNHPFFEF56CC,公司田段,.00,都市：住,,,,02050000
RPVOMLNKNHPFFEF76CC,新市段,.00,,,,,01450001
RPUNMLOKNHPFFDF56CC,智興段,21.00,都市：商,,,,05260000
RPQPMLOKNHPFFHF76CC,廟美段,.00,都市：住,,,,04680000
RPXNMLOKNHPFFHF27CC,員山段,.00,都市：工,,,,01420000
RPTNMLNKNHPFFHF96EC,板南段,.00,都市：工,,,,03180000
RPQPMLOKNHPFFEF09CC,紅毛城段,13.57,都市：住,,,,05330000
RPUNMLPKNHPFFEF76CC,中興段,14.26,都市：住,,,,01630000
RPXPMLOKNHPFFEF17CC,新市段,8.06,都市：住,,,,01410000
RPXRMLOKNHPFFEF37CC,天生段,.00,都市：住,,,,14980000
RPSPMLPKNHPFFEF76CC,新市段,.00,都市：住,,,,01990000
RPOPMLPKNHPFFHF66CC,景華段,.00,都市：住,,,,04020000
RPVPMLPKNHPFFHF37CC,林森段,.00,都市：住,,,,05940000
RPRPMLPKNHPFFHF96CC,永福段,.00,都市：商,,,,07460000
RPWPMLPKNHPFFHF47CC,四維段,.00,都市：住,,,,00520000
RPWPMLPKNHPFFHF47CC,四維段,.00,都市：住,,,,00530000
RPPQMLPKNHPFFEF56CC,公司田段,27.64,都市：住,,,,00050000
RPOQMLPKNHPFFEF09CC,新市段,.00,都市：住,,,,02040000
RPWQMLPKNHPFFEF27CC,公司田段,.24,都市：住,,,,01880000
RPTQMLPKNHPFFEF96CC,淡海段,36.27,都市：住,,,,00850000
RPSQMLPKNHPFFEF86CC,公司田段,13.14,都市：住,,,,02050000
RPOQMLPKNHPFFHF76CC,景華段,.00,都市：商,,,,02770000
RPPQMLPKNHPFFHF86CC,景華段,.00,都市：住,,,,06280000
RPSQMLPKNHPFFHF17CC,民利段,.00,都市：住,,,,10690000
RPSQMLPKNHPFFHF17CC,民利段,.00,都市：住,,,,10690001
RPTPMLPKNHPFFDF76CC,新峰段,25.68,都市：住,,,,05610000
RPWOMLPKNHPFFDF96CC,建成段,.00,都市：住,,,,07690000
RPWOMLPKNHPFFDF96CC,建成段,.00,都市：住,,,,07530000
RPWOMLPKNHPFFDF96CC,建成段,.00,都市：住,,,,08420000
RPWOMLPKNHPFFDF96CC,建成段,.00,都市：住,,,,08740000
RPWOMLPKNHPFFDF96CC,建成段,.00,都市：住,,,,09360000
