編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLOKQHPFFAI66EA,2,237.83,停車空間、店鋪、住宅,鋼筋混凝土構造,108年1月30日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPUNMLMKQHPFFAI66EA,26,41.77,共有部份,鋼筋混凝土造,83年5月25日,十二層,,持分移轉
RPUNMLMKQHPFFAI66EA,26,140.23,住家用,鋼筋混凝土造,83年5月25日,十二層,七層 陽台,全筆移轉
RPQOMLNKQHPFFAI09EA,25,23.37,住家用,鋼筋混凝土造,84年10月4日,十一層,九層,全筆移轉
RPQOMLNKQHPFFAI09EA,25,4.55,共有部份,鋼筋混凝土造,84年10月4日,十一層,,持分移轉
RPQOMLNKQHPFFAI09EA,25,3.34,共有部份,鋼筋混凝土造,84年10月4日,十一層,,持分移轉
RPVNMLNKQHPFFAI76DA,28,53.61,住家用,鋼筋混凝土造,81年8月28日,十層,一層 平台,全筆移轉
RPTOMLNKQHPFFAI66DA,4,87.12,集合住宅,鋼筋混凝土構造,105年5月10日,十四層,十三層 陽台 雨遮,全筆移轉
RPVNMLNKQHPFFAI76DA,28,7.44,共有部份,鋼筋混凝土造,81年8月28日,十層,,持分移轉
RPTOMLNKQHPFFAI66DA,4,44.53,本共有部分之項目有停車空間、消防機房、排風機房、排煙室、機房、電錶室、樓梯間、防空避難室兼停車空間、水箱、台電受電室、緊急發電機房、電信室、外廊管委會使用空間、門廳等１４項,鋼筋混凝土構造,105年5月10日,十四層,,持分移轉
RPTOMLNKQHPFFAI66DA,4,21.69,本共有部份之項目計有：梯廳兼排煙室、樓梯間、水箱、水錶室、電梯機房等五項。,鋼筋混凝土構造,105年5月10日,十四層,,持分移轉
RPXNMLNKQHPFFAI96DA,27,9.41,共有部份,鋼筋混凝土造,82年3月17日,八層,,持分移轉
RPXNMLNKQHPFFAI96DA,27,22.26,住家用,鋼筋混凝土造,82年3月17日,八層,八層 陽台,全筆移轉
RPUNMLSKQHPFFAI27EA,7,315.55,住家用,鋼筋混凝土構造,103年1月22日,五層,一層 二層 三層 四層 五層 陽台,全筆移轉
RPOOMLRKQHPFFAI66EA,28,23.71,住家用,鋼筋混凝土造,82年1月11日,七層,七層 陽台,全筆移轉
