編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPROMLMKNHPFFDJ56CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510041
RPVNMLLKNHPFFBJ56CC,公園段,36.35,都市：住,,,,01490000
RPQOMLMKNHPFFDJ09CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510041
RPWOMLOKNHPFFDJ27CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510008
RPWNMLNKNHPFFBJ86CC,仁安段,124.96,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,05210000
RPWNMLNKNHPFFBJ86CC,仁安段,409.75,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,05220000
RPWNMLNKNHPFFBJ86CC,仁安段,105.35,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,05230000
RPWNMLNKNHPFFBJ86CC,仁安段,1041.12,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,05240000
RPXOMLOKNHPFFDJ37CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510037
RPTPMLPKNHPFFBJ96CC,翰林段,.00,都市：住,,,,03470000
RPPOMLTKNHPFFBJ86CC,家興段,.00,都市：商,,,,02790000
RPTOMLTKNHPFFBJ27CC,縣華段,143.50,都市：住,,,,04050000
RPTOMLLLNHPFFBJ56CC,大學段,.00,都市：住,,,,02190000
RPUOMLLLNHPFFBJ66CC,公園段,.00,都市：住,,,,01740000
RPWOMLLLNHPFFBJ86CC,大學段,.00,都市：住,,,,00200000
RPPNMLLLNHPFFDJ88CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510008
RPVOMLLLNHPFFBJ76CC,隘興段,.00,都市：住,,,,04080000
RPOOMLLLNHPFFDJ88CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510037
RPWNMLLLNHPFFDJ96CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510037
RPUOMLPLNHPFFDJ27CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510037
RPVOMLPLNHPFFDJ37CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510037
RPSNMLPLNHPFFBJ76CC,大學段,.00,都市：住,,,,02210000
RPXOMLLJOHPFFBJ86CC,大學段,.00,都市：住,,,,00310000
RPWOMLNJOHPFFBJ96CC,永興段,.00,都市：住,,,,04500000
RPPPMLTLNHPFFBJ07CC,大學段,.00,都市：住,,,,05080000
RPUNMLSJOHPFFBJ17CC,台元段,.00,都市：工,,,,06350000
RPQPMLNJOHPFFBJ56DC,隘興段,1193.22,都市：住,,,,04200000
