鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
東港鎮,建物,屏東縣東港鎮光復路三段１２８號１６樓,0.0,住,,,1090511,土地0建物1車位0,十六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850304,200.05,5,2,2,有,有,有,11500,57,,0.0,0,屏東縣政府包租代管計畫,RPOOMLMKNHPFFDT27CC
屏東市,建物,屏東縣屏東市民和二路４８之３號４樓,0.0,住,,,1090514,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0960530,16.3,1,0,1,有,有,有,4000,245,,0.0,0,,RPSPMLOKNHPFFAT67CC
屏東市,建物,屏東縣屏東市田中巷２０號５樓之１,0.0,住,,,1090515,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841125,45.86,2,1,1,有,有,有,6500,142,,0.0,0,,RPXNMLPKNHPFFAT08CC
屏東市,建物,屏東縣屏東市和生路二段３８２號３樓,0.0,住,,,1090520,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0870917,139.51,3,2,2,有,有,有,13000,93,,0.0,0,屏東縣政府包租代管計畫,RPUOMLKLNHPFFAT47CC
林邊鄉,房地(土地+建物),屏東縣林邊鄉中山路８８號,62.85,商,,,1090421,土地1建物1車位0,全,3,透天厝,店鋪、住宅,鋼筋混凝土造,0660411,140.77,0,0,0,無,無,無,19000,135,,0.0,0,,RPVNMLKLNHPFFDT77CC
屏東市,建物,屏東縣屏東市大連路２４之６號,0.0,住,,,1090520,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0690519,54.0,5,2,2,有,無,無,8000,148,,0.0,0,,RPTNMLLLNHPFFAT37CC
屏東市,建物,屏東縣屏東市華盛街３９之１號,0.0,住,,,1090527,土地0建物1車位0,一層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0930909,174.8,1,1,1,有,有,無,19000,109,,0.0,0,,RPXNMLSLNHPFFAT48CC
潮州鎮,房地(土地+建物),屏東縣潮州鎮延平路１８２號,172.11,住,,,1090615,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土造,0620302,175.32,3,2,3,有,無,無,20000,114,,0.0,0,,RPXOMLQKOHPFFCT58CC
潮州鎮,房地(土地+建物),屏東縣潮州鎮中山路８７.８９號,173.22,商,,,1090611,土地1建物2車位0,一層,3,店面(店鋪),見其他登記事項,見其他登記事項,0590121,173.22,0,0,0,無,無,無,55000,318,,0.0,0,,RPXOMLKLOHPFFCT08CC
