編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPOPMLKKQHPFFAU17DA,26,19.33,住家用,鋼筋混凝土造,83年11月15日,十二層,九層,全筆移轉
RPOPMLKKQHPFFAU17DA,26,5.94,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPOPMLKKQHPFFAU17DA,26,3.18,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPTNMLLKQHPFFAU57DA,26,24.21,住家用,鋼筋混凝土造,83年11月15日,十二層,八層 花台,全筆移轉
RPTNMLLKQHPFFAU57DA,26,5.84,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPTNMLLKQHPFFAU57DA,26,6.54,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPPPMLKKQHPFFAU27DA,26,23.21,住家用,鋼筋混凝土造,83年11月15日,十二層,九層 陽台,全筆移轉
RPPPMLKKQHPFFAU27DA,26,7.05,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPPPMLKKQHPFFAU27DA,26,3.78,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPTPMLKKQHPFFAU67DA,39,104.06,住家用,鋼筋混凝土造,70年12月31日,五層,三層,全筆移轉
RPTPMLKKQHPFFAU67DA,39,658.04,共有部份,鋼筋混凝土造,70年12月31日,五層,,全筆移轉
RPSPMLLKQHPFFAU67DA,8,316.07,住家用,鋼筋混凝土造,101年11月28日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPWNMLNKQHPFFAU08DA,40,3.25,共有部份,鋼筋混凝土造,69年11月3日,五層,,持分移轉
RPWNMLNKQHPFFAU08DA,40,27.68,住家用,鋼筋混凝土造,69年11月3日,五層,五層,全筆移轉
