編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWPMLQLQHPFFBJ77CC,坡道平面,0,,
RPXPMLQLQHPFFBJ87CC,坡道平面,0,,
RPXPMLQLQHPFFBJ87CC,坡道平面,0,,
RPOQMLQLQHPFFBJ07CC,坡道平面,0,,
RPPQMLQLQHPFFBJ17CC,坡道平面,0,,
RPRPMLNJRHPFFBJ86CC,坡道平面,0,32.73,
RPRPMLNJRHPFFBJ86CC,坡道平面,0,32.73,
RPRPMLNJRHPFFBJ86CC,坡道平面,0,,
RPUPMLNJRHPFFBJ17CC,坡道平面,0,,
RPTNMLOJRHPFFBJ96CC,坡道平面,0,34.02,地下三樓
RPTNMLOJRHPFFBJ96CC,坡道平面,0,34.02,地下三樓
RPUNMLOJRHPFFBJ07CC,坡道機械,0,18.82,
RPVNMLOJRHPFFBJ17CC,坡道平面,0,,
RPROMLOJRHPFFBJ86CC,坡道平面,0,,
RPROMLOJRHPFFBJ86CC,坡道平面,0,,
RPROMLSJRHPFFBJ27CC,坡道平面,0,,
RPUNMLTJRHPFFBJ57CC,坡道平面,0,32.73,
RPXNMLSKRHPFFBJ87CC,坡道平面,0,,
RPWOMLPLRHPFFBJ67CC,坡道平面,0,,
RPXOMLPLRHPFFBJ77CC,坡道平面,0,,
RPOPMLPLRHPFFBJ96CC,坡道平面,0,,
RPPPMLPLRHPFFBJ07CC,坡道平面,0,,
RPXPMLPLRHPFFBJ87CC,坡道平面,0,39.43,
RPVOMLSLRHPFFBJ87CC,坡道平面,0,,
RPVOMLSLRHPFFBJ87CC,坡道平面,0,,
RPWOMLSLRHPFFBJ97CC,坡道平面,0,,
RPWOMLSLRHPFFBJ97CC,坡道平面,0,,
RPOPMLSLRHPFFBJ27CC,坡道機械,0,,
RPVNMLLKQHPFFBJ86CC,坡道平面,0,,地下二樓
RPPQMLPLQHPFFBJ07CC,坡道平面,0,,
RPVPMLQLQHPFFBJ67CC,坡道平面,0,,
RPQNMLMLQHPFFBJ56CC,坡道平面,0,,
RPPNMLMJIIPFFBJ18CC,坡道平面,0,,
RPVPMLRJIIPFFBJ86CC,坡道平面,0,,
RPVPMLRJIIPFFBJ86CC,坡道平面,0,,
RPQPMLRJIIPFFBJ98CC,坡道機械,0,18.82,
RPTPMLRJIIPFFBJ66CC,坡道平面,0,,
RPXPMLRJIIPFFBJ07CC,坡道平面,0,,
RPRQMLNKIIPFFBJ88CC,坡道機械,0,,
RPWNMLPKIIPFFBJ66CC,坡道平面,0,32.73,
RPVNMLNLIIPFFBJ56DC,坡道平面,0,,
RPVNMLNLIIPFFBJ56DC,坡道平面,0,,
RPPNMLPLIIPFFDJ98DC,坡道平面,0,,
RPOOMLQLIIPFFDJ09DC,坡道平面,0,,
RPXPMLKLIIPFFBJ56CC,坡道機械,0,,
RPQOMLMLIIPFFBJ58CC,坡道平面,0,,
RPXNMLNLIIPFFBJ66CC,坡道平面,0,38.66,
RPUQMLPKIIPFFBJ76CC,坡道平面,0,15.80,
RPVNMLRLIIPFFBJ86CC,一樓平面,0,,
RPVNMLRLIIPFFBJ86CC,一樓平面,0,,
RPOPMLPKIIPFFBJ68CC,坡道平面,0,28.33,
RPWPMLSLIIPFFBJ27CC,坡道平面,0,26.97,
RPVNMLSLIIPFFDJ27DC,升降機械,0,21.01,
RPUNMLSLIIPFFDJ17DC,升降機械,0,21.01,
RPWSMLMJJIPFFBJ86CC,坡道平面,0,,
RPQPMLNJJIPFFBJ68CC,坡道平面,0,,
RPVPMLNJJIPFFBJ56CC,坡道平面,0,,
RPVPMLNJJIPFFBJ56CC,坡道平面,0,,
RPWPMLNJJIPFFBJ66CC,坡道平面,0,,
RPPQMLNJJIPFFBJ68CC,坡道機械,0,,
RPXPMLNJJIPFFBJ76CC,坡道平面,0,,
RPQQMLNJJIPFFBJ78CC,坡道平面,0,,
RPRQMLNJJIPFFBJ88CC,坡道平面,0,,
RPQSMLQJJIPFFBJ66CC,坡道平面,0,25.02,
RPQSMLQJJIPFFBJ66CC,坡道平面,0,25.02,
RPQSMLQJJIPFFBJ66CC,坡道平面,0,25.02,
