編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWNMLMKQHPFFAO47CC,12,28.04,辦公室,鋼筋混凝土造,97年7月30日,十層,,
RPWNMLMKQHPFFAO47CC,12,16.72,防空避難室、停車空間、水箱、梯間、機械室,鋼筋混凝土造,97年7月30日,十層,,
RPTOMLTKQHPFFAO18EC,10,319.80,停車空間、店鋪、住宅,鋼筋混凝土造,99年8月20日,四層,,
RPQOMLTKQHPFFAO87EC,10,319.80,停車空間、店鋪、住宅,鋼筋混凝土造,99年8月20日,四層,,
RPOOMLNKQHPFFAO86CC,38,86.13,住家用,鋼筋混凝土造,71年8月19日,五層,,
RPROMLTKQHPFFAO97EC,10,319.80,停車空間、店鋪、住宅,鋼筋混凝土造,99年8月20日,四層,,
RPQUNLKLQHPFFAO57CC,27,93.21,住家用,鋼筋混凝土造,82年8月7日,七層,,
RPQUNLKLQHPFFAO57CC,27,13.14,共有部分,鋼筋混凝土造,82年8月7日,七層,,
RPQUNLKLQHPFFAO57CC,27,47.65,共有部分,鋼筋混凝土造,82年8月7日,七層,,
RPPQMLOKQHPFFAO27CC,38,19.60,住家用,鋼筋混凝土造,71年6月18日,五層,,
RPWPMLRLQHPFFAO28CC,14,92.88,住家用,鋼筋混凝土造,95年12月20日,七層,,
RPWPMLRLQHPFFAO28CC,14,1.19,社區管理中心,鋼筋混凝土造,95年12月20日,四層,,
RPWPMLRLQHPFFAO28CC,14,23.80,共有部分,鋼筋混凝土造,95年12月20日,七層,,
RPWPMLRLQHPFFAO28CC,14,11.29,共有部分,鋼筋混凝土造,95年12月20日,七層,,
RPQPMLQLQHPFFAO57CC,22,137.87,住家用,鋼筋混凝土造,87年7月18日,二十二層,,
RPQPMLQLQHPFFAO57CC,22,39.57,防空避難室、停車空間,鋼筋混凝土造,87年7月18日,二十二層,,
RPQPMLQLQHPFFAO57CC,22,40.38,停車空間,鋼筋混凝土造,87年7月18日,二十二層,,
RPQNOLKLQHPFFAO96CC,24,107.65,飲食店,鋼筋混凝土造,85年11月14日,二十一層,,
RPTNMLLMQHPFFAO27CC,40,93.14,住家用,鋼筋混凝土造,69年5月15日,五層,,
RPQNOLKLQHPFFAO96CC,24,.68,共有部分,鋼筋混凝土造,85年11月14日,二十一層,,
RPTNMLLMQHPFFAO27CC,40,12.58,共有部分,鋼筋混凝土造,69年5月15日,五層,,
RPOSMLRLQHPFFAO77CC,24,48.05,住家用,鋼筋混凝土造,86年2月5日,十四層,,
RPOSMLRLQHPFFAO77CC,24,20.40,共有部分,鋼筋混凝土造,86年2月5日,十四層,,
RPOSMLRLQHPFFAO77CC,24,12.38,共有部分,鋼筋混凝土造,86年2月5日,十四層,,
RPQNOLKLQHPFFAO96CC,24,1.59,共有部分,鋼筋混凝土造,85年11月14日,二十一層,,
RPOSMLRLQHPFFAO77CC,24,.08,住家用,鋼筋混凝土造,86年2月5日,十四層,,
RPQNOLKLQHPFFAO96CC,24,.75,商業用,鋼筋混凝土造,85年11月14日,二十一層,,
RPQNOLKLQHPFFAO96CC,24,.16,共有部分,鋼筋混凝土造,85年11月14日,二十一層,,
RPQNOLKLQHPFFAO96CC,24,30.43,共有部分,鋼筋混凝土造,85年11月14日,二十一層,,
RPQNOLKLQHPFFAO96CC,24,.76,共有部分,鋼筋混凝土造,85年11月14日,二十一層,,
RPXOMLLMQHPFFAO77CC,,74.71,國民住宅,加強磚造,,四層,,
RPQNOLKLQHPFFAO96CC,24,7.61,共有部分,鋼筋混凝土造,85年11月14日,二十一層,,
RPPPMLLMQHPFFAO07CC,,107.44,商業用,鋼筋混凝土造,,十二層,,
RPPPMLLMQHPFFAO07CC,,14.04,共有部分,鋼筋混凝土造,,十二層,,
RPPPMLLMQHPFFAO07CC,,23.95,共有部分,鋼筋混凝土造,,十二層,,
