鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
斗六市,房地(土地+建物),雲林縣斗六市民生路１８５-４號,87.0,住,,,1090824,土地2建物1車位0,全,,透天厝,,,,116.55,0,0,0,無,無,無,30000,257,,0.0,0,,RPQNMLQLQHPFFAP47CC
斗六市,建物,雲林縣斗六市西平路８０號,323.07,商,,,1090830,土地0建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830918,34.15,3,1,1,有,有,有,8500,249,,0.0,0,,RPRNMLLJRHPFFAP96CC
斗六市,土地,斗六段272-7地號,68.0,商,,,1090811,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,7000,103,,0.0,0,,RPSNMLLJRHPFFAP07CC
虎尾鎮,土地,平和厝段139-27地號,500.0,農,,,1090826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,30000,60,,0.0,0,,RPQNMLLJRHPFFDP17CC
斗六市,土地,斗六段272-7地號,68.0,商,,,1090811,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,7000,103,,0.0,0,,RPTNMLNJRHPFFAP37CC
斗六市,房地(土地+建物),雲林縣斗六市西平路８０號５樓之６,323.07,商,,,1090902,土地1建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830918,34.15,3,1,1,有,無,有,12000,351,,0.0,0,,RPUNMLNJRHPFFAP47CC
斗六市,建物,雲林縣斗六市成功路９１５號,132.0,,特定農業區,甲種建築用地,1090911,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0870601,203.43,4,2,3,有,無,無,10000,49,,0.0,0,,RPVNMLOKRHPFFAP77CC
土庫鎮,房地(土地+建物),雲林縣土庫鎮仁和街６８巷４號,65.0,住,,,1090914,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0691210,89.53,7,2,3,有,無,有,8500,95,,0.0,0,,RPQNMLPKRHPFFDP67CC
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮惠來里惠來２００-２４號,58.97,,特定農業區,甲種建築用地,1090922,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0670826,74.51,3,1,2,有,無,有,8000,107,,0.0,0,,RPSNMLOLRHPFFDP87CC
斗南鎮,房地(土地+建物),雲林縣斗南鎮中山路１９７巷１９-１號,82.0,住,,,1090901,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0831125,240.24,5,3,5,有,無,有,15000,62,,0.0,0,,RPOOMLOLRHPFFBP37CC
斗南鎮,房地(土地+建物),雲林縣斗南鎮建國二路２８０號,77.0,住,,,1090910,土地1建物1車位0,全,4,透天厝,店舖、住宅、停車空間、水塔、騎樓,鋼筋混凝土造,1070601,236.93,4,3,4,有,無,有,23000,97,,0.0,0,,RPPOMLOLRHPFFBP47CC
斗六市,建物,雲林縣斗六市公正街３９號９樓９,1501.98,商,,,1090912,土地0建物0車位0,九層,9,套房(1房1廳1衛),住家用,鋼筋混凝土造,0871030,20.47,1,0,1,有,無,有,5000,244,,0.0,0,,RPRNMLOLRHPFFAP47CC
斗六市,土地,雲林溪段113地號,782.39,住,,,1090922,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,10000,13,,0.0,0,,RPSOMLKMRHPFFAP37CC
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮林森路二段４３６巷６-９號,132.42,住,,,1090924,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,1000607,214.36,5,2,5,有,無,有,26000,121,,0.0,0,,RPTNMLQKIIPFFDP27CC
