編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLNKJIIGFAB37CC,29,18.98,住家用,鋼筋混凝土造,84年1月13日,十九層,,
RPUNMLNKJIIGFAB47CC,8,111.39,集合住宅,鋼筋混凝土造,104年12月15日,十一層,,
RPVNMLNKJIIGFAB57CC,29,23.15,住家用,鋼筋混凝土造,84年1月13日,十九層,,
RPTNMLNKJIIGFAB37CC,29,2.93,共有部份,鋼筋混凝土造,84年1月13日,十九層,,
RPRNMLNKJIIGFAB17CC,25,83.76,集合住宅,鋼筋混凝土造,88年3月17日,十四層,,
RPVNMLNKJIIGFAB57CC,29,3.81,共用部份,鋼筋混凝土造,84年1月13日,十九層,,
RPTNMLNKJIIGFAB37CC,29,7.19,梯間．水箱．機械室,鋼筋混凝土造,84年1月13日,十九層,,
RPRNMLNKJIIGFAB17CC,25,24.48,共用部份,鋼筋混凝土造,88年3月17日,十四層,,
RPUNMLNKJIIGFAB47CC,8,89.52,本共有部份係依使用執照之建築概要表記載項目有：停車空間、行動不便者電梯、梯廳、梯間、機房、水箱、消防暨發電機房、防空避難室兼停車空間、台電配電室、門廳、管委會使用空間、資源回收室共十二項。,鋼筋混凝土造,104年12月15日,十一層,,
RPSNMLNKJIIGFAB27CC,1,133.19,店舖,鋼筋混凝土造,111年5月18日,十五層,,
RPVNMLNKJIIGFAB57CC,29,8.34,梯間．水箱．機械室,鋼筋混凝土造,84年1月13日,十九層,,
RPQNMLNKJIIGFAB07CC,28,18.72,集合住宅,鋼筋混凝土造,84年5月10日,十三層,,
RPQNMLNKJIIGFAB07CC,28,9.08,梯間．人行道．防空避難室．停車空間．機械室．水塔,鋼筋混凝土造,84年5月10日,十三層,,
RPSOMLNKJIIGFAB37CC,27,19.54,集合住宅,鋼筋混凝土造,85年10月16日,十二層,,
RPSOMLNKJIIGFAB37CC,27,9.52,本共有部分之項目有人行道、門廳、梯間、走道、機械室、水箱、停車空間、防空避難室、花台、平台等１０項。,鋼筋混凝土造,85年10月16日,十二層,,
RPTOMLNKJIIGFAB47CC,46,74.57,住家用,鋼筋混凝土造,66年9月21日,四層,,
RPWOMLNKJIIGFAB77CC,36,110.85,住家用,鋼筋混凝土造,76年11月10日,五層,,
RPWOMLNKJIIGFAB77CC,36,12.18,共用部份,鋼筋混凝土造,76年11月10日,五層,,
RPUOMLNKJIIGFAB57CC,40,54.61,住家用,鋼筋混凝土造,72年8月19日,十五層,,
RPUOMLNKJIIGFAB57CC,40,26.48,共用部份,鋼筋混凝土造,72年8月19日,十五層,,
RPVOMLNKJIIGFAB67CC,27,23.67,集合住宅,鋼骨鋼筋混凝土造,85年5月20日,十九層,,
RPVOMLNKJIIGFAB67CC,27,4.39,共同使用,鋼骨鋼筋混凝土造,85年5月20日,十九層,,
RPVOMLNKJIIGFAB67CC,27,6.02,共同使用,鋼骨鋼筋混凝土造,85年5月20日,十九層,,
RPPPMLNKJIIGFAB17CC,32,29.16,集合住宅,鋼筋混凝土造,80年11月18日,十二層,,
RPPPMLNKJIIGFAB17CC,32,5.91,共用部份,鋼筋混凝土造,80年11月18日,十二層,,
RPQPMLNKJIIGFAB27CC,18,45.64,集合住宅,鋼筋混凝土造,94年12月19日,九層,,
RPQPMLNKJIIGFAB27CC,18,15.05,共用部分,鋼筋混凝土造,94年12月19日,十二層,,
RPQPMLNKJIIGFAB27CC,18,10.92,共用部分,鋼筋混凝土造,94年12月19日,九層,,
RPXOMLNKJIIGFAB87CC,25,77.99,住家用,鋼筋混凝土造,87年5月28日,十四層,,
RPXOMLNKJIIGFAB87CC,25,10.45,共用部份,鋼筋混凝土造,87年5月28日,十四層,,
RPXOMLNKJIIGFAB87CC,25,14.43,共用部份,鋼筋混凝土造,87年5月28日,十四層,,
RPOPMLNKJIIGFAB07CC,27,31.26,集合住宅,鋼筋混凝土造,85年8月29日,十四層,,
RPOPMLNKJIIGFAB07CC,27,8.10,共同使用,鋼筋混凝土造,85年8月29日,十四層,,
RPOPMLNKJIIGFAB07CC,27,8.56,共同使用,鋼筋混凝土造,85年8月29日,十四層,,
RPPNMLLKJIIGFBB86CC,28,24.41,住家用,鋼筋混凝土造,84年11月24日,二十四層,,
RPRNMLNKJIIGFBB27CC,28,75.68,住家用,鋼筋混凝土造,84年9月13日,二十二層,,
RPQNMLNKJIIGFBB17CC,10,42.49,住家用,鋼筋混凝土造,102年7月25日,二十二層,,
RPPNMLLKJIIGFBB86CC,28,18.15,防空避難室，停車空間，門廳，樓梯間，機械室，水箱,鋼筋混凝土造,84年11月24日,二十四層,,
RPRNMLNKJIIGFBB27CC,28,8.11,共有部份,鋼筋混凝土造,84年9月13日,二十二層,,
RPQNMLNKJIIGFBB17CC,10,11.38,本共有部分係依使用執照之建築概要表記載項目有：管委會使用公共設施，垃圾處理室，梯間，梯廳，梯間（排煙室，昇降機間）梯間（梯廳，排煙室，昇降機間），走廊，中繼機械室（中繼水箱），機械室，水箱等１０項,鋼筋混凝土造,102年7月25日,二十二層,,
RPRNMLNKJIIGFBB27CC,28,32.72,共有部份,鋼筋混凝土造,84年9月13日,二十二層,,
RPQNMLNKJIIGFBB17CC,10,9.08,本共有部分係依使用執照之建築概要表記載項目有：停車空間，車道，污水機房，清水池，消防機房，機房，梯間（梯廳，排煙室，昇降機間），防空避難室兼停車空間，發電機室，電信室，台電配電室，防災中心，公共設施等１３項,鋼筋混凝土造,102年7月25日,二十二層,,
RPUNMLNKJIIGFBB57CC,2,65.89,集合住宅,鋼筋混凝土造,111年4月25日,十五層,,
RPUNMLNKJIIGFBB57CC,2,57.97,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間、排煙室、樓梯間、昇降機間、消防機房、雨水機房、車道、水箱、停車空間、機械室、台電配電室、電信室、發電機房、門廳、走廊、頂蓋型開放空間、公共服務空間、資源回收中心、梯廳、梯間、水錶箱室、電梯機房等２２項。,鋼筋混凝土造,111年4月25日,十五層,,
RPPNMLNKJIIGFBB07CC,10,62.26,住家用,鋼筋混凝土造,102年7月25日,二十二層,,
RPPNMLMKJIIGFBB96CC,52,43.47,住家用,鋼筋混凝土加強磚造,60年7月23日,一層,,
RPPNMLNKJIIGFBB07CC,10,16.71,本共有部分係依使用執照之建築概要表記載項目有：管委會使用公共設施，垃圾處理室，梯間，梯廳，梯間（排煙室，昇降機間）梯間（梯廳，排煙室，昇降機間），走廊，中繼機械室（中繼水箱），機械室，水箱等１０項,鋼筋混凝土造,102年7月25日,二十二層,,
RPWNMLNKJIIGFBB77CC,31,25.42,住家用,鋼筋混凝土造,81年5月29日,十四層,,
RPPNMLNKJIIGFBB07CC,10,13.35,本共有部分係依使用執照之建築概要表記載項目有：停車空間，車道，污水機房，清水池，消防機房，機房，梯間（梯廳，排煙室，昇降機間），防空避難室兼停車空間，發電機室，電信室，台電配電室，防災中心，公共設施等１３項,鋼筋混凝土造,102年7月25日,二十二層,,
RPWNMLNKJIIGFBB77CC,31,6.72,共有部份,鋼筋混凝土造,81年5月29日,十四層,,
RPXNMLNKJIIGFBB87CC,28,21.25,住家用,鋼筋混凝土造,84年11月24日,二十四層,,
RPXNMLNKJIIGFBB87CC,28,12.97,防空避難室，停車空間，門廳，樓梯間，機械室，水箱,鋼筋混凝土造,84年11月24日,二十四層,,
RPROMLNKJIIGFBB37CC,45,85.64,住家用,鋼筋混凝土造,68年3月3日,五層,,
RPVOMLNKJIIGFBB77CC,47,269.50,商業用,鋼筋混凝土造,65年12月8日,四層,,
RPPOMLNKJIIGFBB17CC,28,87.18,住家用,鋼筋混凝土造,84年12月29日,十一層,,
RPPOMLNKJIIGFBB17CC,28,.00,共有部份,鋼筋混凝土造,84年12月29日,十一層,,
RPPOMLNKJIIGFBB17CC,28,.00,共有部份,鋼筋混凝土造,84年12月29日,十一層,,
RPPOMLNKJIIGFBB17CC,28,.00,共有部份,鋼筋混凝土造,84年12月29日,十一層,,
RPPOMLNKJIIGFBB17CC,28,.00,共有部份,鋼筋混凝土造,84年12月29日,十一層,,
RPPOMLNKJIIGFBB17CC,28,.00,共有部份,鋼筋混凝土造,84年12月29日,十一層,,
RPPOMLNKJIIGFBB17CC,28,.00,共有部份,鋼筋混凝土造,84年12月29日,十一層,,
RPPOMLNKJIIGFBB17CC,28,.00,共有部份,鋼筋混凝土造,84年12月29日,十一層,,
RPPOMLNKJIIGFBB17CC,28,.00,共有部份,鋼筋混凝土造,84年12月29日,十一層,,
RPPOMLNKJIIGFBB17CC,28,8.77,共有部份,鋼筋混凝土造,84年12月29日,十一層,,
RPPOMLNKJIIGFBB17CC,28,.00,共有部份,鋼筋混凝土造,84年12月29日,十一層,,
RPOOMLNKJIIGFBB07CC,9,81.94,住家用,鋼筋混凝土造,103年10月22日,十二層,,
RPPOMLNKJIIGFBB17CC,28,.00,共有部份,鋼筋混凝土造,84年12月29日,十一層,,
RPOOMLNKJIIGFBB07CC,9,44.18,本共有部分係依使用執照之建築概要表記載項目有：停車空間，樓梯間，昇降機間，消防機房，污水機房，水箱，梯廳，防空避難室兼停車空間，台電配電室，緊急發電機室，垃圾集中室，電信室，公共服務空間，車道，門廳，頂蓋型開放空間，機車停車區，外廊等１８項。,鋼筋混凝土造,103年10月22日,十二層,,
RPPOMLNKJIIGFBB17CC,28,11.34,共有部份,鋼筋混凝土造,84年12月29日,十一層,,
RPSOMLNKJIIGFBB47CC,24,85.11,集合住宅,鋼筋混凝土造,89年3月2日,十四層,,
RPOOMLNKJIIGFBB07CC,9,16.68,本共有部分係依使用執照之建築概要表記載項目有，昇降機間，梯廳，水箱，電梯機房，樓梯間，梯間等６項,鋼筋混凝土造,103年10月22日,十二層,,
RPSOMLNKJIIGFBB47CC,24,10.31,共有部份,鋼筋混凝土造,89年3月2日,十四層,,
RPSOMLNKJIIGFBB47CC,24,25.73,共有部份,鋼筋混凝土造,89年3月2日,十四層,,
RPUOMLNKJIIGFBB67CC,42,82.15,住家用,鋼筋混凝土造,70年12月30日,五層,,
RPXOMLNKJIIGFBB97CC,34,88.54,住家用,鋼筋混凝土造,79年4月12日,五層,,
RPXOMLNKJIIGFBB97CC,34,27.26,共有部份,鋼筋混凝土造,79年4月12日,五層,,
RPOPMLNKJIIGFBB17CC,33,22.24,住家用,鋼筋混凝土造,79年8月8日,七層,,
RPOPMLNKJIIGFBB17CC,33,11.50,共用部份,鋼筋混凝土造,79年8月8日,七層,,
RPPPMLNKJIIGFBB27CC,18,15.94,共用部份,鋼筋混凝土造,94年12月8日,十八層,,
RPRPMLNKJIIGFBB47CC,29,49.62,住家用,鋼筋混凝土造,83年10月11日,五層,,
RPRPMLNKJIIGFBB47CC,29,3.12,共用部份,鋼筋混凝土造,83年10月11日,五層,,
RPQPMLNKJIIGFBB37CC,18,64.97,住家用,鋼筋混凝土造,94年12月8日,十八層,,
RPQPMLNKJIIGFBB37CC,18,26.04,共用部份,鋼筋混凝土造,94年12月8日,十八層,,
RPTOMLNKJIIGFBB57CC,27,22.24,住家用,鋼筋混凝土造,85年8月19日,十二層,,
RPTOMLNKJIIGFBB57CC,27,12.71,共有部份,鋼筋混凝土造,85年8月19日,十二層,,
RPWOMLNKJIIGFBB87CC,38,139.84,住家用,鋼筋混凝土造,74年12月24日,十二層,,
RPWOMLNKJIIGFBB87CC,38,28.55,避難室、人行道、梯間,鋼筋混凝土造,74年12月24日,十二層,,
RPPNMLNKJIIGFAB96CC,40,83.59,住家用,鋼筋混凝土造,72年6月23日,五層,,
RPROMLNKJIIGFAB27CC,27,23.67,集合住宅,鋼骨鋼筋混凝土造,85年5月20日,十九層,,
