編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPKJIIGFBK08CB,勝利段,25.15,都市：住,10000,381,持分移轉,12060000
RPPNMLNKJIIGFFK28CB,正興段,48.03,都市：住,100000,5425,持分移轉,08330000
RPTNMLRKJIIGFFK09CB,東庄段,18.80,都市：住,100000,3412,持分移轉,04890000
RPPNMLTKJIIGFDK68CB,大同段,14.18,都市：商,100000,696,持分移轉,06770002
RPSNMLTKJIIGFDK98CB,大同段,14.18,都市：商,100000,696,持分移轉,06770002
RPQNMLRKJIIGFFK78CB,雙喜段,14.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,608,持分移轉,09150000
RPRNMLRKJIIGFFK88CB,雙喜段,14.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,608,持分移轉,09150000
RPVNMLTKJIIGFDK66CB,大同段,14.18,都市：商,100000,696,持分移轉,06770002
RPSNMLNKJIIGFFK58CB,公園段,15.57,都市：商,1000000,5294,持分移轉,00270000
RPQNMLOKJIIGFFK48CB,正興段,28.35,都市：住,100000,2364,持分移轉,13560000
RPXNMLTKJIIGFDK86CB,大同段,14.18,都市：商,100000,696,持分移轉,06770002
RPPNMLKLJIIGFCK87DB,泰田段,66.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02270010
RPPNMLKLJIIGFCK87DB,泰田段,18.37,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,629,持分移轉,02270007
RPSNMLKLJIIGFCK18DB,苑東段,34.47,都市：住,36,1,持分移轉,03970000
RPXOMLLLJIIGFBK68CB,勝利段,43.16,都市：住,10000,654,持分移轉,12060000
RPUPMLLLJIIGFBK48CB,館陽段,5.83,都市：住,10000,292,持分移轉,02440000
RPUPMLLLJIIGFBK48CB,館陽段,36.45,都市：住,10000,292,持分移轉,02440025
RPPOMLLLJIIGFBK87CB,館陽段,7.90,都市：住,10000,396,持分移轉,02440000
RPPOMLLLJIIGFBK87CB,館陽段,49.44,都市：住,10000,396,持分移轉,02440025
RPUOMLLLJIIGFBK38CB,英才段,45.70,都市：住,1000,77,持分移轉,10530000
RPRPMLLLJIIGFBK18CB,館陽段,6.01,都市：住,10000,1091,持分移轉,02440015
RPRPMLLLJIIGFBK18CB,館陽段,32.32,都市：住,10000,1091,持分移轉,02440016
RPQOMLLLJIIGFBK97CB,館陽段,7.40,都市：住,10000,371,持分移轉,02440000
RPQOMLLLJIIGFBK97CB,館陽段,46.32,都市：住,10000,371,持分移轉,02440025
RPSOMLLLJIIGFBK18CB,館陽段,5.83,都市：住,10000,292,持分移轉,02440000
RPSOMLLLJIIGFBK18CB,館陽段,36.45,都市：住,10000,292,持分移轉,02440025
RPSPMLLLJIIGFBK28CB,館陽段,7.77,都市：住,10000,1409,持分移轉,02440015
RPSPMLLLJIIGFBK28CB,館陽段,41.74,都市：住,10000,1409,持分移轉,02440016
RPVOMLLLJIIGFBK48CB,勝利段,25.15,都市：住,10000,381,持分移轉,12060000
RPRNMLLLJIIGFBK97CB,館陽段,5.81,都市：住,10000,291,持分移轉,02440000
RPRNMLLLJIIGFBK97CB,館陽段,36.33,都市：住,10000,291,持分移轉,02440025
