鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
新竹市,租賃房屋,新竹市新竹市埔頂三路３２號２０樓之１,0.0,,,,1121021,土地0建物1車位0,二十層,29,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120530,77.91,2,2,1,有,有,有,34000,436,,0.0,0,,RPPNMLLKJIIGFAO08CC,整棟(戶)出租,有,1121021~1131020,有,冷氣、熱水器、洗衣機、電視機、冰箱,
新竹市,租賃房屋,新竹市新竹市內湖路１０７巷５９號五樓之２,0.0,,,,1121031,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1120209,122.87,3,2,2,有,有,有,15000,122,,0.0,0,租金總額含管理費；,RPPNMLNKJIIGFAO28CC,整棟(戶)出租,有,1121031~1131030,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
新竹市,建物,新竹市新竹市東區關東路１５０號５樓之１,0.0,住,,,1120718,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820612,98.64000000000001,3,2,2,有,有,有,34000,345,,0.0,0,租金內含管理費,RPQNMLQLPHIGFAO66CC,,,,,,
新竹市,租賃房屋,新竹市新竹市光復路二段９６２號１１樓之４,0.0,,,,1121108,土地0建物0車位0,十一層,12,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0840715,16.5,2,2,2,有,有,有,10000,606,,0.0,0,租金總額含管理費；水費；含增建或未登記建物；,RPPNMLOKJIIGFAO38CC,分租套房,有,1121115~1131114,有,冷氣、熱水器、洗衣機、電視機、冰箱,
新竹市,租賃房屋,新竹市新竹市長春街４０巷２０號,0.0,,,,1121108,土地0建物0車位0,全,5,透天厝,住家用,加強磚造,0740424,13.23,14,0,14,有,無,有,5500,416,,0.0,0,租金總額含水費；網路費；其他有線電視費；含增建或未登記建物；續租案件；,RPQNMLOKJIIGFAO48CC,分租套房,無,1121115~1131114,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
新竹市,租賃房屋+車位,新竹市新竹市埔頂一路１６３號,0.0,,,,1121110,土地0建物1車位1,見其他登記事項,23,店面(店鋪),店舖、集合住宅,鋼筋混凝土造,1020915,239.85999999999999,0,0,0,無,有,無,91022,379,坡道平面,23.15,0,租金總額含稅；租賃期間有約定不同租金租金112/11/10~113/1/31屬裝潢免租金期，租金0元。租金113/02/01~116/1/31每月91022元含租賃所得稅及二代健保補充保費。租金116/02/01~119/1/31每月96711元含租賃所得稅及二代健保補充保費。租金119/02/01~123/1/31每月102400元含租賃所得稅及二代健保補充保費。；,RPTNMLOKJIIGFAO78CC,,有,1121110~1230131,有,,
新竹市,租賃房屋,新竹市新竹市大學路１００７巷１４號３樓,0.0,,,,1121104,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,145.35,4,2,2,有,有,有,22000,151,,0.0,0,,RPUNMLOKJIIGFAO88CC,整棟(戶)出租,有,1121106~1131105,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅代管
新竹市,租賃房屋,新竹市新竹市東區寶山路６０號,0.0,,,,1121101,土地0建物1車位0,全,4,透天厝,,鋼筋混凝土造,0681107,55.44,4,0,1,有,無,無,17000,307,,0.0,0,,RPPNMLQKJIIGFAO58CC,分層出租,無,1121101~1131031,無,冷氣,
新竹市,租賃房屋,新竹市新竹市學府路１８巷１０號３樓,0.0,,,,1121114,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701223,95.75,3,2,2,有,無,有,14000,146,,0.0,0,續租案件；,RPPNMLKLJIIGFAO08CC,整棟(戶)出租,無,1121115~1131114,無,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
