鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
大林鎮,房地(土地+建物),嘉義縣大林鎮林頭,118.37,,鄉村區,乙種建築用地,1121111,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,173.42,4,3,4,有,無,10580000,61008,,0.0,0,,RPQNMLPKJIIGFCQ88CB,新社團三期,A棟2號,
太保市,房地(土地+建物),嘉義縣太保市後潭,113.0,住,,,1121112,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,227.76,4,3,5,有,無,13880000,60941,,0.0,0,,RPQNMLRKJIIGFDQ56CB,銀座一番住宅新建工程-透天10戶,A棟6號,
中埔鄉,房地(土地+建物)+車位,嘉義縣中埔鄉幸福一路與中庄街口,25.38,住,,,1121115,土地2建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.03,3,2,2,有,無,10030000,90769,坡道平面,13.75,1200000,,RPRNMLLLJIIGFDQ78CB,水無月-璞悅,1棟9D號,
中埔鄉,房地(土地+建物)+車位,嘉義縣中埔鄉幸福一路與中庄街口,26.31,住,,,1121112,土地2建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.6,3,2,2,有,無,9980000,87060,坡道平面,13.75,1200000,,RPSNMLLLJIIGFDQ88CB,水無月-璞悅,1棟9C號,
太保市,房地(土地+建物)+車位,嘉義縣太保市太保270之15號附近,45.48,住,,,1121111,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.48,3,2,2,有,無,8480000,72835,升降機械,8.29,600000,,RPQNMLNLJIIGFDQ88CB,太保贏家一期,C棟5F號,
太保市,房地(土地+建物)+車位,嘉義縣太保市太保三路與縣府三街交叉口,30.48,住,,,1121111,土地1建物1車位1,一層,10,店面(店鋪),商業用,鋼筋混凝土造,,144.55,0,0,0,無,無,16750000,121241,坡道平面,19.18,1550000,,RPTNMLNLJIIGFDQ56CB,清景麟嘉科,S棟1號,
水上鄉,房地(土地+建物),嘉義縣水上鄉水南段1123之7地號,122.54,其他,,,1121113,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,163.68,5,2,3,有,無,10500000,64150,,0.0,0,,RPXQMLOLJIIGFDQ37CB,廣晟小城事,B棟B2號,
水上鄉,房地(土地+建物),嘉義縣水上鄉水南段1123之2地號,141.62,其他,,,1121111,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,160.39,4,2,4,有,無,12000000,74818,,0.0,0,,RPORMLOLJIIGFDQ56CB,廣晟小城事,C棟C3號,
朴子市,房地(土地+建物)+車位,嘉義縣朴子市內厝路,48.87,住,,,1121111,土地1建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.44,3,2,2,有,無,8600000,67426,一樓平面,28.24,900000,,RPPNMLQLJIIGFBQ88CB,百富璞植,D棟3號,
中埔鄉,房地(土地+建物),嘉義縣中埔鄉忠明路與中庄街,94.81,住,,,1121122,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,183.47,5,2,4,有,無,16880000,92004,,0.0,0,,RPPNMLRLJIIGFDQ56CB,遇見福德,B棟3號,
中埔鄉,房地(土地+建物),嘉義縣中埔鄉後庄17巷,30.52,住,,,1121116,土地3建物1車位0,二層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,80.51,2,2,2,有,無,5400000,67072,,0.0,0,,RPQNMLRLJIIGFDQ66CB,天晴19,A棟2A7號,
中埔鄉,房地(土地+建物),嘉義縣中埔鄉後庄17巷,30.52,住,,,1121116,土地3建物1車位0,六層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,80.51,2,2,2,有,無,5800000,72041,,0.0,0,,RPSNMLRLJIIGFDQ86CB,天晴19,A棟6A7號,
太保市,房地(土地+建物)+車位,嘉義縣太保市保鐵二路vs高鐵西路vs保鐵一路一段,20.65,住,,,1121111,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,102.36,2,2,2,有,無,9640000,97055,坡道平面,19.52,1600000,,RPQOMLRLJIIGFDQ76CB,高鐵科技城,E棟3號,
太保市,房地(土地+建物)+車位,嘉義縣太保市保鐵二路vs高鐵西路vs保鐵一路一段,23.93,住,,,1121111,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,115.39,3,2,2,有,無,10770000,95650,坡道平面,19.52,1600000,,RPPQMLRLJIIGFDQ86CB,高鐵科技城,H棟7號,
東石鄉,房地(土地+建物),嘉義縣東石鄉蔦松村20-19號旁,119.27,,一般農業區,甲種建築用地,1121115,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,259.8,4,2,4,有,無,16720000,64357,,0.0,0,,RPPNMLSLJIIGFBQ09CB,上荷院9,9A棟5號,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉中菁段840-18地號,38.84,,鄉村區,乙種建築用地,1121111,土地3建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,75.3,2,2,1,有,無,6160000,81806,,0.0,0,約定專用停車位，位於一樓平面法定空地。,RPQNMLSLJIIGFCQ66CB,知築2,A棟5號,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉中菁段840-33地號,116.26,,鄉村區,乙種建築用地,1121112,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,166.4,3,2,4,有,無,10280000,61779,,0.0,0,,RPPNMLTLJIIGFCQ66CB,知築2,A棟5號,
水上鄉,房地(土地+建物),嘉義縣水上鄉水上國中東南方約300公尺,189.62,其他,,,1121111,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,174.36,4,2,3,有,無,11520000,66070,,0.0,0,,RPTNMLTLJIIGFDQ17CB,廣晟小城事,B棟B20號,
水上鄉,房地(土地+建物),嘉義縣水上鄉水上國中東南方約300公尺,138.0,其他,,,1121111,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,163.68,5,2,3,有,無,10900000,66593,,0.0,0,,RPUNMLTLJIIGFDQ27CB,廣晟小城事,B棟B5號,
水上鄉,房地(土地+建物),嘉義縣水上鄉水上國中東南方約300公尺,110.46,其他,,,1121112,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,156.81,4,2,4,有,無,10000000,63771,,0.0,0,,RPVNMLTLJIIGFDQ37CB,廣晟小城事,B棟B10號,
水上鄉,房地(土地+建物),嘉義縣水上鄉水上國中東南方約300公尺,114.24,其他,,,1121112,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,154.12,4,2,3,有,無,11280000,73190,,0.0,0,,RPWNMLTLJIIGFDQ47CB,廣晟小城事,A棟A3號,
太保市,房地(土地+建物)+車位,嘉義縣太保市太保三路與縣府三街交叉口,28.94,住,,,1121118,土地1建物1車位1,一層,10,店面(店鋪),商業用,鋼筋混凝土造,,138.12,0,0,0,無,無,16100000,121069,坡道平面,19.18,1700000,,RPXNMLTLJIIGFDQ57CB,清景麟嘉科,S棟3號,
太保市,房地(土地+建物)+車位,嘉義縣太保市太保三路與縣府三街交叉口,28.94,住,,,1121117,土地1建物1車位1,一層,10,店面(店鋪),商業用,鋼筋混凝土造,,138.12,0,0,0,無,無,16100000,121069,坡道平面,19.18,1700000,,RPOOMLTLJIIGFDQ76CB,清景麟嘉科,S棟2號,
太保市,房地(土地+建物),嘉義縣太保市太保三路與縣府三街交叉口,28.17,住,,,1121121,土地1建物1車位0,一層,10,店面(店鋪),商業用,鋼筋混凝土造,,115.77,0,0,0,無,無,14020000,121102,,0.0,0,,RPPOMLTLJIIGFDQ86CB,清景麟嘉科,S棟5號,
水上鄉,房地(土地+建物),嘉義縣水上鄉水上國中東南方約300公尺,128.04,其他,,,1121122,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,162.53,5,2,3,有,無,10700000,65834,,0.0,0,,RPQOMLTLJIIGFDQ96CB,廣晟小城事,B棟B3號,
水上鄉,房地(土地+建物),嘉義縣水上鄉水上國中東南方約300公尺,131.01,其他,,,1121122,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,162.53,5,2,3,有,無,10800000,66449,,0.0,0,,RPROMLTLJIIGFDQ07CB,廣晟小城事,B棟B6號,
水上鄉,房地(土地+建物),嘉義縣水上鄉水上國中東南方約300公尺,137.11,其他,,,1121122,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,156.27,4,2,4,有,無,12100000,77430,,0.0,0,,RPSOMLTLJIIGFDQ17CB,廣晟小城事,C棟C1號,
水上鄉,房地(土地+建物),嘉義縣水上鄉水上國中東南方約300公尺,107.88,其他,,,1121119,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.49,4,2,4,有,無,10380000,66757,,0.0,0,,RPTOMLTLJIIGFDQ27CB,廣晟小城事,B棟B12號,
朴子市,房地(土地+建物)+車位,嘉義縣朴子市開元路,28.18,住,,,1121120,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,111.78,3,2,2,有,無,8620000,78629,升降機械,8.51,500000,,RPPNMLKMJIIGFBQ38CB,築夢,B棟4號,
朴子市,房地(土地+建物)+車位,嘉義縣朴子市內厝路,48.87,住,,,1121118,土地1建物1車位1,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,149.7,3,2,2,有,無,8910000,69264,一樓平面,35.5,1000000,,RPQNMLKMJIIGFBQ48CB,百富璞植,C棟5號,
朴子市,房地(土地+建物)+車位,嘉義縣朴子市內厝路,48.87,住,,,1121116,土地1建物1車位1,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.44,3,2,2,有,無,8710000,68389,一樓平面,28.24,900000,,RPRNMLKMJIIGFBQ58CB,百富璞植,D棟4號,
朴子市,房地(土地+建物)+車位,嘉義縣朴子市內厝路,37.17,住,,,1121116,土地1建物1車位1,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.18,2,2,2,有,無,6800000,68367,一樓平面,27.15,850000,,RPSNMLKMJIIGFBQ68CB,百富璞植,Ａ棟4號,
朴子市,房地(土地+建物)+車位,嘉義縣朴子市內厝路,48.87,住,,,1121118,土地1建物1車位1,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.44,3,2,2,有,無,8710000,68389,一樓平面,28.24,900000,,RPTNMLKMJIIGFBQ78CB,百富璞植,C棟4號,
朴子市,房地(土地+建物)+車位,嘉義縣朴子市內厝路,48.87,住,,,1121118,土地1建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.44,3,2,2,有,無,8600000,67426,一樓平面,28.24,900000,,RPUNMLKMJIIGFBQ88CB,百富璞植,C棟3號,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉中菁段840-19地號,120.18,,鄉村區,乙種建築用地,1121112,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,166.91,3,2,3,有,無,10780000,64586,,0.0,0,,RPPNMLKMJIIGFCQ48CB,知築2,C棟1號,
義竹鄉,房地(土地+建物),嘉義縣義竹鄉義竹村義竹126之2號旁,97.0,住,,,1121122,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,148.89,4,2,3,有,無,9280000,62328,,0.0,0,,RPQNMLNJKIIGFBQ58CB,京品雅築NO.5,A棟5號,
