編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLKLJIIGFCT78CB,一樓平面,0,13.75,一樓
RPQNMLRKJIIGFAT56CB,坡道平面,1100000,15.92,地下一樓
RPPNMLNLJIIGFDT09CB,一樓平面,1250000,24.33,一樓
RPPNMLOLJIIGFAT88CB,一樓平面,0,7.11,一樓
RPQNMLLLJIIGFAT68CB,一樓平面,1200000,13.75,一樓
RPPNMLSLJIIGFAT66CB,坡道平面,1300000,29.59,地下二樓
RPRNMLKMJIIGFAT78CB,坡道平面,1100000,15.92,地下一樓
RPQNMLSLJIIGFCT96CB,一樓平面,1150000,14.99,一樓
RPPNMLMJKIIGFAT58CB,坡道平面,1300000,13.75,地下一樓
RPSNMLKMJIIGFAT88CB,坡道平面,1100000,15.92,地下一樓
RPPNMLSLJIIGFCT86CB,一樓平面,1300000,20.79,一樓
RPPNMLNJKIIGFAT68CB,坡道平面,1300000,21.43,地下一樓
RPPNMLOJKIIGFAT78CB,一樓平面,1100000,13.75,一樓
RPRNMLRJKIIGFAT66CB,坡道平面,1100000,15.92,地下一樓
RPPNMLLKKIIGFET98CB,一樓平面,0,13.75,一樓
RPPNMLMKKIIGFAT68CB,一樓平面,1300000,11.19,一樓
RPPNMLOKKIIGFAT88CB,一樓平面,1250000,13.97,一樓
RPPNMLLLKIIGFAT68CB,坡道平面,1300000,29.59,地下二樓
RPPNMLNLKIIGFAT88CB,一樓平面,1450000,13.97,一樓
RPPNMLQLKIIGFAT56CB,一樓平面,1100000,,一樓
RPPNMLPLKIIGFCT66CB,坡道平面,0,21.02,地下一樓
RPRNMLQLKIIGFAT76CB,一樓平面,900000,,一樓
RPQNMLQLKIIGFAT66CB,一樓平面,1150000,15.92,一樓
RPPNMLSLKIIGFAT76CB,坡道平面,1300000,27.00,地下一樓
RPPNMLTLKIIGFCT17DB,一樓平面,0,14.82,一樓
RPPNMLNJJHJGFCT78CB,升降機械,800000,5.51,一樓
RPPNMLOJJHJGFAT68CB,坡道平面,1100000,15.92,地下一樓
RPQNMLOJJHJGFAT78CB,坡道平面,1100000,15.92,地下一樓
RPRNMLOJJHJGFAT88CB,坡道平面,1100000,15.92,地下一樓
RPSNMLOJJHJGFAT98CB,坡道平面,1100000,15.92,地下一樓
RPTNMLOJJHJGFAT09CB,坡道平面,1100000,15.92,地下一樓
RPUNMLOJJHJGFAT56CB,坡道平面,1100000,15.92,地下一樓
RPVNMLOJJHJGFAT66CB,坡道平面,1100000,15.92,地下一樓
RPWNMLOJJHJGFAT76CB,坡道平面,1100000,15.92,地下一樓
RPXNMLOJJHJGFAT86CB,一樓平面,1150000,15.92,一樓
RPPNMLTJJHJGFAT56CB,一樓平面,1200000,13.75,一樓
RPSNMLTJJHJGFAT86CB,坡道平面,1300000,21.43,地下一樓
RPPNMLTJJHJGFET96CB,一樓平面,0,13.75,一樓
RPRNMLKKJHJGFAT58CB,坡道平面,1100000,15.92,地下一樓
RPRNMLKKJHJGFAT58CB,坡道平面,1100000,15.92,地下一樓
RPSNMLKKJHJGFAT68CB,一樓平面,1150000,15.92,一樓
RPTNMLKKJHJGFAT78CB,坡道平面,1100000,15.92,地下一樓
RPPNMLLKJHJGFAT48CB,一樓平面,1300000,13.75,一樓
