編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLNKKIIGFAW09CB,安西劃段,44.43,都市：其他:自然村專用區,10000,1183,持分移轉,08760000
RPPNMLNKKIIGFAW56DB,后沙劃測段,43.11,都市：其他:自然村專用區,20,1,持分移轉,00160000
RPPNMLPJKIIGFAW56CB,盤山村測段,27.55,都市：其他:自然村專用區,100000,4062,持分移轉,01880003
RPPNMLPJKIIGFAW56CB,盤山村測段,5.58,都市：其他:自然村專用區,100000,4062,持分移轉,01880004
RPPNMLPJKIIGFAW56CB,盤山村測段,2.91,都市：其他:自然村專用區,100000,4062,持分移轉,01900003
RPPNMLRLKIIGFAW96CB,盤山村測段,29.85,都市：其他:自然村專用區,100000,4401,持分移轉,01880003
RPPNMLRLKIIGFAW96CB,盤山村測段,6.04,都市：其他:自然村專用區,100000,4401,持分移轉,01880004
RPPNMLRLKIIGFAW96CB,盤山村測段,3.15,都市：其他:自然村專用區,100000,4401,持分移轉,01900003
RPQNMLRLKIIGFAW07CB,盤山村測段,29.02,都市：其他:自然村專用區,100000,4279,持分移轉,01880003
RPQNMLRLKIIGFAW07CB,盤山村測段,5.88,都市：其他:自然村專用區,100000,4279,持分移轉,01880004
RPQNMLRLKIIGFAW07CB,盤山村測段,3.06,都市：其他:自然村專用區,100000,4279,持分移轉,01900003
RPRNMLRLKIIGFAW17CB,盤山村測段,27.55,都市：其他:自然村專用區,100000,4062,持分移轉,01880003
RPRNMLRLKIIGFAW17CB,盤山村測段,5.58,都市：其他:自然村專用區,100000,4062,持分移轉,01880004
RPRNMLRLKIIGFAW17CB,盤山村測段,2.91,都市：其他:自然村專用區,100000,4062,持分移轉,01900003
RPPNMLPJJHJGFAW09CB,金門城測段,11.14,都市：住,10000,509,持分移轉,08370000
RPPNMLPJJHJGFAW09CB,金門城測段,22.47,都市：住,10000,509,持分移轉,08380001
RPPNMLOKKIIGFAW66DB,青山段,40.52,都市：其他:自然村專用區,10000,507,持分移轉,09180000
RPPNMLQLKIIGFAW86CB,金門城測段,32.29,都市：其他:自然村專用區,100000,9874,持分移轉,06700000
RPQNMLPJJHJGFAW56CB,金門城測段,18.52,都市：其他:自然村專用區,10000,846,持分移轉,08370000
RPQNMLPJJHJGFAW56CB,金門城測段,37.34,都市：其他:自然村專用區,10000,846,持分移轉,08380001
RPPNMLTJJHJGFAW86CB,祥豐段,39.39,都市：住,100,19,持分移轉,00200000
RPRNMLTJJHJGFAW07CB,金門城測段,14.97,都市：住,10000,684,持分移轉,08370000
RPRNMLTJJHJGFAW07CB,金門城測段,30.19,都市：住,10000,684,持分移轉,08380001
RPQNMLMKJHJGFAW98CB,盤山村測段,29.02,都市：其他:自然村專用區,100000,4279,持分移轉,01880003
RPQNMLMKJHJGFAW98CB,盤山村測段,5.88,都市：其他:自然村專用區,100000,4279,持分移轉,01880004
RPQNMLMKJHJGFAW98CB,盤山村測段,3.06,都市：其他:自然村專用區,100000,4279,持分移轉,01900003
RPPNMLMKJHJGFAW88CB,盤山村測段,27.35,都市：其他:自然村專用區,100000,4032,持分移轉,01880003
RPPNMLMKJHJGFAW88CB,盤山村測段,5.54,都市：其他:自然村專用區,100000,4032,持分移轉,01880004
RPPNMLPKJHJGFAW56CB,金門城測段,14.97,都市：住,10000,684,持分移轉,08370000
RPPNMLMKJHJGFAW88CB,盤山村測段,2.89,都市：其他:自然村專用區,100000,4032,持分移轉,01900003
