編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLQKKHJGFFB18CC,庄南段,86.07,都市：住,,,,08240000
RPRNMLQKKHJGFFB08CC,庄南段,86.07,都市：住,,,,08240000
RPXNMLTKKHJGFAB48CC,麻園頭段,13.12,都市：住,,,,01320000
RPVNMLPKKHJGFAB87CC,下橋子頭段,1.83,都市：商,,,,02170014
RPUNMLPKKHJGFAB77CC,公館段,76.00,都市：住,,,,01580009
RPRNMLKLKHJGFAB07CC,大益段,87.78,都市：住,,,,03200000
RPPNMLKLKHJGFAB86CC,大益段,15.69,都市：住,,,,08250000
RPPNMLTKKHJGFAB77DC,土庫段,6.50,都市：住,,,,00710060
RPTNMLTKKHJGFCB28CC,中義段,16.80,都市：住,,,,02810000
RPTNMLTKKHJGFCB28CC,中義段,1.46,都市：住,,,,02820000
RPUNMLKLKHJGFCB57CC,上石碑段,5.63,都市：住,,,,15080002
RPRNMLQKKHJGFHB28CC,聖宮段,15.69,都市：住,,,,11150000
RPSNMLTKKHJGFIB78CC,新高鐵段,16.20,都市：商,,,,00890000
RPPNMLMLKHJGFAB07CC,下橋子頭段,5.18,都市：商,,,,02170014
RPPNMLLLKHJGFIB87DC,高鐵段,330.57,都市：其他:特定產業專用區,,,,03820000
RPPNMLMLKHJGFCB27CC,上石碑段,13.46,都市：住,,,,16170000
RPSNMLKLKHJGFBB27CC,東新段,7.52,都市：住,,,,01270000
RPQOMLMLKHJGFBB37CC,中清段,8.56,都市：商,,,,00060000
RPPNMLTKKHJGFBB77CC,東新段,1.21,都市：住,,,,01530000
RPQNMLMLKHJGFHB87CC,三和段,19.65,都市：住,,,,09890003
RPQOMLMLKHJGFFB77CC,市鎮北段,12.56,都市：商,,,,00120000
RPXNMLNLKHJGFBB08CC,仁美段,10.40,都市：住,,,,11350000
RPROMLNLKHJGFBB57CC,中清段,8.53,都市：商,,,,00060000
RPPNMLNLKHJGFCB37CC,惠國段,11.99,都市：其他:第三種新市政中心專用區,,,,00770000
RPQOMLNLKHJGFBB47CC,賴厝廍段,3.33,都市：商,,,,00310003
RPQOMLNLKHJGFBB47CC,邱厝子段,2.68,都市：商,,,,00310062
RPROMLQLKHJGFAB77CC,大益段,4.69,都市：住,,,,00250000
RPSOMLQLKHJGFCB08CC,田心段,17.09,都市：住,,,,09820000
RPWOMLQLKHJGFCB48CC,廣明段,.00,都市：住,,,,06100000
RPOPMLQLKHJGFCB77CC,中正段,8.49,都市：商,,,,01550000
RPPOMLQLKHJGFBB67CC,仁平段,506.32,都市：住,,,,01030000
RPPOMLQLKHJGFBB67CC,仁平段,728.73,都市：住,,,,01100000
RPTOMLQLKHJGFCB18CC,上石碑段,3.40,都市：商,,,,17900000
RPTOMLQLKHJGFCB18CC,上石碑段,3.04,都市：商,,,,18000007
RPWNMLQLKHJGFBB28CC,水源段,24.67,都市：住,,,,03470003
RPUOMLQLKHJGFCB28CC,大墩段,24.81,都市：住,,,,04050000
RPTOMLQLKHJGFBB08CC,東信段,23.78,都市：商,,,,02560000
RPXNMLRLKHJGFBB48CC,邱厝子段,20.15,都市：住,,,,00060266
RPXNMLRLKHJGFBB48CC,邱厝子段,103.00,都市：住,,,,00060265
RPXNMLRLKHJGFBB48CC,邱厝子段,15.00,都市：住,,,,00060341
RPSOMLRLKHJGFBB08CC,東光段,16.30,都市：商,,,,04540000
RPRNMLRLKHJGFCB97CC,大新段,15.18,都市：住,,,,05170000
RPWNMLRLKHJGFCB48CC,大明段,2.56,都市：商,,,,01910000
RPROMLRLKHJGFCB08CC,惠民段,11.77,都市：其他:新市政中心專用區,,,,00110000
RPQOMLRLKHJGFCB97CC,大進段,21.65,都市：住,,,,06170000
RPQNMLQLKHJGFIB38CC,崇光段,18.92,都市：住,,,,05030000
RPTNMLQLKHJGFIB68CC,東榮段,143.03,都市：住,,,,00790000
