編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLRJNHJGFCH78DA,29,69.83,住家用,鋼筋混凝土造,83年12月23日,五層,一層 平台,全筆移轉
RPTNMLRJNHJGFCH78DA,29,5.92,共有部份,鋼筋混凝土造,83年12月23日,五層,,持分移轉
RPTNMLRJNHJGFCH78DA,29,6.51,共有部份,鋼筋混凝土造,83年12月23日,五層,,持分移轉
RPPNMLNKNHJGFEH38EA,31,32.97,防空避難室兼停車場,鋼筋混凝土造,82年7月12日,十八層,地下二層 地下三層,持分移轉
RPPOMLNJNHJGFCH08DA,27,122.20,住家用,鋼筋混凝土造,86年7月22日,五層,二層 陽台,全筆移轉
RPPOMLNJNHJGFCH08DA,27,15.77,共有部份,鋼筋混凝土造,86年7月22日,五層,,持分移轉
RPPOMLNJNHJGFCH08DA,27,9.86,共有部份,鋼筋混凝土造,86年7月22日,五層,,持分移轉
RPUNMLNKNHJGFCH58DA,44,48.22,住家用,鋼筋混凝土造,69年9月18日,四層,二層,全筆移轉
RPWNMLLJNHJGFDH58DA,20,104.16,住家用,鋼筋混凝土造,93年4月21日,十二層,五層 陽台,全筆移轉
RPWNMLLJNHJGFDH58DA,20,.09,警衛室,鋼筋混凝土造,93年4月21日,十二層,一層 陽台,持分移轉
RPWNMLLJNHJGFDH58DA,20,10.87,樓梯間、機械室、水箱、騎樓,鋼筋混凝土造,93年4月21日,十二層,,持分移轉
RPWNMLLJNHJGFDH58DA,20,23.30,防空避難室兼停車空間,鋼筋混凝土造,93年4月21日,十二層,,持分移轉
RPWNMLLJNHJGFDH58DA,20,23.38,防空避難室兼停車空間,鋼筋混凝土造,93年4月21日,十二層,,持分移轉
RPPQMLKKNHJGFGH48DA,46,100.61,住商用,加強磚造,67年9月1日,二層,一層 二層 騎樓,全筆移轉
RPSOMLKKNHJGFBH08DA,10,89.61,集合住宅,鋼筋混凝土造,103年5月1日,十五層,七層 陽台 雨遮,全筆移轉
