編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLMLKHJGFBJ28CB,坡道平面,1300000,34.56,地下一樓
RPQNMLNLKHJGFBJ08CB,坡道平面,2100000,24.75,地下二樓
RPUNMLMLKHJGFBJ38CB,一樓平面,0,,一樓
RPTNMLRKKHJGFBJ68CB,坡道平面,2000000,34.67,地下三樓
RPPNMLOLKHJGFDJ38DB,坡道平面,0,,一樓
RPPNMLPLKHJGFCJ28CB,坡道平面,2350000,29.76,地下一樓
RPSNMLLLKHJGFCJ18CB,坡道平面,1600000,35.58,地下三樓
RPXNMLNLKHJGFCJ88CB,坡道平面,1400000,27.06,地下五樓含以下
RPWNMLQLKHJGFBJ98CB,坡道平面,2000000,34.67,地下三樓
RPVNMLQLKHJGFBJ88CB,坡道平面,2000000,34.67,地下三樓
RPPNMLQLKHJGFCJ38CB,坡道平面,1600000,33.92,地下二樓
RPQNMLQLKHJGFCJ48CB,坡道平面,1600000,33.92,地下二樓
RPSNMLRLKHJGFBJ68CB,坡道平面,2050000,41.14,地下三樓
RPQNMLRLKHJGFCJ58CB,坡道平面,1600000,33.92,地下二樓
RPPNMLRLKHJGFCJ48CB,坡道平面,1600000,33.92,地下二樓
RPRNMLRLKHJGFCJ68CB,坡道平面,1600000,33.92,地下二樓
RPSNMLRLKHJGFCJ78CB,坡道平面,1530000,34.42,地下一樓
RPUNMLRLKHJGFCJ98CB,坡道平面,1380000,34.42,地下二樓
RPTNMLRLKHJGFCJ88CB,坡道平面,1330000,34.42,地下三樓
RPVNMLRLKHJGFCJ09CB,坡道平面,1330000,33.32,地下二樓
RPWNMLRLKHJGFCJ56CB,坡道平面,1330000,34.42,地下一樓
RPXNMLRLKHJGFCJ66CB,坡道平面,1230000,33.32,地下三樓
RPPOMLRLKHJGFCJ58CB,坡道平面,1330000,33.32,地下二樓
RPOOMLRLKHJGFCJ48CB,坡道平面,1330000,34.42,地下三樓
RPQOMLRLKHJGFCJ68CB,坡道平面,1350000,32.78,地下三樓
RPROMLRLKHJGFCJ78CB,坡道平面,1600000,33.92,地下二樓
RPSOMLRLKHJGFCJ88CB,一樓平面,1800000,10.33,一樓
RPSNMLRLKHJGFDJ88CB,坡道平面,1600000,32.48,地下二樓
RPSNMLRLKHJGFDJ88CB,坡道平面,1500000,29.91,地下二樓
RPPNMLRLKHJGFDJ58CB,坡道平面,1610000,22.20,地下一樓
RPPOMLNLKHJGFDJ28CB,坡道平面,1650000,25.00,地下二樓
RPPOMLNLKHJGFDJ28CB,坡道平面,1160000,25.00,地下二樓
RPQOMLNLKHJGFDJ38CB,坡道平面,1650000,25.00,地下二樓
RPSNMLKLKHJGFDJ18CB,坡道平面,1750000,21.69,地下二樓
RPUNMLRKKHJGFDJ98CB,坡道平面,1600000,27.84,地下二樓
RPTOMLRKKHJGFDJ98CB,坡道平面,1400000,31.56,地下二樓
RPRNMLKLKHJGFDJ08CB,坡道平面,1800000,21.69,地下二樓
RPUNMLNLKHJGFDJ68CB,坡道平面,1870000,25.00,地下一樓
RPOOMLNLKHJGFDJ18CB,坡道平面,1650000,25.00,地下二樓
RPOOMLNLKHJGFDJ18CB,坡道平面,1160000,25.00,地下二樓
RPOOMLRKKHJGFDJ48CB,坡道平面,1650000,35.09,一樓
RPVNMLRKKHJGFDJ09CB,坡道平面,1600000,26.75,一樓
RPQNMLNLKHJGFDJ28CB,坡道平面,2100000,50.01,地下三樓
RPXNMLNLKHJGFDJ98CB,坡道平面,1650000,25.00,地下二樓
RPXNMLNLKHJGFDJ98CB,坡道平面,1160000,25.00,地下二樓
RPWNMLRKKHJGFDJ56CB,坡道平面,1650000,29.07,一樓
RPVNMLNLKHJGFDJ78CB,坡道平面,1770000,25.00,地下二樓
RPVNMLNLKHJGFDJ78CB,坡道平面,1160000,25.00,地下二樓
RPPOMLRKKHJGFDJ58CB,坡道平面,1650000,27.84,地下一樓
RPTNMLRLKHJGFDJ98CB,坡道平面,1600000,32.48,地下二樓
RPVNMLRLKHJGFDJ56CB,坡道平面,1600000,32.48,地下二樓
RPRNMLSLKHJGFDJ88CB,坡道平面,1600000,26.75,地下一樓
RPTNMLSLKHJGFDJ09CB,坡道平面,1500000,26.75,地下二樓
RPPNMLTLKHJGFCJ68CB,坡道平面,1550000,31.10,地下一樓
RPSNMLTLKHJGFCJ98CB,坡道平面,1250000,31.10,地下三樓
