編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLLLKHJGFAM18CC,千秋段,231.45,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,02460001
RPPNMLRJLHJGFAM58CC,光興段,109.82,都市：住,,,,09050003
RPPNMLQLLHJGFAM68CC,新生段,1673.00,都市：住,,,,15830000
RPPNMLPLLHJGFAM58CC,光大段,119.06,都市：住,,,,08070000
RPPNMLSJMHJGFAM78CC,田寮段,78.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,05830000
RPPNMLSJLHJGFBM78CC,草屯段,68.00,都市：商,,,,07290084
RPPNMLPKLHJGFBM58CC,玉峰段,48.64,都市：商,,,,01260000
RPPNMLTLKHJGFBM98CC,草屯段,90.00,都市：商,,,,05640003
RPQNMLPKLHJGFBM68CC,碧峰段,296.83,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03130000
RPPNMLKLLHJGFBM18CC,碧峰段,841.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,15390000
RPPNMLPLMHJGFBM78CC,北投堡段,155.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,06650000
RPPNMLPLMHJGFBM78CC,北投堡段,155.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,06660000
RPPNMLQLMHJGFBM88CC,建興段,80.04,都市：其他:空白,,,,08640000
RPQNMLTLMHJGFBM66CC,新御史段,22.74,都市：其他:空白,,,,07980000
RPPNMLQJNHJGFBM78CC,新富功段,28.66,都市：住,,,,00650000
RPPNMLTLMHJGFBM56CC,新御史段,22.74,都市：其他:空白,,,,07980000
RPPNMLOLMHJGFAM58CC,光興段,104.01,都市：住,,,,08110014
RPPNMLQJNHJGFAM68CC,牛運堀段,1737.00,都市：住,,,,02680000
RPPNMLKMMHJGFAM28CC,光華段,73.70,都市：住,,,,02020000
RPPNMLTKMHJGFAM98CC,牛運堀段,70.00,都市：住,,,,01330027
RPPNMLRJNHJGFBM88CC,草屯段,22.74,都市：住,,,,05220001
RPPNMLKKNHJGFBM28CC,草屯段,26.22,都市：住,,,,07370135
RPQNMLRKNHJGFBM09CC,光華段,930.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,00240000
RPPNMLRKNHJGFBM98CC,草屯段,10.00,都市：其他:空白,,,,00600010
RPPNMLRKNHJGFBM98CC,草屯段,82.00,都市：其他:空白,,,,00610020
RPQNMLQLKHJGFCM88CC,埔里段信義小段,16.99,都市：住,,,,04560000
