編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLSJLHJGFAN88CC,29,59.05,住家用,鋼筋混凝土造,84年8月24日,八層,,
RPPNMLMLKHJGFAN28CC,28,128.19,住家用,鋼筋混凝土造,85年7月29日,十四層,,
RPQNMLSJLHJGFAN88CC,29,5.97,門廳、樓梯、屋頂突出物、車道,鋼筋混凝土造,84年8月24日,八層,,
RPPNMLMLKHJGFAN28CC,28,18.11,梯間、機械室、水箱,鋼筋混凝土造,85年7月29日,十四層,,
RPRNMLMLKHJGFAN48CC,30,36.08,住家用,鋼筋混凝土造,83年5月9日,十層,,
RPQNMLSJLHJGFAN88CC,29,9.07,避難室、停車空間,鋼筋混凝土造,84年8月24日,八層,,
RPPNMLMLKHJGFAN28CC,28,16.68,停車空間、避難室,鋼筋混凝土造,85年7月29日,十四層,,
RPRNMLMLKHJGFAN48CC,30,10.54,車道、梯間,鋼筋混凝土造,83年5月9日,十層,,
RPRNMLMLKHJGFAN48CC,30,3.37,停車空間、避難室,鋼筋混凝土造,83年5月9日,十層,,
RPPNMLTLKHJGFAN98CC,27,20.15,住家用,鋼筋混凝土造,86年2月26日,九層,,
RPRNMLQJLHJGFAN78CC,43,213.60,住商用,鋼筋混凝土造,69年10月20日,四層,,
RPPNMLTLKHJGFAN98CC,27,14.27,防空避難室、停車場、梯間、門廳、汽車昇降機走道,鋼筋混凝土造,86年2月26日,九層,,
RPPNMLRJLHJGFAN68CC,28,109.58,住家用,鋼筋混凝土造,85年7月29日,十四層,,
RPPNMLSLKHJGFAN88CC,43,10.00,住商用,鋼筋混凝土造,70年8月12日,三層,,
RPPNMLRJLHJGFAN68CC,28,15.64,梯間、機械室、水箱,鋼筋混凝土造,85年7月29日,十四層,,
RPPNMLRJLHJGFAN68CC,28,14.41,停車空間、避難室,鋼筋混凝土造,85年7月29日,十四層,,
RPPNMLOJLHJGFAN38CC,33,84.55,住家用,鋼筋混凝土造,79年9月14日,五層,,
RPPNMLOJLHJGFAN38CC,33,18.35,避難室、停車場、梯間,鋼筋混凝土造,79年9月14日,五層,,
RPRNMLRLKHJGFAN98CC,27,87.99,住家用,鋼筋混凝土造,86年5月26日,十七層,,
RPRNMLRLKHJGFAN98CC,27,27.63,避難室、停車空間、梯間、機械室、水箱,鋼筋混凝土造,86年5月26日,十七層,,
RPQNMLQJLHJGFAN68CC,33,81.45,住家用,鋼筋混凝土造,79年9月14日,五層,,
RPQNMLQJLHJGFAN68CC,33,17.84,避難室、停車場、梯間,鋼筋混凝土造,79年9月14日,五層,,
RPPNMLSJLHJGFAN78CC,49,127.62,住家用,鋼筋混凝土造,64年7月14日,三層,,
RPPNMLQLKHJGFAN68CC,24,73.74,住家用,鋼筋混凝土造,88年8月27日,六層,,
RPPNMLQLKHJGFAN68CC,24,10.99,避難室，梯間，機械室,鋼筋混凝土造,88年8月27日,六層,,
RPPNMLMKLHJGFAN28CC,43,16.52,住商用,鋼筋混凝土造,70年1月17日,三層,,
RPSNMLOKLHJGFAN78CC,50,145.38,住商用,鋼筋混凝土加強磚造,63年2月16日,三層,,
RPQNMLOKLHJGFAN58CC,18,18.43,住家用,鋼筋混凝土造,95年5月22日,五層,,
RPQNMLOKLHJGFAN58CC,18,2.05,機房,鋼筋混凝土造,95年5月22日,五層,,
RPQNMLOKLHJGFAN58CC,18,11.05,走廊、梯廳、停車空間、發電機室,鋼筋混凝土造,95年5月22日,五層,,
RPRNMLOKLHJGFAN68CC,6,60.29,集合住宅,鋼筋混凝土造,107年8月21日,十二層,,
RPRNMLNKLHJGFAN58CC,18,18.43,住家用,鋼筋混凝土造,95年5月22日,五層,,
RPRNMLNKLHJGFAN58CC,18,2.05,機房,鋼筋混凝土造,95年5月22日,五層,,
RPRNMLNKLHJGFAN58CC,18,11.05,走廊、梯廳、停車空間、發電機室,鋼筋混凝土造,95年5月22日,五層,,
RPRNMLOKLHJGFAN68CC,6,40.88,防空避難室兼停車空間、台電配電室、發電機房、安全梯、消防機械室、電信機房、水箱、電梯間、梯廳、管委會使用空間（門廳）、公共服務空間、排煙室、垃圾集中處、戶外安全梯、水錶室、梯間、水錶間、機房、電梯機房,鋼筋混凝土造,107年8月21日,十二層,,
RPQNMLNKLHJGFAN48CC,18,18.68,住家用,鋼筋混凝土造,95年5月22日,五層,,
RPQNMLNKLHJGFAN48CC,18,2.07,機房,鋼筋混凝土造,95年5月22日,五層,,
RPQNMLNKLHJGFAN48CC,18,11.20,走廊、梯廳、停車空間、發電機室,鋼筋混凝土造,95年5月22日,五層,,
RPPNMLNLKHJGFCN58CC,24,84.01,集合住宅,鋼筋混凝土造,88年10月14日,十三層,,
RPPNMLNLKHJGFCN58CC,24,19.13,防空避難室，人行道，中央管理室,鋼筋混凝土造,88年10月14日,十三層,,
RPPNMLNKLHJGFAN38CC,18,18.43,住家用,鋼筋混凝土造,95年5月22日,五層,,
RPPNMLNKLHJGFAN38CC,18,2.30,機房,鋼筋混凝土造,95年5月22日,五層,,
RPPNMLNKLHJGFAN38CC,18,11.04,走廊、梯廳、停車空間、發電機室,鋼筋混凝土造,95年5月22日,五層,,
RPQNMLPKLHJGFCN88CC,10,244.60,住家用、騎樓,鋼筋混凝土造,103年8月29日,四層,,
RPPNMLSKLHJGFAN88CC,44,83.30,住家用,鋼筋混凝土造,69年6月26日,四層,,
RPPNMLRKLHJGFAN78CC,47,90.23,住家用,加強磚造,66年1月21日,二層,,
RPPNMLTKLHJGFAN98CC,28,109.58,住家用,鋼筋混凝土造,85年7月29日,十四層,,
RPPNMLTKLHJGFAN98CC,28,15.64,梯間、機械室、水箱,鋼筋混凝土造,85年7月29日,十四層,,
RPPNMLTKLHJGFAN98CC,28,14.41,停車空間、避難室,鋼筋混凝土造,85年7月29日,十四層,,
RPPNMLOKLHJGFBN58CC,44,90.09,店舖，商場，貯藏室,鋼筋混凝土加強磚造,69年3月26日,三層,,
RPPNMLTKKHJGFHN96CC,35,81.46,住商用,鋼筋混凝土造,78年6月12日,五層,,
RPPNMLTKKHJGFGN86CC,2,66.12,住家用,鋼筋混凝土造,111年6月23日,三層,,
RPPNMLRLKHJGFHN86CC,1,175.51,住宅、樓梯間,鋼筋混凝土造,111年9月6日,三層,,
RPPNMLSKLHJGFDN56CC,16,36.22,集合住宅,鋼筋混凝土造,97年8月6日,五層,,
RPPNMLSKLHJGFDN56CC,16,12.68,走廊、樓梯間、水箱、機械室,鋼筋混凝土造,97年8月6日,五層,,
RPPNMLKLLHJGFHN88CC,2,204.47,住宅、樓梯間,鋼筋混凝土造,111年9月6日,三層,,
RPPNMLTKLHJGFHN07CC,44,95.13,住家用,加強磚造,69年5月25日,二層,,
RPPNMLLLLHJGFDN58CC,1,72.54,集合住宅,鋼筋混凝土造,112年7月10日,十五層,,
RPPNMLLLLHJGFDN58CC,1,35.83,共同使用部份,鋼筋混凝土造,112年7月10日,十五層,,
RPQNMLSKLHJGFDN66CC,16,24.93,集合住宅,鋼筋混凝土造,97年8月6日,五層,,
RPQNMLSKLHJGFDN66CC,16,8.72,走廊、樓梯間、水箱、機械室,鋼筋混凝土造,97年8月6日,五層,,
RPQNMLLLLHJGFDN68CC,1,171.87,店鋪、住宅、停車空間、樓梯間,鋼骨造有牆,112年4月10日,二層,,
RPRNMLTKKHJGFDN76CC,1,54.61,集合住宅,鋼筋混凝土造,112年7月10日,十五層,,
RPQNMLLLLHJGFDN68CC,1,234.23,店鋪、住宅、停車空間、樓梯間,鋼骨造有牆,112年4月10日,二層,,
RPRNMLTKKHJGFDN76CC,1,56.44,共同使用部份,鋼筋混凝土造,112年7月10日,十五層,,
RPRNMLSJLHJGFDN66CC,11,171.87,騎樓、店舖、停車空間、住宅、機電空間、樓梯間,鋼筋混凝土造,102年3月11日,五層,,
RPPNMLNLKHJGFHN09CC,29,97.55,住家用,鋼筋混凝土造,84年5月8日,八層,,
RPPNMLSKLHJGFHN96CC,10,47.00,農舍,鋼骨造,103年3月20日,一層,,
RPPNMLOKLHJGFEN88CC,33,197.57,住商用,鋼筋混凝土造,80年3月28日,三層,,
RPPNMLSJLHJGFGN76CC,32,74.46,國民住宅,磚造,81年7月3日,一層,,
RPPNMLPJLHJGFDN78CC,57,255.93,住商用,鋼筋混凝土加強磚造,55年9月14日,三層,,
RPPNMLMLLHJGFDN68CC,16,35.65,集合住宅,鋼筋混凝土造,97年8月6日,五層,,
RPPNMLMLLHJGFDN68CC,16,12.49,走廊、樓梯間、水箱、機械室,鋼筋混凝土造,97年8月6日,五層,,
RPQNMLMLLHJGFDN78CC,16,23.80,集合住宅,鋼筋混凝土造,97年8月6日,五層,,
RPPNMLPLLHJGFHN76CC,30,204.05,住商用,鋼筋混凝土造,83年1月21日,四層,,
RPQNMLMLLHJGFDN78CC,16,8.32,走廊、樓梯間、水箱、機械室,鋼筋混凝土造,97年8月6日,五層,,
RPPNMLQLLHJGFAN78CC,18,18.68,住家用,鋼筋混凝土造,95年5月22日,五層,,
