編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLTJNHJGFEP07DA,29,145.70,住家用,鋼筋混凝土造,84年7月7日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLNJNHJGFDP88DA,13,203.29,住家用,鋼筋混凝土造,100年8月30日,三層,一層 二層 三層 陽台 雨遮,全筆移轉
RPQNMLNKNHJGFAP88EA,29,5.89,共有部份,鋼筋混凝土造,83年11月12日,七層,,持分移轉
RPQNMLNKNHJGFAP88EA,29,24.12,住家用,鋼筋混凝土造,83年11月12日,七層,六層 陽台 花台,全筆移轉
RPSNMLOKNHJGFDP76DA,40,59.62,住家用,加強磚造,73年8月1日,四層,四層 陽台,持分移轉
RPXNMLKLNHJGFDP96DA,18,6.96,設備空間、梯廳、停車空間,鋼筋混凝土造,95年8月3日,五層,,持分移轉
RPXNMLKLNHJGFDP96DA,18,5.37,梯廳、走廊、梯間、水箱,鋼筋混凝土造,95年8月3日,五層,,持分移轉
RPXNMLKLNHJGFDP96DA,18,16.29,住家用,鋼筋混凝土造,95年8月3日,五層,四層 陽台,全筆移轉
RPPNMLKLNHJGFDP78DA,42,60.56,住家用,加強磚造,71年3月1日,二層,一層 二層 陽台 騎樓,持分移轉
RPPNMLRKNHJGFCP76EA,43,113.78,住家用,加強磚造,70年2月14日,二層,一層 二層,全筆移轉
RPRNMLQJNHJGFAP09DA,28,12.25,共有部份,鋼筋混凝土造,84年11月20日,七層,,持分移轉
RPRNMLQJNHJGFAP09DA,28,.00,共有部份,鋼筋混凝土造,84年11月20日,七層,,
RPRNMLQJNHJGFAP09DA,28,7.10,共有部份,鋼筋混凝土造,84年11月20日,七層,,持分移轉
RPRNMLQJNHJGFAP09DA,28,90.15,住家用,鋼筋混凝土造,84年11月20日,七層,二層 陽台,全筆移轉
RPTNMLRKNHJGFDP17DA,18,147.86,住家用,鋼筋混凝土造,95年4月6日,三層,一層 二層 三層 陽台,全筆移轉
RPSNMLNJNHJGFAP88DA,1,177.68,住宅、樓梯間,鋼筋混凝土造,112年8月7日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
