編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWNMLRLKHJGFAU57CC,坡道平面,0,30.49,地下三樓
RPSOMLPKLHJGFAU07CC,坡道平面,0,,地下一樓
RPPNMLLLLHJGFAU98CC,升降機械,0,17.96,地下一樓
RPRNMLKLLHJGFAU09CC,坡道平面,1000,18.39,地下一樓
RPPNMLTJMHJGFAU07CC,坡道平面,1500,,地下一樓
RPUNMLKKMHJGFAU76CC,坡道平面,0,14.03,地下二樓
RPXNMLKKMHJGFAU07CC,坡道平面,0,,地下一樓
RPSNMLRKMHJGFAU27CC,一樓平面,0,13.40,一樓
RPUNMLRKMHJGFAU47CC,一樓平面,0,13.40,一樓
RPWNMLRKMHJGFAU67CC,一樓平面,0,13.51,一樓
RPUOMLMKMHJGFAU07CC,坡道平面,0,12.04,地下一樓
RPVNMLQKMHJGFAU47CC,一樓平面,0,13.51,一樓
RPVOMLMKMHJGFAU17CC,一樓平面,0,25.02,一樓
RPPOMLRKMHJGFAU07CC,一樓平面,0,13.40,一樓
RPSNMLRJNHJGFAU27CC,坡道平面,0,113.62,地下一樓
RPROMLSJNHJGFAU37CC,一樓平面,1000,16.50,一樓
RPQOMLSJNHJGFAU27CC,一樓平面,0,16.26,一樓
RPQNMLMLNHJGFAU76CC,坡道平面,0,,地下一樓
