編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLQJOHJGFCK78CC,2,60.58,集合住宅,鋼筋混凝土造,111年10月13日,七層,,
RPPNMLQJOHJGFCK78CC,2,24.63,共有部份之項目有停車空間、電信室、台電配電室、消防機房兼發電機室、梯廳、梯間、樓梯間、水箱、機械室等９項,鋼筋混凝土造,111年10月13日,七層,,
RPPNMLTKNHJGFDK56CC,1,38.31,停車空間、住宅、梯間、水箱、機房,鋼筋混凝土造,112年10月17日,四層,,
RPQNMLPKNHJGFDK88CC,8,63.61,商業用,鋼筋混凝土造,105年4月21日,十層,,
RPPNMLOKNHJGFDK68CC,37,70.55,住家用,鋼筋混凝土造,75年11月24日,五層,,
RPQNMLTKNHJGFDK66CC,29,83.99,住家用,鋼筋混凝土造,84年4月21日,七層,,
RPQNMLPKNHJGFDK88CC,8,56.00,共有部分,鋼筋混凝土造,105年4月21日,十層,,
RPPNMLOKNHJGFDK68CC,37,4.67,防空避難室,鋼筋混凝土造,75年11月24日,五層,,
RPQNMLTKNHJGFDK66CC,29,8.53,地下室,鋼筋混凝土造,84年4月21日,,,
RPPNMLOKNHJGFDK68CC,37,10.33,樓梯間,鋼筋混凝土造,75年11月24日,五層,,
RPQNMLTKNHJGFDK66CC,29,3.63,樓梯間，屋突,鋼筋混凝土造,84年4月21日,,,
RPPNMLOLNHJGFDK78CC,1,38.31,停車空間、住宅、梯間、水箱、機房,鋼筋混凝土造,112年10月17日,四層,,
RPPNMLQJOHJGFDK88CC,23,21.12,住家用,鋼筋混凝土造,90年6月29日,三層,,
RPPNMLQJOHJGFDK88CC,23,6.21,樓梯間、屋頂突出物,鋼筋混凝土造,90年6月29日,三層,,
RPSNMLQJOHJGFDK56CC,22,20.92,住家用,鋼筋混凝土造,91年4月17日,四層,,
RPPNMLSJOHJGFDK09CC,8,63.80,商業用,鋼筋混凝土造,105年4月21日,十層,,
RPSNMLQJOHJGFDK56CC,22,8.49,樓梯間、走廊、配電室,鋼筋混凝土造,91年4月17日,四層,,
RPPNMLSJOHJGFDK09CC,8,56.00,共有部分,鋼筋混凝土造,105年4月21日,十層,,
RPRNMLLKOHJGFDK68CC,20,15.79,住家用,鋼筋混凝土造,93年6月23日,三層,,
RPRNMLLKOHJGFDK68CC,20,4.62,樓梯間、走廊,鋼筋混凝土造,93年6月23日,三層,,
RPQNMLLKOHJGFDK58CC,31,99.01,住家用,鋼筋混凝土造,82年8月16日,十層,,
RPQNMLLKOHJGFDK58CC,31,10.96,防空避難室，停車場,鋼筋混凝土造,82年8月16日,,,
RPQNMLLKOHJGFDK58CC,31,11.75,樓梯間，機械室,鋼骨鋼筋混凝土造,82年8月16日,,,
RPPNMLQLNHJGFDK98CC,1,25.79,停車空間、住宅、梯間、水箱、機房,鋼筋混凝土造,112年10月17日,四層,,
RPQNMLSJOHJGFDK56CC,1,25.79,停車空間、住宅、梯間、水箱、機房,鋼筋混凝土造,112年10月17日,四層,,
RPPNMLSLNHJGFDK56CC,4,57.68,住家用,鋼筋混凝土造,109年9月15日,十五層,,
RPPNMLSLNHJGFDK56CC,4,17.55,共有部分,鋼筋混凝土造,109年9月15日,十五層,,
RPPNMLSLNHJGFDK56CC,4,30.74,共有部分,鋼筋混凝土造,109年9月15日,十五層,,
RPPNMLSLNHJGFDK56CC,4,9.59,共有部分,鋼筋混凝土造,109年9月15日,十五層,,
RPPNMLRJOHJGFDK98CC,1,104.39,集合住宅,鋼筋混凝土造,112年7月4日,五層,,
RPPNMLRJOHJGFDK98CC,1,23.84,共有部分,鋼筋混凝土造,112年7月4日,五層,,
RPPNMLRJOHJGFDK98CC,1,23.92,共有部分,鋼筋混凝土造,112年7月4日,五層,,
RPPNMLMKOHJGFDK58CC,21,22.51,住家用,鋼筋混凝土造,92年7月16日,四層,,
RPPNMLMKOHJGFDK58CC,21,6.68,樓梯間,鋼筋混凝土造,92年7月16日,四層,,
RPPNMLNKOHJGFBK48CC,17,24.83,住家用,鋼筋混凝土造,96年7月16日,十層,,
RPPNMLNKOHJGFBK48CC,17,12.39,共有部分,鋼筋混凝土造,96年7月16日,十層,,
RPQNMLNKOHJGFDK78CC,45,73.95,住家用,鋼筋混凝土造,67年12月1日,四層,,
RPQNMLNKOHJGFDK78CC,45,5.72,樓梯間,鋼筋混凝土造,67年12月1日,見其他登記事項,,
RPQNMLOKOHJGFBK68CC,30,142.53,住家用,鋼筋混凝土造,83年11月20日,五層,,
RPQNMLOKOHJGFBK68CC,30,45.35,停車場，車道,鋼筋混凝土造,83年11月20日,五層,,
RPQNMLOKOHJGFBK68CC,30,9.56,樓梯間，水箱,鋼筋混凝土造,83年11月20日,五層,,
RPPNMLTLNHJGFBK09CC,28,18.42,住家用,鋼筋混凝土造,85年10月30日,五層,,
RPPNMLTLNHJGFBK09CC,28,6.48,住家用,鋼筋混凝土造,85年1月30日,五層,,
RPPNMLLMNHJGFBK38CC,30,188.64,住家用,鋼筋混凝土造,83年11月20日,五層,,
RPPNMLLMNHJGFBK38CC,30,45.35,停車場，車道,鋼筋混凝土造,83年11月20日,五層,,
RPPNMLLMNHJGFBK38CC,30,16.43,樓梯間，水箱,鋼筋混凝土造,83年11月20日,五層,,
RPPNMLRJOHJGFBK78CC,28,18.42,住家用,鋼筋混凝土造,85年10月30日,五層,,
RPPNMLRJOHJGFBK78CC,28,8.31,停車空間，防空避難室，走道，屋頂突出物，機械室，機車，梯間,鋼筋混凝土造,85年10月30日,五層,,
RPRNMLNKOHJGFDK88CC,8,21.15,集合住宅,鋼筋混凝土造,105年5月18日,十三層,,
