鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
新竹市,房地(土地+建物)+車位,新竹市新竹市仁德街,16.32,商,,,1130512,土地1建物1車位2,十四層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,207.61,4,2,2,有,無,35650000,215347,坡道平面,66.21,5200000,,RPVNMLQKNHJGFAO86CB,昌傑謙謙,D棟14號,
新竹市,房地(土地+建物),新竹市新竹市內湖路107巷,29.54,,鄉村區,乙種建築用地,1130514,土地1建物1車位0,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,132.95,3,1,2,有,無,11000000,82738,,0.0,0,,RPPNMLQKNHJGFAO98DB,文學苑三期,D棟2號,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路三段,14.3,商,,,1130513,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.94,3,2,2,有,無,25000000,170046,坡道平面,28.8,1850000,,RPQNMLRKNHJGFAO09CB,聚吉第,B棟1-15號,
新竹市,房地(土地+建物)+車位,新竹市新竹市東區高峰路110巷,53.26,住,,,1130514,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,184.05,4,2,2,有,無,24950000,145880,坡道平面,28.1,2200000,,RPRNMLRKNHJGFAO56CB,富源知青,B棟2號,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路三段,17.29,商,,,1130514,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.29,4,2,2,有,無,27600000,154721,坡道平面,28.8,2150000,,RPPNMLSKNHJGFAO09CB,聚吉第,A棟1-5號,
新竹市,房地(土地+建物)+車位,新竹市新竹市關新路216號旁,16.01,商,,,1130514,土地1建物1車位1,三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.12,3,2,2,有,無,30300000,234797,坡道平面,33.72,2500000,,RPVNMLSKNHJGFAO07CB,豐邑一綻,E棟3號,
新竹市,房地(土地+建物)+車位,新竹市新竹市北區東大路三段570號旁,26.12,住,,,1130513,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,143.45,2,2,2,有,無,15500000,121025,坡道平面,30.25,1800000,,RPWNMLSKNHJGFAO17CB,朋晨和禮,D棟5號,
新竹市,房地(土地+建物)+車位,新竹市新竹市東大路三段570號旁,29.91,住,,,1130518,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,159.9,3,2,2,有,無,16900000,116467,坡道平面,30.25,1800000,,RPXNMLSKNHJGFAO27CB,朋晨和禮,B棟3號,
新竹市,房地(土地+建物)+車位,新竹市新竹市關新路216號旁,16.06,商,,,1130513,土地1建物1車位1,三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.66,3,2,2,有,無,30380000,234404,坡道平面,33.72,2500000,,RPOOMLSKNHJGFAO09CB,豐邑一綻,A棟3號,
