鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
金寧鄉,土地,寧安四劃段248-9地號,666.67,都市：其他:農村住宅街廓,,,1130807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,24000000,36000,,0.0,0,,RPPNMLRJQHJGFAW37DA,0.0,0.0,0.0,無,
烈嶼鄉,土地,陵水湖測段697地號,187.78,都市：其他:國家公園區,,,1130801,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,580000,3089,,0.0,0,,RPSNMLSJQHJGFAW77DA,0.0,0.0,0.0,無,
金城鎮,土地,古坵段492地號,1214.0,農,,,1130801,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1750000,1442,,0.0,0,,RPPNMLPJQHJGFAW17DA,0.0,0.0,0.0,無,001
金寧鄉,土地,寧古劃段155地號,1000.0,都市：其他:國家公園區,,,1130807,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4000000,4000,,0.0,0,,RPRNMLSJQHJGFAW67DA,0.0,0.0,0.0,無,002
金沙鎮,土地,大山段958地號,1205.0,農,,,1130804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4860000,4033,,0.0,0,,RPRNMLOKQHJGFAW47EA,0.0,0.0,0.0,無,003
金城鎮,土地,古井段78地號,649.0,農,,,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3300000,5085,,0.0,0,,RPRNMLPJQHJGFAW37DA,0.0,0.0,0.0,無,
金湖鎮,土地,太湖劃測段112地號,956.62,都市：其他:國家公園區,,,1130805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8200000,8572,,0.0,0,,RPQNMLPJQHJGFAW27DA,0.0,0.0,0.0,無,004
金寧鄉,土地,煙墩段231地號,1788.48,都市：其他:保護區,,,1130816,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2450000,1370,,0.0,0,,RPPNMLQKQHJGFAW47EA,0.0,0.0,0.0,無,
金沙鎮,土地,保生段39地號,128.87,住,,,1130804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4500000,34919,,0.0,0,,RPVNMLPJQHJGFAW77DA,0.0,0.0,0.0,無,
金寧鄉,房地(土地+建物),金門縣金寧鄉后盤山８６號,50.75,都市：其他:自然村專用區,,,1130805,土地2建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130607,122.3,3,2,2,有,無,8600000,70319,,0.0,0,,RPPNMLMKQHJGFAW96DA,90.84,0.0,5.29,有,
