鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
七堵區,房地(土地+建物)+車位,基隆市七堵區百六街100巷20號之附近,15.41,商,,,1130815,土地3建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.42,2,1,1,有,無,15500000,143551,坡道平面,41.77,2200000,,RPQNMLMLQHJGFDC08CB,陞家百福匯,C棟10號,
安樂區,房地(土地+建物)+車位,基隆市安樂區武聖街233號旁,176.25,住,,,1130815,土地2建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,244.4,2,1,2,有,無,22500000,92062,一樓平面,13.75,0,交易總價含下列非屬預售屋價格之費用:裝潢費2000000元；,RPPNMLNLQHJGFDC08CB,藝墅VILLA(湖海段257、261地號),C2棟13號,1140622全部解約
暖暖區,房地(土地+建物)+車位,基隆市暖暖區國安路,7.17,住,,,1130811,土地2建物1車位1,二十二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.31,2,2,1,有,無,14010000,142767,坡道平面,15.74,2650000,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPPNMLKMQHJGFDC87CB,美麗上城,B棟02號,
暖暖區,房地(土地+建物)+車位,基隆市暖暖區國安路,7.76,住,,,1130817,土地2建物1車位1,十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.85,2,2,2,有,無,16120000,151202,坡道平面,15.74,3100000,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPQNMLKMQHJGFDC97CB,美麗上城,B棟07號,
暖暖區,房地(土地+建物),基隆市暖暖區國安路,8.74,住,,,1130815,土地2建物1車位0,二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.05,3,2,2,有,無,13230000,136321,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPXNMLKMQHJGFDC68CB,美麗上城,C棟07號,
暖暖區,房地(土地+建物),基隆市暖暖區國安路,7.35,住,,,1130817,土地2建物1車位0,二十二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,81.61,2,2,1,有,無,11650000,142752,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPOOMLKMQHJGFDC87CB,美麗上城,B棟08號,
暖暖區,房地(土地+建物),基隆市暖暖區國安路,8.75,住,,,1130811,土地2建物1車位0,五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.17,3,2,2,有,無,13660000,140578,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPQOMLKMQHJGFDC08CB,美麗上城,D棟07號,
暖暖區,房地(土地+建物)+車位,基隆市暖暖區國安路,7.76,住,,,1130818,土地2建物1車位1,八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.85,2,2,2,有,無,16590000,156660,坡道平面,15.74,3100000,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPVOMLKMQHJGFDC58CB,美麗上城,B棟01號,
暖暖區,房地(土地+建物),基隆市暖暖區國安路,6.97,住,,,1130811,土地2建物1車位0,六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,77.42,2,1,1,有,無,11650000,150478,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPWOMLKMQHJGFDC68CB,美麗上城,D棟11號,
