編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLOJJIJGFAE37DA,12,343.43,住家用,鋼筋混凝土造,101年12月27日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPXNMLQJKIJGFFE88DA,19,116.48,住家用,鋼筋混凝土造,95年5月12日,十二層,七層 陽台,全筆移轉
RPXNMLQJKIJGFFE88DA,19,68.91,社區活動中心、梯廳、公用開放空間、樓梯間、機械間、水箱、管理員室、門廊、垃圾收集場、托兒所、防空避難室兼停車空間,鋼筋混凝土造,95年5月12日,十三層,,持分移轉
RPPNMLSJJIJGFBE87EA,53,114.67,店舖及住宅,加強磚造,60年8月30日,三層,一層 二層 三層,全筆移轉
RPPNMLOJKIJGFLE58EA,64,28.83,住家用,磚石造,49年7月1日,一層,一層 見其他登記事項,全筆移轉
RPPNMLLKJIJGFBE17DA,46,66.24,住家用,鋼筋混凝土造,68年3月10日,十層,一層,全筆移轉
RPRNMLQJJIJGFLE78DA,31,43.77,住家用,鋼筋混凝土造,82年7月23日,四層,一層 二層 三層 四層 陽台,持分移轉
RPVRMLMKJIJGFEE58DA,53,69.58,住家用,加強磚造,60年6月30日,二層,一層 二層,全筆移轉
RPXNMLMKJIJGFDE28DA,54,63.78,,鋼筋混凝土造,60年2月1日,四層,二層,全筆移轉
RPPNMLNKJIJGFFE87EA,44,90.30,住家用,加強磚造,70年2月25日,二層,一層 二層 夾層,全筆移轉
RPTNMLOJJIJGFIE48DA,46,121.76,住商用,鋼筋混凝土造,67年7月20日,三層,一層 二層 三層,全筆移轉
RPTNMLMKJIJGFBE67DA,43,31.98,,鋼筋混凝土造,71年4月30日,十二層,八層 陽台,全筆移轉
RPTNMLMKJIJGFBE67DA,43,11.12,,鋼筋混凝土造,71年4月30日,十二層,,持分移轉
RPUOMLLJJIJGFCE77DA,32,69.90,住家用,鋼筋混凝土造,81年9月16日,七層,三層 陽台,全筆移轉
RPUOMLLJJIJGFCE77DA,32,18.32,見使用執照,鋼筋混凝土造,81年9月16日,七層,,持分移轉
RPXNMLRJJIJGFDE68DA,39,95.32,,鋼筋混凝土造,74年12月6日,五層,二層 陽台,全筆移轉
RPTPMLLKJIJGFEE08DA,1,53.90,集合住宅,鋼筋混凝土,112年5月12日,十四層,十一層 陽台 雨遮,全筆移轉
RPTPMLLKJIJGFEE08DA,1,27.59,本共有部分之項目有防空避難室兼停車空間、車道、管委會使用空間、停車空間、樓梯間、梯間、水箱、昇降機機械室等８項,鋼筋混凝土,112年5月12日,十四層,,持分移轉
RPQNMLOKJIJGFCE77EA,46,52.72,公寓,鋼筋混凝土造,67年10月24日,五層,五層,全筆移轉
RPOOMLTKJIJGFBE97DA,57,71.84,住宅,加強磚造,57年4月17日,四層,二層,全筆移轉
RPWOMLOKJIJGFBE28DA,41,67.28,,鋼筋混凝土造,72年6月21日,十二層,四層 陽台,全筆移轉
RPWOMLOKJIJGFBE28DA,41,12.94,,鋼筋混凝土造,72年6月21日,十二層,,持分移轉
RPXNMLMKJIJGFCE18DA,24,104.04,住家用,鋼筋混凝土造,89年10月23日,十四層,十層 陽台 雨遮,全筆移轉
RPXNMLMKJIJGFCE18DA,24,55.63,共有部份,鋼筋混凝土造,89年10月23日,十四層,,持分移轉
RPTNMLNKJIJGFAE67DA,45,42.59,,鋼筋混凝土造,69年1月9日,十六層,十層,全筆移轉
RPTNMLNKJIJGFAE67DA,45,5.51,,鋼筋混凝土造,69年1月9日,十六層,,持分移轉
RPPNMLOKJIJGFBE47DA,32,8.92,見使用執照,鋼筋混凝土造,82年3月27日,八層,,持分移轉
RPXNMLNKJIJGFGE68DA,29,202.32,見使用執照,鋼筋混凝土造,85年4月16日,四層,一層 二層 三層 四層 陽台 屋頂突出物 地下層,全筆移轉
RPXNMLNKJIJGFGE68DA,29,16.49,共有部份,鋼筋混凝土造,85年4月16日,四層,,持分移轉
RPOPMLSJJIJGFBE87DA,2,31.38,共有部份,鋼筋混凝土,111年11月10日,,,持分移轉
RPWOMLOJJIJGFFE58DA,33,31.96,住家用,鋼筋混凝土造,81年3月5日,五層,三層,全筆移轉
RPWOMLOJJIJGFFE58DA,33,8.08,水箱，機械室，電梯間,鋼筋混凝土造,81年3月5日,五層,,持分移轉
RPSPMLLKJIJGFCE77DA,46,122.94,店舖住宅,鋼筋混凝土造,68年4月25日,三層,一層 二層 三層 騎樓,全筆移轉
RPVNMLNKJIJGFAE87DA,2,124.47,集合住宅,鋼筋混凝土,112年3月21日,二十九層,六層 陽台 雨遮,全筆移轉
RPVNMLNKJIJGFAE87DA,2,106.36,本共有部分之項目有防空避難室兼停車空間、門廳、樓梯間、防災中心、頂蓋型沿街步道式開放空間、門廊、出入口緩衝空間兼卸貨空間、管委會使用空間、機械室、水箱等共１０項。,鋼筋混凝土,112年3月21日,二十九層,,持分移轉
RPVNMLOKJIJGFGE58DA,45,64.78,住家用,鋼筋混凝土造,69年1月31日,五層,五層,全筆移轉
RPXNMLMKJIJGFFE48DA,25,268.28,托兒所、補習班、門廊、梯間,鋼筋混凝土造,89年5月3日,三層,一層 二層 三層 屋頂突出物,持分移轉
RPQNMLKLJIJGFIE97DA,11,271.79,門廊、住宅,鋼筋混凝土造,103年1月9日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPQOMLNKJIJGFFE97DA,2,71.57,集合住宅,鋼筋混凝土造,111年5月9日,十五層,七層 陽台 雨遮,全筆移轉
RPQOMLNKJIJGFFE97DA,2,62.55,本共有部分之項目有：防空避難室兼停車空間、停車空間、樓梯間、梯間、機械室、水箱、管委會使用空間、車道等８項。,鋼筋混凝土造,111年5月9日,十五層,,持分移轉
RPSNMLNKJIJGFGE18DA,46,52.94,住家用,鋼筋混凝土造,67年12月4日,四層,三層 陽台,全筆移轉
RPTNMLTKJIJGFBE38DA,44,19.68,集合住宅,鋼筋混凝土造,69年6月10日,十二層,四層,全筆移轉
RPQPMLMKJIJGFEE87DA,40,78.41,,鋼筋混凝土造,73年8月20日,五層,五層 陽台,全筆移轉
