編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLQJKIJGFAN58EA,29,113.99,住商用,鋼筋混凝土造,85年2月12日,十四層,一層 二層 騎樓 夾層,全筆移轉
RPPNMLQJKIJGFAN58EA,29,32.79,地下層、屋頂突出物,鋼筋混凝土造,85年2月12日,十四層,,持分移轉
RPSNMLSKJIJGFAN98DA,43,161.60,店舖、住宅,鋼筋混凝土造,71年3月30日,三層,一層 二層 三層 屋頂突出物 騎樓,全筆移轉
RPPNMLLLJIJGFBN18DA,28,124.32,住家用,鋼筋混凝土造,86年1月14日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPUNMLSKJIJGFAN56DA,37,70.11,住家用,鋼筋混凝土造,76年9月3日,五層,二層 陽台,全筆移轉
RPUNMLSKJIJGFAN56DA,37,6.43,樓梯、避難室,鋼筋混凝土造,76年9月3日,五層,,持分移轉
RPRNMLMLJIJGFDN68DA,43,85.18,住商用,鋼筋混凝土造,70年12月24日,二層,一層 二層 騎樓,全筆移轉
RPQNMLSKJIJGFHN86DA,1,79.97,集合住宅,鋼筋混凝土造,113年4月12日,五層,二層 陽台,全筆移轉
RPQNMLSKJIJGFHN86DA,1,33.70,共同使用部份,鋼筋混凝土造,113年4月12日,五層,,持分移轉
RPRNMLPLIIJGFAN58DA,34,8.98,住家用,鋼筋混凝土造,80年4月22日,七層,地下層,持分移轉
RPRNMLPLIIJGFAN58DA,34,73.90,住家用,鋼筋混凝土造,80年4月22日,七層,六層,全筆移轉
RPRNMLPLIIJGFAN58DA,34,1.60,避難室、樓梯,鋼筋混凝土造,80年4月22日,七層,,持分移轉
RPRNMLPLIIJGFAN58DA,34,20.99,避難室、樓梯,鋼筋混凝土造,80年4月22日,七層,,持分移轉
RPTOMLMLJIJGFAN68DA,29,.60,社區活動中心,鋼筋混凝土造,84年7月15日,十六層,一層 平台,持分移轉
RPTOMLMLJIJGFAN68DA,29,42.87,住家用,鋼筋混凝土造,84年7月15日,十六層,十四層 陽台,全筆移轉
RPTOMLMLJIJGFAN68DA,29,3.81,防空避難室、停車空間,鋼筋混凝土造,84年7月15日,十六層,,持分移轉
