鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
新竹市,土地,北門段1294地號,8.17,都市：其他:道路用地,,,1131105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,547800,67050,,0.0,0,包含公共設施保留地用地；,RPPNMLQJJIJGFAO58EA,0.0,0.0,0.0,無,0001
新竹市,土地,仙水段361-1地號,0.04,都市：其他:道路用地,,,1131106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7439,0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,SPVNMLPJJIJGFAO09DA,0.0,0.0,0.0,無,0002
新竹市,土地,光華段922-1地號,1.47,都市：其他:道路用地,,,1131108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,75093,51084,,0.0,0,,RPRNMLLKJIJGFAO28DA,0.0,0.0,0.0,無,0003
新竹市,土地,民富段1304-4地號,99.8,都市：其他:道路用地,,,1131101,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6360000,63727,,0.0,0,包含公共設施保留地用地；,RPPNMLOJJIJGFAO28DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市寶山路７７號,85.24,住,,,1131102,土地1建物1車位0,全,二層,透天厝,,加強磚造,0600303,138.46,4,2,2,有,無,16000000,115557,,0.0,0,未登記建物；,RPWNMLNKJIJGFAO98DA,138.46,0.0,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市關新東路１０８號八樓,24.77,住,,,1131101,土地2建物1車位1,八層,九層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,1030312,103.98,2,2,2,有,有,19500000,195341,坡道機械,8.25,800000,陽台外推；夾層；,RPQNMLNKJIJGFAO48EA,39.31,8.8,5.1,有,0004
新竹市,房地(土地+建物),新竹市新竹市林森路２０３號８樓之３,3.23,商,,,1131105,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0801111,37.410000000000004,1,1,1,有,有,2500000,66827,,0.0,0,,RPVNMLNKJIJGFAO88DA,25.03,0.0,2.14,有,
新竹市,土地,自由段1000-2地號,14.0,,,,1131107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,753200,53800,,0.0,0,包含公共設施保留地用地；,RPPOMLOKJIJGFAO48DA,0.0,0.0,0.0,無,
新竹市,土地,樹下段1215-1地號,130.31,,特定農業區,農牧用地,1131108,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2298668,17640,,0.0,0,政府機關標讓售；,RPRNMLTKJIJGFAO56EA,0.0,0.0,0.0,無,
新竹市,土地,中華段870地號,172.76,都市：其他:道路用地,,,1131112,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,21945288,127028,,0.0,0,包含公共設施保留地用地；,RPWNMLOKJIJGFAO09DA,0.0,0.0,0.0,無,0005
新竹市,土地,西濱段693地號,154.77,都市：其他:道路用地,,,1131112,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10812832,69864,,0.0,0,包含公共設施保留地用地；,RPRNMLPKJIJGFAO68DA,0.0,0.0,0.0,無,0006
新竹市,房地(土地+建物)+車位,新竹市新竹市東大路一段１５０號十一樓之２,32.01,住,,,1131101,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120322,203.24,1,1,2,有,有,34500000,169750,坡道平面,45.01,0,,RPUOMLKLJIJGFAO68DA,87.74,0.0,11.72,有,0007
新竹市,房地(土地+建物)+車位,新竹市新竹市東大路一段５２巷１之２號８樓,11.56,住,,,1131103,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850830,107.63,3,2,2,有,有,11800000,109635,坡道機械,0.0,0,,RPOOMLLLJIJGFAO18DA,54.83,0.0,10.08,有,
新竹市,房地(土地+建物),新竹市新竹市民生路１６６號７樓之３,3.36,商,,,1131115,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860131,34.370000000000005,1,0,1,有,有,1000000,29095,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLLJIJGFAO28EA,26.44,0.0,0.0,有,0008
新竹市,土地,東門段二小段175-26地號,17.0,商,,,1131106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5927390,348670,,0.0,0,政府機關標讓售；,RPRNMLMLJIJGFAO58EA,0.0,0.0,0.0,無,
新竹市,土地,光華段922-1地號,17.6,都市：其他:道路用地,,,1131120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1351680,76800,,0.0,0,包含公共設施保留地用地；,RPXNMLKLJIJGFAO88DA,0.0,0.0,0.0,無,0003
新竹市,土地,介壽段737-1地號,24.41,都市：其他:道路用地,,,1131120,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5740655,235176,,0.0,0,包含公共設施保留地用地；,RPPOMLKLJIJGFAO18DA,0.0,0.0,0.0,無,0010
新竹市,土地,香中段191地號,53.29,,,,1131120,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1732990,32520,,0.0,0,包含公共設施保留地用地；,RPQOMLKLJIJGFAO28DA,0.0,0.0,0.0,無,0011
新竹市,土地,雅溪段209地號,70.69,都市：其他:道路用地,,,1131120,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3341098,47264,,0.0,0,包含公共設施保留地用地；,RPROMLKLJIJGFAO38DA,0.0,0.0,0.0,無,0012
新竹市,土地,民富段2652地號,0.96,都市：其他:道路用地,,,1131120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,0,,0.0,0,包含公共設施保留地用地；,RPRNMLOLJIJGFAO68DA,0.0,0.0,0.0,無,0013
新竹市,土地,古峰段659-2地號,1096.88,都市：其他:甲之四種風景區,,,1131101,土地16建物0車位0,,,其他,,,,0.0,0,0,0,無,無,14024200,12786,,0.0,0,,RPPOMLRJJIJGFAO68DA,0.0,0.0,0.0,無,0014
新竹市,土地,朝山段630-1地號,95.22,住,,,1131101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8582400,90132,,0.0,0,,RPPQMLSJJIJGFAO98DA,0.0,0.0,0.0,無,
新竹市,土地,和平段1048地號,124.38,都市：其他:道路用地,,,1131120,土地8建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7523687,60490,,0.0,0,包含公共設施保留地用地；,RPSOMLKLJIJGFAO48DA,0.0,0.0,0.0,無,
