鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,38.34,住,,,1130812,土地2建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.33,3,2,2,有,無,15390000,102845,坡道平面,27.3,1400000,,RPRNMLQKQHJGFAV47CB,景福維美,B棟9B4號,
台東市,房地(土地+建物)+車位,臺東縣臺東市永安街197巷8-1號旁,54.34,住,,,1130812,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.58,3,2,2,有,無,9000000,83659,其他,0.0,0,,RPPNMLQLQHJGFAV37CB,欣輝永安住宅,2B號,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,38.34,住,,,1130820,土地2建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.33,3,2,2,有,無,15510000,103727,坡道平面,27.3,1400000,,RPPNMLLJRHJGFAV76CB,景福維美,B棟10B4號,
台東市,房地(土地+建物)+車位,臺東縣臺東市中興路三段,30.72,住,,,1130825,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,92.27,2,2,1,有,無,7750000,80753,升降機械,9.92,1100000,,RPPNMLLKRHJGFAV86CB,三銳大和3,E棟2號,
台東市,房地(土地+建物),臺東縣臺東市傳廣路234巷32號旁,28.45,住,,,1130903,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.79,2,2,2,有,無,7730000,107675,,0.0,0,,RPPNMLKLRHJGFAV86CB,傳嘉寶,1棟2B號,
台東市,房地(土地+建物)+車位,臺東縣臺東市傳廣路234巷32號旁,29.65,住,,,1130901,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.68,2,1,2,有,無,8910000,107086,一樓平面,20.88,900000,,RPQNMLKLRHJGFAV96CB,傳嘉寶,1棟2A號,
台東市,房地(土地+建物),臺東縣臺東市傳廣路234巷32號旁,30.3,住,,,1130914,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.48,2,1,2,有,無,8740000,114278,,0.0,0,,RPSNMLKLRHJGFAV17CB,傳嘉寶,1棟2C號,
台東市,房地(土地+建物),臺東縣臺東市傳廣路234巷32號旁,28.45,住,,,1130903,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.79,2,2,2,有,無,7930000,110461,,0.0,0,此戶贈送GOGORO一台,RPTNMLKLRHJGFAV27CB,傳嘉寶,1棟4B號,
台東市,房地(土地+建物),臺東縣臺東市傳廣路234巷32號旁,28.45,住,,,1130911,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.79,2,2,2,有,無,7830000,109068,,0.0,0,,RPUNMLKLRHJGFAV37CB,傳嘉寶,1棟3B號,
台東市,房地(土地+建物),臺東縣臺東市傳廣路234巷32號旁,28.45,住,,,1130901,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.79,2,2,2,有,無,8030000,111854,,0.0,0,本戶承租建照編號6號車位，位於法定空地上，長度5.5公尺寬度2.5公尺面積13.75平方公尺，無販售，未來由管委會制定租金。,RPVNMLKLRHJGFAV47CB,傳嘉寶,1棟5B號,
台東市,房地(土地+建物),臺東縣臺東市傳廣路234巷32號旁,29.65,住,,,1130901,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,74.8,2,1,2,有,無,8110000,108422,,0.0,0,,RPWNMLKLRHJGFAV57CB,傳嘉寶,1棟3A號,
台東市,房地(土地+建物)+車位,臺東縣臺東市傳廣路234巷32號旁,29.65,住,,,1130910,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,97.5,2,1,2,有,無,8960000,107086,一樓平面,22.7,950000,本戶贈送GOGORO一台,RPXNMLKLRHJGFAV67CB,傳嘉寶,1棟4A號,
台東市,房地(土地+建物)+車位,臺東縣臺東市更生北路277巷55號旁,33.91,住,,,1130906,土地4建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.4,2,2,2,有,無,7540000,86075,一樓平面,12.03,450000,本戶承購車位部分位於法定空地上。,RPOOMLKLRHJGFAV86CB,山河苑,1棟2C號,
台東市,房地(土地+建物),臺東縣臺東市更生北路277巷55號旁,32.85,住,,,1130906,土地4建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,79.91,2,2,2,有,無,6900000,86347,,0.0,0,,RPPOMLKLRHJGFAV96CB,山河苑,1棟2B號,
台東市,房地(土地+建物),臺東縣臺東市更生北路277巷55號旁,33.91,住,,,1130910,土地4建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,82.37,2,2,2,有,無,7190000,87289,,0.0,0,,RPPNMLLLRHJGFAV96CB,山河苑,1棟3C號,
台東市,房地(土地+建物)+車位,臺東縣臺東市更生北路277巷55號旁,39.07,住,,,1130907,土地4建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.01,3,2,2,有,無,9030000,86114,一樓平面,23.02,850000,,RPQNMLLLRHJGFAV07CB,山河苑,1棟3A號,
台東市,房地(土地+建物)+車位,臺東縣臺東市更生北路277巷55號旁,39.07,住,,,1130903,土地4建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.77,3,2,2,有,無,9041000,87483,一樓平面,19.78,731000,本戶贈送GOGORO一台。本戶部分車位面積位於法定空地。,RPRNMLLLRHJGFAV17CB,山河苑,1棟4A號,
台東市,房地(土地+建物)+車位,臺東縣臺東市更生北路277巷55號旁,39.07,住,,,1130907,土地4建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.65,3,2,2,有,無,9180000,88220,一樓平面,21.66,800000,本戶部分車位面積位於法定空地。,RPSNMLLLRHJGFAV27CB,山河苑,1棟5A號,
台東市,房地(土地+建物),臺東縣臺東市更生北路277巷55號旁,21.82,住,,,1130904,土地4建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,52.9,1,2,1,有,無,4600000,86957,,0.0,0,此戶贈送GOGORO機車一台。,RPTNMLLLRHJGFAV37CB,山河苑,1棟1F號,
台東市,房地(土地+建物),臺東縣臺東市更生北路277巷55號旁,32.85,住,,,1130904,土地4建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,79.91,2,2,2,有,無,7190000,89976,,0.0,0,此戶贈送GOGORO機車一台。,RPUNMLLLRHJGFAV47CB,山河苑,1棟5B號,
台東市,房地(土地+建物),臺東縣臺東市更生北路277巷55號旁,32.85,住,,,1130906,土地4建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,79.91,2,2,2,有,無,6990000,87473,,0.0,0,此戶贈送GOGORO機車一台。,RPVNMLLLRHJGFAV57CB,山河苑,1棟3B號,
台東市,房地(土地+建物),臺東縣臺東市更生北路277巷55號旁,33.91,住,,,1130905,土地4建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,82.37,2,2,2,有,無,7280000,88382,,0.0,0,此戶贈送GOGORO機車一台。,RPWNMLLLRHJGFAV67CB,山河苑,1棟4C號,
台東市,房地(土地+建物),臺東縣臺東市更生北路277巷55號旁,25.87,住,,,1130903,土地4建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,62.91,2,2,1,有,無,5550000,88221,,0.0,0,此戶露臺約定專用。,RPXNMLLLRHJGFAV77CB,山河苑,1棟2D號,
台東市,房地(土地+建物),臺東縣臺東市傳廣路234巷32號旁,17.85,住,,,1130913,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,45.04,2,1,2,有,無,6580000,146092,,0.0,0,1.本戶承租法定空地上之車位，建照編號7號，長5.5公尺，寬2.5公尺，面積13.75平方公尺，無販售，未來由管委會制定租金。2.本戶為露臺戶，約定專用給此戶使用。,RPRNMLNLRHJGFAV37CB,傳嘉寶,1棟5C號,
台東市,房地(土地+建物),臺東縣臺東市新生段1410-0019地號,48.5,住,,,1130910,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.54,2,2,2,有,無,11200000,95287,,0.0,0,本戶汽車停車位為使用權，為建照圖說上編號3號之車位，長5.5公尺，寬2.5公尺，面積13.75平方公尺，位於法定空地上，未來租金由管委會一同制定。,RPPNMLPLRHJGFAV37CB,仁六 織築,1棟3A號,
台東市,房地(土地+建物),臺東縣臺東市中興路三段,33.61,住,,,1130831,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.11,3,2,2,有,無,6400000,71024,,0.0,0,,RPQNMLRLRHJGFAV67CB,三銳大和3,D棟1號,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,38.34,住,,,1130918,土地2建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.33,3,2,2,有,無,14580000,97626,坡道平面,27.3,1300000,,RPPNMLQJIIJGFAV09CB,景福維美,A棟4A3號,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,43.39,住,,,1130928,土地2建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,181.22,3,2,2,有,無,16900000,101351,坡道平面,27.3,1300000,,RPQNMLQJIIJGFAV56CB,景福維美,A棟7A1號,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,38.3,住,,,1131005,土地2建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.16,3,2,2,有,無,14780000,99220,坡道平面,27.3,1300000,,RPRNMLQJIIJGFAV66CB,景福維美,A棟5A4號,
