編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLQKIIJGFAZ96DA,,94.79,集合住宅。,鋼筋混凝土造,113年5月31日,五層,二層 陽台,全筆移轉
RPPNMLQKIIJGFAZ96DA,,15.23,本共有部分之項目有梯廳、樓梯間、電梯、機房及水箱等５項,鋼筋混凝土造,113年5月31日,五層,,持分移轉
RPSNMLSJJIJGFAZ47DA,,94.79,集合住宅。,鋼筋混凝土造,113年5月31日,五層,五層 陽台,全筆移轉
RPSNMLSJJIJGFAZ47DA,,15.23,本共有部分之項目有梯廳、樓梯間、電梯、機房及水箱等５項,鋼筋混凝土造,113年5月31日,五層,,持分移轉
RPPNMLNKJIJGFAZ76DA,,57.22,住家用,石造,57年6月0日,二層,一層 二層,全筆移轉
RPQNMLSJJIJGFAZ27DA,,91.98,集合住宅。,鋼筋混凝土造,113年5月31日,五層,五層 陽台,全筆移轉
RPTNMLSJJIJGFAZ57DA,,94.79,集合住宅。,鋼筋混凝土造,113年5月31日,五層,四層 陽台,全筆移轉
RPQNMLSJJIJGFAZ27DA,,15.23,本共有部分之項目有梯廳、樓梯間、電梯、機房及水箱等５項,鋼筋混凝土造,113年5月31日,五層,,持分移轉
RPTNMLSJJIJGFAZ57DA,,15.23,本共有部分之項目有梯廳、樓梯間、電梯、機房及水箱等５項,鋼筋混凝土造,113年5月31日,五層,,持分移轉
RPRNMLSJJIJGFAZ37DA,,94.79,集合住宅。,鋼筋混凝土造,113年5月31日,五層,三層 陽台,全筆移轉
RPRNMLSJJIJGFAZ37DA,,15.23,本共有部分之項目有梯廳、樓梯間、電梯、機房及水箱等５項,鋼筋混凝土造,113年5月31日,五層,,持分移轉
RPQNMLQKIIJGFAZ07DA,,91.98,集合住宅。,鋼筋混凝土造,113年5月31日,五層,四層 陽台,全筆移轉
RPQNMLQKIIJGFAZ07DA,,15.23,本共有部分之項目有梯廳、樓梯間、電梯、機房及水箱等５項,鋼筋混凝土造,113年5月31日,五層,,持分移轉
RPUNMLSJJIJGFAZ67DA,,91.98,集合住宅。,鋼筋混凝土造,113年5月31日,五層,三層 陽台,全筆移轉
RPUNMLSJJIJGFAZ67DA,,15.23,本共有部分之項目有梯廳、樓梯間、電梯、機房及水箱等５項,鋼筋混凝土造,113年5月31日,五層,,持分移轉
RPPNMLSJJIJGFAZ17DA,,91.98,集合住宅。,鋼筋混凝土造,113年5月31日,五層,二層 陽台,全筆移轉
RPPNMLSJJIJGFAZ17DA,,15.23,本共有部分之項目有梯廳、樓梯間、電梯、機房及水箱等５項,鋼筋混凝土造,113年5月31日,五層,,持分移轉
