編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLPJLHKGFBD97DA,福國段,97.95,都市：其他:主要計畫道路用地,2,1,持分移轉,05210000
RPPNMLQJLHKGFDD97EA,篤農段,62.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,24,1,持分移轉,03790000
RPTNMLRJKHKGFAD97DA,星鑽段,2.42,都市：其他:商業區,10000,20,持分移轉,18300000
RPTNMLRJKHKGFAD97DA,星鑽段,.69,都市：其他:商業區,10000,20,持分移轉,18400000
SPTNMLRJKHKGFAD08DA,星鑽段,2.42,都市：其他:商業區,10000,20,持分移轉,18300000
SPTNMLRJKHKGFAD08DA,星鑽段,.69,都市：其他:商業區,10000,20,持分移轉,18400000
RPRNMLNJKHKGFID28EA,深坑子段,2027.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01610000
RPQNMLPJLHKGFED08EA,玉豐段,3896.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12700000
RPRNMLLKKHKGFGD87DA,西和段,117.15,都市：其他:住宅區,1,1,全筆移轉,06470001
RPPNMLNKKHKGFED77EA,許秀才段,1500.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,21110000
RPPNMLRJKHKGFFD18EA,東角段,10.30,都市：其他:住宅區,6,1,持分移轉,11170004
RPPNMLMKKHKGFHD97EA,內庄子段,691.00,非都市：一般農業區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,04050003
RPPNMLRJLHKGFHD48EA,大新段,1729.88,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01280000
RPPOMLQJKHKGFFD08DA,南廍段,1479.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03860000
RPWNMLOJKHKGFBD08DA,海北段,10.90,都市：其他:道路用地,30,1,持分移轉,02180001
RPXNMLOJKHKGFBD18DA,海北段,.33,都市：其他:細部計畫道路用地,30,1,持分移轉,02580000
RPXNMLOJKHKGFBD18DA,海北段,1.51,都市：其他:細部計畫道路用地,30,1,持分移轉,02600000
RPXNMLOJKHKGFBD18DA,海北段,.10,都市：其他:細部計畫道路用地,30,1,持分移轉,02620000
RPPOMLOJKHKGFBD47DA,淵西段,11.84,都市：其他:細部計畫道路用地,1,1,全筆移轉,00640000
RPVNMLOJKHKGFBD97DA,淵西段,9.11,都市：其他:細部計畫道路用地,1,1,全筆移轉,00610000
RPVNMLOJKHKGFBD97DA,淵西段,4.82,都市：其他:細部計畫道路用地,2,1,持分移轉,00620000
RPSNMLRJKHKGFCD08DA,省躬段,5.90,都市：其他:細部計畫道路用地,1680,20,持分移轉,00010001
RPSNMLRJKHKGFCD08DA,省躬段,14.33,都市：其他:細部計畫道路用地,168,2,持分移轉,00030002
RPRNMLMKKHKGFGD97DA,巷口段一小段,54.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,8,1,持分移轉,09510000
RPRNMLMKKHKGFGD97DA,巷口段一小段,88.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,09520000
RPRNMLMKKHKGFGD97DA,巷口段一小段,6.75,非都市：鄉村區 ; 非都市編定：交通用地,4,1,持分移轉,09550000
RPUNMLLKKHKGFKD58DA,兵北段,2052.31,都市：其他:道路用地,300000,194805,持分移轉,03010000
RPTNMLMKKHKGFGD18DA,巷口段一小段,5.25,非都市：一般農業區 ; 非都市編定：交通用地,4,1,持分移轉,12750000
RPTNMLMKKHKGFGD18DA,巷口段一小段,645.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12950000
RPRNMLMKKHKGFDD67DA,南港段,222.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,04790000
RPRNMLSJKHKGFDD18DA,歡雅段,20.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,16,1,持分移轉,02250000
RPRNMLSJKHKGFDD18DA,歡雅段,101.73,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02420000
RPSOMLQJKHKGFHD58DA,大營段,7.37,非都市：一般農業區 ; 非都市編定：農牧用地,198,1,持分移轉,34250000
RPSOMLQJKHKGFHD58DA,大營段,2.42,非都市：一般農業區 ; 非都市編定：交通用地,198,1,持分移轉,34250001
RPQNMLQJKHKGFDD87DA,果毅後段,63.50,非都市：特定農業區 ; 非都市編定：水利用地,6,1,持分移轉,16280001
RPQNMLQJKHKGFDD87DA,果毅後段,205.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,36860001
RPQNMLQJKHKGFDD87DA,果毅後段,71.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,1378,511,持分移轉,36860003
