編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLRKJIJGFLE78CB,內厝段,25.81,都市：住,10000,531,持分移轉,00370002
RPPNMLLLJIJGFEE57CB,左屏段,7.74,都市：住,100000,268,持分移轉,00020000
RPRNMLTKJIJGFIE88CB,澄德段,14.53,都市：商,100000,280,持分移轉,00940000
RPPNMLSKJIJGFEE18CB,左屏段,9.13,都市：住,100000,316,持分移轉,00020000
RPSNMLLLJIJGFEE87CB,和平段二小段,6.88,都市：商,10000,39,持分移轉,03430000
RPPNMLLLJIJGFLE28CB,田中央段,18.80,都市：商,100000,502,持分移轉,00020000
RPTNMLLLJIJGFEE97CB,新光段,8.94,都市：住,100000,398,持分移轉,01180000
RPVNMLLLJIJGFEE18CB,新光段,8.24,都市：住,100000,367,持分移轉,01180000
RPPNMLLLJIJGFFE67CB,後壁田段,12.64,都市：住,10000,12,持分移轉,03660000
RPVNMLQKJIJGFFE68CB,信義段,24.41,都市：住,100000,825,持分移轉,00300000
RPUNMLQKJIJGFFE58CB,信義段,17.22,都市：住,100000,582,持分移轉,00300000
RPUNMLLLJIJGFBE77CB,新興段四小段,15.14,都市：商,1000000,15005,持分移轉,16530000
RPPNMLMLJIJGFEE67CB,左東段,9.92,都市：商,10000,12,持分移轉,00180001
RPQNMLMLJIJGFEE77CB,左東段,14.89,都市：商,10000,18,持分移轉,00180001
RPRNMLMLJIJGFEE87CB,新光段,10.58,都市：住,100000,471,持分移轉,01180000
RPSNMLMLJIJGFEE97CB,新光段,10.22,都市：住,100000,455,持分移轉,01180000
RPTNMLMLJIJGFEE08CB,新光段,8.94,都市：住,100000,398,持分移轉,01180000
RPUNMLMLJIJGFEE18CB,新光段,8.94,都市：住,100000,398,持分移轉,01180000
RPVNMLMLJIJGFEE28CB,新光段,10.58,都市：住,100000,471,持分移轉,01180000
RPWNMLMLJIJGFEE38CB,新光段,8.85,都市：住,100000,394,持分移轉,01180000
RPTNMLMLJIJGFDE97CB,澄正段,15.43,都市：住,100000,233,持分移轉,00040000
RPUNMLMLJIJGFDE08CB,澄正段,10.99,都市：住,100000,166,持分移轉,00040000
RPSNMLMLJIJGFDE87CB,澄正段,16.42,都市：住,100000,248,持分移轉,00040000
RPOOMLMLJIJGFDE57CB,新都段,18.35,都市：住,10000,54,持分移轉,01610000
RPPNMLKLJIJGFDE37CB,覆鼎金段覆鼎金小段,7.33,都市：商,100000,2276,持分移轉,10850000
RPXNMLMLJIJGFEE48CB,新光段,8.27,都市：住,100000,368,持分移轉,01180000
RPTNMLMLJIJGFFE18CB,信義段,17.22,都市：住,100000,582,持分移轉,00300000
RPPNMLOLJIJGFFE97CB,成功段,33.08,都市：住,10000,164,持分移轉,07000000
RPOPMLMLJIJGFEE77CB,新光段,13.86,都市：住,100000,617,持分移轉,01180000
RPPNMLPLJIJGFDE87CB,灣中段,9.66,都市：商,100000,344,持分移轉,01280000
RPQNMLPLJIJGFEE08CB,楠都段二小段,18.03,都市：住,10000,60,持分移轉,02730000
RPSNMLPLJIJGFEE28CB,楠都段二小段,12.02,都市：住,10000,40,持分移轉,02730000
RPPNMLSKJIJGFCE97CB,高鳳段,34.08,都市：住,10000,284,持分移轉,12900000
RPPNMLPKJIJGFCE67CB,港墘段,13.07,都市：住,100000,734,持分移轉,02070002
RPPNMLTKJIJGFCE08CB,坪松段,9.90,都市：商,10000,27,持分移轉,00610000
RPPNMLTKJIJGFCE08CB,坪松段,6.88,都市：商,10000,27,持分移轉,00670000
RPQNMLSKJIJGFCE08CB,高鳳段,26.16,都市：住,10000,218,持分移轉,12900000
RPQNMLPLJIJGFFE18CB,蚵寮段,24.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,100002,1982,持分移轉,14230000
RPQNMLPLJIJGFFE18CB,蚵寮段,.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,48,1,持分移轉,14230001
RPQNMLPLJIJGFFE18CB,蚵寮段,.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,48,1,持分移轉,14230024
RPQNMLPLJIJGFFE18CB,蚵寮段,.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,58,1,持分移轉,14230025
