鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
五股區,土地,福德段822地號,102.05,都市：其他:保護區,,,1140303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,1960,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNNLNJLHKGFBF87DA,0.0,0.0,0.0,無,
中和區,土地,灰段644地號,529.33,農,,,1140303,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,20800000,39295,,0.0,0,,RPPNMLPJLHKGFHF48EA,0.0,0.0,0.0,無,
中和區,房地(土地+建物),新北市中和區民享街９２巷７號四樓,13.62,住,,,1140305,土地2建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690515,31.54,3,2,1,有,無,2250000,71338,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQJLHKGFHF58EA,31.54,0.0,0.0,無,
汐止區,房地(土地+建物),新北市汐止區湖前街４７號３樓,19.56,住,,,1140201,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850117,114.66000000000001,3,2,2,有,有,11000000,95936,,0.0,0,,RPRNMLNJKHKGFDF87DA,84.66,0.0,8.52,有,
淡水區,土地,中和段367地號,144.01,,特定農業區,農牧用地,1140203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,6944,,0.0,0,,RPPPMLOJKHKGFEF08DA,0.0,0.0,0.0,無,
汐止區,房地(土地+建物),新北市汐止區秀峰路８５號４樓,26.68,住,,,1140203,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831115,146.32,3,2,2,有,無,16500000,112767,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLSJKHKGFDF58DA,90.58,0.0,18.82,有,
淡水區,車位,新北市淡水區淡金路２１之１號,0.37,商,,,1140202,土地1建物1車位1,一層,二十九層,其他,店舖,鋼筋混凝土造,0970909,20.21,0,0,0,無,有,1750000,,坡道平面,20.21,1750000,僅車位交易；,RPWNMLKKKHKGFEF28DA,0.0,0.0,0.0,有,00001
雙溪區,土地,柑腳段柑腳小段247地號,189.56,,山坡地保育區,丙種建築用地,1140203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1080483,5700,,0.0,0,地清或未辦繼承標售；,RPQNMLLKKHKGFFF87DA,0.0,0.0,0.0,無,
雙溪區,土地,柑腳段柑腳小段247-1地號,92.89,,山坡地保育區,丙種建築用地,1140203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,352982,3800,,0.0,0,地清或未辦繼承標售；,SPQNMLLKKHKGFFF97DA,0.0,0.0,0.0,無,00002
