編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLNKJIJGFCF08CC,44,87.74,住家用,鋼筋混凝土造,69年10月17日,四層,,
RPROMLLKJIJGFHF28CC,8,32.44,集合住宅,鋼筋混凝土構造,106年1月20日,十五層,,
RPWNMLMKJIJGFHF78CC,22,103.63,店舖,鋼骨混凝土造,91年11月25日,十三層,,
RPROMLLKJIJGFHF28CC,8,5.26,共有部分；本共有部分項目有：梯廳、電樓梯間、樓梯間、交誼室、管委會使用空間、安全梯、機電、屋頂突出物〈電樓梯間、機房、生活水箱、安全梯〉、汽排機房、台電配電室、垃圾資源回收室、自行車、機車道、汽車車道、緊急發電機室、網路機房、機房、泵浦室、雨水機房、陽台、公共服務空間等２１項。,鋼筋混凝土構造,106年1月20日,十五層,,
RPWNMLMKJIJGFHF78CC,22,12.08,共有部分,鋼骨混凝土造,91年11月25日,十三層,,
RPROMLLKJIJGFHF28CC,8,8.58,共有部分；本共有部分項目有：電樓梯間、走廊、管委會使用空間、機房等４項。,鋼筋混凝土構造,106年1月20日,十五層,,
RPWNMLMKJIJGFHF78CC,22,9.28,共有部分,鋼骨混凝土造,91年11月25日,十三層,,
RPPNMLMKJIJGFBF47CC,28,85.38,住家用,鋼筋混凝土造,85年8月10日,十二層,,
RPPNMLMKJIJGFBF47CC,28,16.14,共有部份,鋼筋混凝土造,85年8月10日,十二層,,
RPVNMLMKJIJGFAF97CC,,135.67,住家用,鋼筋混凝土造,,五層,,
RPQNMLMKJIJGFAF47CC,,135.67,住家用,鋼筋混凝土造,,五層,,
RPUNMLMKJIJGFAF87CC,,135.67,住家用,鋼筋混凝土造,,五層,,
RPVNMLMKJIJGFAF97CC,,29.77,共有部分,鋼筋混凝土造,,五層,,
RPQNMLMKJIJGFAF47CC,,29.77,共有部分,鋼筋混凝土造,,五層,,
RPUNMLMKJIJGFAF87CC,,29.77,共有部分,鋼筋混凝土造,,五層,,
RPQNMLMKJIJGFAF47CC,,2.90,共有部分,鋼筋混凝土造,,五層,,
RPVNMLMKJIJGFAF97CC,,2.90,共有部分,鋼筋混凝土造,,五層,,
RPUNMLMKJIJGFAF87CC,,2.90,共有部分,鋼筋混凝土造,,五層,,
RPQNMLNKJIJGFHF28CC,27,25.90,住家用,鋼筋混凝土造,86年11月4日,二十一層,,
RPQNMLNKJIJGFHF28CC,27,6.29,共有部分,鋼筋混凝土造,86年11月4日,二十一層,,
RPQNMLNKJIJGFHF28CC,27,40.21,共有部分,鋼筋混凝土造,86年11月4日,二十五層,,
RPRNMLNKJIJGFHF38CC,3,51.88,集合住宅,鋼筋混凝土構造,110年10月13日,十五層,,
RPRNMLNKJIJGFHF38CC,3,31.98,本共有部分項目有梯廳、排煙室、儲藏室、車道、管委會使用空間、樓電梯間、機房、樓梯間、發電機室、電梯機房、水箱、消防水池、防空避難室兼停車空間、汽車昇降設備、電梯機坑、停車空間、電信室、消防泵浦室、自來水蓄水池、陽台、雨遮等２１項。,鋼筋混凝土構造,110年10月13日,十五層,,
RPSNMLNKJIJGFHF48CC,47,21.00,住家用,鋼筋混凝土造,66年11月17日,四層,,
RPPOMLNKJIJGFHF28CC,8,32.38,集合住宅,鋼筋混凝土構造,106年1月20日,十五層,,
