編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLNLJIJGFAG08CB,永愛段,18.99,都市：住,100000,1606,持分移轉,09180000
RPUNMLNLJIJGFAG08CB,永愛段,3.97,都市：住,100000,950,持分移轉,09180001
RPUNMLNLJIJGFAG08CB,永愛段,2.35,都市：住,100000,950,持分移轉,09180018
RPPNMLPLJIJGFAG77CB,大洲二段,75.60,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09520018
RPPNMLPLJIJGFAG77CB,大洲二段,1.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09520023
RPPNMLPLJIJGFAG77CB,大洲二段,13.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09520024
RPPNMLPLJIJGFAG77CB,大洲二段,1.91,非都市：特定農業區 ; 非都市編定：甲種建築用地,40,1,持分移轉,09520000
RPSNMLMLJIJGFAG77CB,義成二段,83.81,都市：農,1,1,全筆移轉,03000007
RPSNMLMLJIJGFAG77CB,義成二段,20.89,都市：農,1,1,全筆移轉,03000008
RPSNMLMLJIJGFAG77CB,義成二段,58.64,都市：農,11,1,持分移轉,03010000
RPUNMLPLJIJGFAG28CB,百福段,19.49,都市：住,110754,5144,持分移轉,03600000
RPUNMLPLJIJGFAG28CB,百福段,27.17,都市：住,110754,5144,持分移轉,03610000
RPUNMLPLJIJGFAG28CB,百福段,4.78,都市：住,110754,5144,持分移轉,03740000
RPQNMLSKJIJGFAG18DB,義成八段,34.63,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,364,持分移轉,09750000
RPQNMLSKJIJGFAG18DB,義成八段,3.64,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,364,持分移轉,09750008
RPRNMLMLJIJGFAG67CB,義成二段,73.42,都市：農,1,1,全筆移轉,03000004
RPRNMLMLJIJGFAG67CB,義成二段,26.00,都市：農,1,1,全筆移轉,03000011
RPRNMLMLJIJGFAG67CB,義成二段,41.24,都市：農,1,1,全筆移轉,03010005
RPRNMLMLJIJGFAG67CB,義成二段,58.64,都市：農,11,1,持分移轉,03010000
