編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLNKJIJGFHN88CB,北勢段,37.27,都市：住,22,1,持分移轉,03670000
RPPNMLLLJIJGFHN78CB,義民段,29.33,都市：住,100000,3111,持分移轉,13120000
RPPNMLLLJIJGFHN78CB,義民段,6.77,都市：住,100000,3111,持分移轉,13130000
RPPNMLKLJIJGFHN68CB,西寮段,45.99,非都市：特定農業區 ; 非都市編定：甲種建築用地,37333,9332,持分移轉,05190000
RPPNMLKLJIJGFHN68CB,西寮段,3.48,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1775,持分移轉,05200000
RPPNMLQLJIJGFDN88CB,橋愛段,87.37,都市：住,1,1,全筆移轉,11960002
RPQNMLOKJIJGFDN68CB,永社段,42.68,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,10527,持分移轉,00720000
RPQNMLOKJIJGFDN68CB,永社段,26.74,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,10527,持分移轉,00730000
RPPNMLQLJIJGFDN88CB,橋愛段,6.24,都市：住,14,1,持分移轉,11960006
RPQNMLNKJIJGFDN58CB,五常段,13.09,都市：住,100000,3460,持分移轉,04080000
RPPNMLPLJIJGFDN78CB,三潭段,54.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01030026
RPQNMLNKJIJGFDN58CB,五常段,9.61,都市：住,100000,3460,持分移轉,04130000
RPPNMLPLJIJGFDN78CB,三潭段,21.48,非都市：特定農業區 ; 非都市編定：甲種建築用地,1872,45,持分移轉,01030055
RPPNMLPLJIJGFDN78CB,三潭段,1.64,非都市：特定農業區 ; 非都市編定：甲種建築用地,195,2,持分移轉,01030054
RPQNMLRLJIJGFAN88DB,東芳段,31.79,都市：住,1000000,11913,持分移轉,07180000
RPPNMLRLJIJGFAN78DB,東芳段,31.79,都市：住,1000000,11913,持分移轉,07180000
RPRNMLRLJIJGFAN98DB,東芳段,23.33,都市：住,1000000,8743,持分移轉,07180000
RPSNMLRLJIJGFAN09DB,東芳段,23.33,都市：住,1000000,8743,持分移轉,07180000
RPPNMLQLJIJGFFN09CB,新埤頭段,41.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3715,持分移轉,02110000
RPTNMLRLJIJGFAN56DB,東芳段,31.79,都市：住,1000000,11913,持分移轉,07180000
RPQNMLMLJIJGFFN78CB,進樂段,28.78,都市：住,100000,2500,持分移轉,09190001
RPSNMLPLJIJGFFN66CB,新埤頭段,34.09,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3067,持分移轉,02110000
RPQNMLKLJIJGFFN58CB,新埤頭段,34.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3083,持分移轉,02110000
RPPNMLKLJIJGFFN48CB,新埤頭段,41.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3703,持分移轉,02110000
RPPNMLMLJIJGFFN68CB,進樂段,28.78,都市：住,100000,2500,持分移轉,09190001
RPTNMLPLJIJGFFN76CB,新埤頭段,41.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3703,持分移轉,02110000
RPPNMLTLJIJGFBN09DB,建興段,74.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1510,74,持分移轉,01940002
RPPNMLLJKIJGFFN48CB,中圳段,18.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,371,持分移轉,03070000
RPPNMLLJKIJGFHN68CB,湖西段,82.56,都市：住,1,1,全筆移轉,07620002
RPPNMLMJKIJGFDN38CB,豐年段,18.08,都市：住,100000,449,持分移轉,08380000
RPQNMLMJKIJGFDN48CB,豐年段,18.08,都市：住,100000,449,持分移轉,08380000
RPRNMLMJKIJGFDN58CB,豐年段,23.91,都市：住,100000,594,持分移轉,08380000
RPPNMLNJKIJGFDN48CB,新西東段,14.47,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1585,持分移轉,10130000
RPPNMLNJKIJGFDN48CB,新西東段,7.36,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1585,持分移轉,10140000
RPPNMLNJKIJGFDN48CB,新西東段,6.61,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1585,持分移轉,10150000
RPPNMLMJKIJGFFN58CB,新埤頭段,34.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3081,持分移轉,02110000
RPQNMLNJKIJGFDN58CB,新西東段,15.46,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1693,持分移轉,10130000
RPQNMLNJKIJGFDN58CB,新西東段,7.86,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1693,持分移轉,10140000
RPQNMLNJKIJGFDN58CB,新西東段,7.06,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1693,持分移轉,10150000
RPPNMLNJKIJGFBN38DB,和中段,49.00,都市：住,1,1,全筆移轉,00950090
RPPNMLNJKIJGFBN38DB,和中段,16.00,都市：住,1,1,全筆移轉,01080003
RPQNMLNJKIJGFBN48DB,建興段,72.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1510,72,持分移轉,01940002
RPPNMLOJKIJGFDN58CB,大明段,31.48,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,202,持分移轉,08320000
RPPNMLOJKIJGFFN78CB,新埤頭段,41.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3703,持分移轉,02110000
RPQNMLOJKIJGFFN88CB,新埤頭段,41.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3703,持分移轉,02110000
RPRNMLOJKIJGFFN98CB,更新段,93.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3840,持分移轉,00690001
RPRNMLOJKIJGFFN98CB,更新段,1.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3840,持分移轉,00700007
RPTNMLOJKIJGFFN56CB,新埤頭段,41.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3715,持分移轉,02110000
RPSNMLOJKIJGFFN09CB,新埤頭段,41.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3715,持分移轉,02110000
RPUNMLOJKIJGFFN66CB,新埤頭段,34.09,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3067,持分移轉,02110000
RPQNMLPJKIJGFDN78CB,大明段,31.48,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,202,持分移轉,08320000
RPPNMLPJKIJGFDN68CB,五汴段,12.81,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,4080,持分移轉,10320000
RPPNMLPJKIJGFDN68CB,五汴段,13.53,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,4080,持分移轉,10320001
RPPNMLPJKIJGFFN88CB,新埤頭段,41.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3715,持分移轉,02110000
RPPNMLPJKIJGFBN48CB,嘉詔段,26.51,都市：住,119047,2651,持分移轉,00940000
RPPNMLPJKIJGFBN48CB,嘉詔段,1.51,都市：住,6776,151,持分移轉,00950000
RPQNMLPJKIJGFBN58CB,仁和段,138.00,都市：住,1,1,全筆移轉,09260028
RPRNMLPLJIJGFBN78CB,伸東段,85.59,都市：住,74913,8559,持分移轉,06010000
RPPNMLKLJIJGFBN08CB,福新段,29.12,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000000,2092177,持分移轉,03120000
RPPNMLPJKIJGFAN48DB,東芳段,31.79,都市：住,1000000,11913,持分移轉,07180000
