鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
琉球鄉,土地,天台段503地號,16.18,住,,,1140203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,195600,12089,,0.0,0,,RPPNMLSJKHKGFDT96DA,0.0,0.0,0.0,無,0001
里港鄉,土地,過江段545地號,302.0,住,,,1140204,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4050000,13411,,0.0,0,,RPPNMLLKKHKGFBT78DA,0.0,0.0,0.0,無,
內埔鄉,房地(土地+建物),屏東縣內埔鄉福泰路１０７巷３５號四樓,11.31,,鄉村區,乙種建築用地,1140202,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840505,33.33,1,0,1,有,有,750000,22502,,0.0,0,,RPTNMLNJKHKGFCT76DA,19.64,0.6,3.01,有,
屏東市,房地(土地+建物),屏東縣屏東巿福建路５８號七樓之十七,5.96,商,,,1140204,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821120,40.5,1,1,1,有,有,1680000,41481,,0.0,0,,RPRNMLPJKHKGFAT56DA,24.29,0.0,4.56,有,0002
內埔鄉,房地(土地+建物),屏東縣內埔鄉光明路２８４巷１號四樓之７,29.27,住,,,1140206,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880421,99.38000000000001,3,2,2,有,無,1200000,12075,,0.0,0,代書費由買方負擔。親友、員工、共有人或其他特殊關係間之交易；,RPSNMLMKKHKGFCT66DA,67.83,0.0,10.6,有,
里港鄉,土地,載興段226地號,11040.19,,一般農業區,農牧用地,1140203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,26800000,2427,,0.0,0,,RPPNMLOKKHKGFBT56EA,0.0,0.0,0.0,無,
萬丹鄉,土地,田厝段1527-7地號,189.67,,鄉村區,乙種建築用地,1140203,土地2建物0車位0,,,其他,,,,0.0,1,1,2,有,無,3000000,15817,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPTPMLOJKHKGFAT86DA,0.0,0.0,0.0,無,
潮州鎮,土地,三共段303地號,308.92,住,,,1140203,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15230000,49301,,0.0,0,,RPQNMLNJKHKGFCT09DA,0.0,0.0,0.0,無,0003
獅子鄉,土地,獅子段223地號,25791.0,,山坡地保育區,林業用地,1140206,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1808000,70,,0.0,0,,RPPNMLNKKHKGFFT86EA,0.0,0.0,0.0,無,
里港鄉,土地,土庫段1254地號,4164.0,,一般農業區,農牧用地,1140204,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4000000,961,,0.0,0,,RPSNMLQJKHKGFBT86DA,0.0,0.0,0.0,無,0004
牡丹鄉,土地,四林段44地號,6445.0,,山坡地保育區,林業用地,1140213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,420000,65,,0.0,0,,RPSNMLOKKHKGFET07DA,0.0,0.0,0.0,無,
屏東市,土地,香揚段625-25地號,107.0,住,,,1140205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2500000,23364,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLOKKHKGFAT76EA,0.0,0.0,0.0,無,
恆春鎮,土地,墾丁段1202地號,3.24,,國家公園區,,1140207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,150000,46296,,0.0,0,含土地增值稅或其他稅費9773元；含地政士服務費3000元；,RPQNMLRKKHKGFET17DA,0.0,0.0,0.0,無,0005
