鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
屏東市,房地(土地+建物)+車位,屏東縣屏東市清世街61號旁,28.73,住,,,1131111,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,89.08,2,2,2,有,無,7720000,86186,一樓平面,14.59,1300000,,RPUNMLOKJIJGFAT76CB,澤曜 . 好young,A6棟4號,
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮富漁三路,18.35,住,,,1131116,土地1建物1車位1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.21,2,2,2,有,無,7160000,80334,坡道平面,22.02,1200000,,RPPNMLRKJIJGFDT86CB,東津灣,A3棟9F號,
長治鄉,房地(土地+建物),屏東縣長治鄉單座二巷,58.27,,一般農業區,甲種建築用地,1131116,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,144.65,4,2,4,有,無,10500000,72589,,0.0,0,,RPQNMLTKJIJGFAT86CB,東方領袖NO.5,A棟12號,
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉陽明路,27.12,,鄉村區,乙種建築用地,1131116,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.3,3,2,2,有,無,7030000,65965,一樓平面,14.13,950000,,RPPNMLKLJIJGFCT88DB,美和綻,D棟2號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市三山段261地號,36.44,,鄉村區,乙種建築用地,1131120,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.48,3,2,2,有,無,8880000,76236,一樓平面,6.37,0,,RPQNMLLLJIJGFAT78CB,皇家大苑13期,A棟2號,
潮州鎮,房地(土地+建物),屏東縣潮州鎮仙林路,22.14,,鄉村區,乙種建築用地,1131113,土地3建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,66.85,2,2,2,有,無,3900000,58340,,0.0,0,,RPRNMLNLJIJGFCT66CB,太友敦煌11潮州新鎮2,A棟4號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市復興南路一段,26.98,,一般農業區,甲種建築用地,1131125,土地3建物1車位1,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.4,3,2,2,有,無,8380000,75706,一樓平面,19.22,1250000,,RPQNMLPLJIJGFAT56CB,MR55,A5棟8號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市復興南路一段,26.98,,一般農業區,甲種建築用地,1131116,土地3建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.4,3,2,2,有,無,8200000,73795,一樓平面,19.22,1250000,,RPRNMLPLJIJGFAT66CB,MR55,A1棟2號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市復興南路一段,26.98,,一般農業區,甲種建築用地,1131114,土地3建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.4,3,2,2,有,無,8300000,74857,一樓平面,19.22,1250000,,RPSNMLPLJIJGFAT76CB,MR55,A5棟2號,
